Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  7.675960e-02   1.090385e+03   1.565391e+02
  7.939030e-02   1.228041e+03   8.944742e+01
  8.202110e-02   1.387290e+03   6.491012e+01
  8.465180e-02   1.499657e+03   5.286830e+01
  8.728260e-02   1.333339e+03   4.553861e+01
  8.991340e-02   1.435161e+03   4.224733e+01
  9.254410e-02   1.428429e+03   4.051130e+01
  9.517490e-02   1.270123e+03   3.838652e+01
  9.780560e-02   1.189504e+03   3.665870e+01
  1.004360e-01   1.369032e+03   3.461752e+01
  1.030670e-01   1.291500e+03   3.372876e+01
  1.056980e-01   1.331279e+03   3.257582e+01
  1.083290e-01   1.339858e+03   3.120042e+01
  1.109590e-01   1.162679e+03   3.051864e+01
  1.135900e-01   1.298141e+03   2.976649e+01
  1.162210e-01   1.273558e+03   2.858519e+01
  1.188520e-01   1.295519e+03   2.771485e+01
  1.214820e-01   1.233153e+03   2.705986e+01
  1.241130e-01   1.275419e+03   2.620126e+01
  1.267440e-01   1.363480e+03   2.598032e+01
  1.293750e-01   1.248288e+03   2.503878e+01
  1.320050e-01   1.313553e+03   2.465631e+01
  1.346360e-01   1.183291e+03   2.421143e+01
  1.372670e-01   1.167189e+03   2.389754e+01
  1.398980e-01   1.205998e+03   2.323129e+01
  1.425280e-01   1.209874e+03   2.252737e+01
  1.451590e-01   1.170400e+03   2.261631e+01
  1.477900e-01   1.165433e+03   2.203037e+01
  1.504210e-01   1.205287e+03   2.186732e+01
  1.530510e-01   1.243102e+03   2.126397e+01
  1.556820e-01   1.105909e+03   2.154496e+01
  1.583130e-01   1.213540e+03   2.189788e+01
  1.609440e-01   1.218877e+03   2.149126e+01
  1.635740e-01   1.154596e+03   2.143727e+01
  1.662050e-01   1.165791e+03   2.130240e+01
  1.688360e-01   1.234297e+03   2.126333e+01
