 05-Nov-2009       (filippo_024.dat - 1.0*filippo_025.dat) /  5.0000          
filippo_024.  Conc = .50E+01  N1 =    1  N2 = 2310
filippo_025.  Conc = 0.0d+0   N1 =    1  N2 = 2310
  0.774543E-01  0.124884E+03  0.248066E+02
  0.801219E-01  0.143922E+03  0.652213E+01
  0.827895E-01  0.144318E+03  0.537113E+01
  0.854572E-01  0.137730E+03  0.473732E+01
  0.881248E-01  0.132968E+03  0.394447E+01
  0.907924E-01  0.138626E+03  0.342884E+01
  0.934600E-01  0.133310E+03  0.289106E+01
  0.961277E-01  0.139862E+03  0.265041E+01
  0.987953E-01  0.140620E+03  0.241393E+01
  0.101463E+00  0.144666E+03  0.214112E+01
  0.104131E+00  0.143516E+03  0.215208E+01
  0.106798E+00  0.144288E+03  0.187194E+01
  0.109466E+00  0.145958E+03  0.185282E+01
  0.112133E+00  0.142648E+03  0.158930E+01
  0.114801E+00  0.144184E+03  0.158498E+01
  0.117469E+00  0.147236E+03  0.155108E+01
  0.120136E+00  0.143618E+03  0.137808E+01
  0.122804E+00  0.145448E+03  0.134016E+01
  0.125472E+00  0.141544E+03  0.122012E+01
  0.128139E+00  0.143202E+03  0.118203E+01
  0.130807E+00  0.145096E+03  0.118484E+01
  0.133474E+00  0.141922E+03  0.106701E+01
  0.136142E+00  0.144498E+03  0.105160E+01
  0.138810E+00  0.143642E+03  0.964979E+00
  0.141477E+00  0.142978E+03  0.927029E+00
  0.144145E+00  0.140763E+03  0.891349E+00
  0.146813E+00  0.141257E+03  0.862602E+00
  0.149480E+00  0.140079E+03  0.854839E+00
  0.152148E+00  0.139959E+03  0.795527E+00
  0.154815E+00  0.139685E+03  0.782650E+00
  0.157483E+00  0.139490E+03  0.726245E+00
  0.160151E+00  0.137817E+03  0.727869E+00
  0.162818E+00  0.138221E+03  0.691533E+00
  0.165486E+00  0.137783E+03  0.685208E+00
  0.168154E+00  0.138524E+03  0.654310E+00
  0.170821E+00  0.137709E+03  0.628513E+00
  0.173489E+00  0.136534E+03  0.626867E+00
  0.176156E+00  0.136278E+03  0.604846E+00
  0.178824E+00  0.136773E+03  0.589681E+00
  0.181492E+00  0.136156E+03  0.564861E+00
  0.184159E+00  0.135454E+03  0.569639E+00
  0.186827E+00  0.134919E+03  0.560989E+00
  0.189495E+00  0.133735E+03  0.532257E+00
  0.192162E+00  0.133775E+03  0.519951E+00
  0.194830E+00  0.133046E+03  0.521182E+00
  0.197498E+00  0.132164E+03  0.506200E+00
  0.200165E+00  0.131023E+03  0.508398E+00
  0.202833E+00  0.131571E+03  0.471271E+00
  0.205500E+00  0.131898E+03  0.481531E+00
  0.208168E+00  0.130748E+03  0.467507E+00
  0.210836E+00  0.129689E+03  0.470963E+00
  0.213503E+00  0.130472E+03  0.460592E+00
  0.216171E+00  0.129291E+03  0.438332E+00
  0.218839E+00  0.128463E+03  0.454978E+00
  0.221506E+00  0.128063E+03  0.430644E+00
  0.224174E+00  0.127074E+03  0.431056E+00
  0.226841E+00  0.127102E+03  0.430671E+00
  0.229509E+00  0.126107E+03  0.414309E+00
  0.232177E+00  0.125623E+03  0.425933E+00
  0.234844E+00  0.124889E+03  0.394371E+00
  0.237512E+00  0.124891E+03  0.414984E+00
  0.240180E+00  0.122863E+03  0.398427E+00
