Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 2.017270e-001  1.058895e+003  2.769697e+001
 2.043620e-001  1.057246e+003  2.739793e+001
 2.069960e-001  1.045522e+003  2.714219e+001
 2.096310e-001  1.035150e+003  2.741516e+001
 2.122660e-001  1.024351e+003  2.679144e+001
 2.149000e-001  1.055973e+003  2.705025e+001
 2.175350e-001  1.037065e+003  2.693813e+001
 2.201700e-001  1.050825e+003  2.682216e+001
 2.228040e-001  1.026466e+003  2.667289e+001
 2.254390e-001  1.043613e+003  2.637043e+001
 2.280740e-001  1.047754e+003  2.639950e+001
 2.307080e-001  1.047600e+003  2.617819e+001
 2.333430e-001  1.031612e+003  2.595892e+001
 2.359780e-001  1.031143e+003  2.616751e+001
 2.386120e-001  1.024196e+003  2.582033e+001
 2.412470e-001  1.000836e+003  2.560568e+001
 2.438820e-001  1.012062e+003  2.541436e+001
 2.465160e-001  9.735736e+002  2.512798e+001
 2.491510e-001  9.673239e+002  2.501441e+001
 2.517860e-001  1.029069e+003  2.534317e+001
 2.544200e-001  1.039983e+003  2.545205e+001
 2.570550e-001  1.001060e+003  2.477368e+001
 2.596890e-001  9.924802e+002  2.481968e+001
 2.623240e-001  1.000941e+003  2.477129e+001
 2.649590e-001  9.927775e+002  2.473231e+001
 2.675930e-001  1.025598e+003  2.483642e+001
 2.702280e-001  1.009930e+003  2.450083e+001
 2.728630e-001  9.932179e+002  2.452027e+001
 2.754970e-001  9.698287e+002  2.410246e+001
 2.781320e-001  9.820268e+002  2.417981e+001
 2.807670e-001  9.839936e+002  2.404466e+001
 2.834010e-001  9.984393e+002  2.396552e+001
 2.860360e-001  1.009530e+003  2.410569e+001
 2.886710e-001  9.723649e+002  2.358010e+001
 2.913050e-001  9.646744e+002  2.347214e+001
 2.939400e-001  9.608695e+002  2.351031e+001
 2.965750e-001  9.372177e+002  2.323283e+001
 2.992090e-001  9.636669e+002  2.325596e+001
 3.018440e-001  9.778134e+002  2.301026e+001
 3.044790e-001  9.788247e+002  2.321710e+001
 3.071130e-001  9.507525e+002  2.295573e+001
 3.097480e-001  9.477901e+002  2.294939e+001
 3.123830e-001  9.576596e+002  2.283251e+001
 3.150170e-001  9.276675e+002  2.237373e+001
 3.176520e-001  9.454632e+002  2.257455e+001
 3.202870e-001  9.445388e+002  2.246426e+001
 3.229210e-001  9.286044e+002  2.240202e+001
 3.255560e-001  9.277103e+002  2.222535e+001
 3.281900e-001  8.944397e+002  2.184449e+001
 3.308250e-001  9.009304e+002  2.198830e+001
 3.334600e-001  9.173531e+002  2.172005e+001
 3.360940e-001  9.022460e+002  2.164694e+001
