Sample description: TG2 GDP
Sample: TG2 GDP  c= 5.5000 mg/ml  Code: TG2_clos
Parent(s): processed/subtracted/TG2_clos_0019_sub.dat
  1.993590e-02   3.896291e+03   2.067831e+03
  2.257060e-02   3.122982e+03   7.800811e+02
  2.520520e-02   1.959673e+03   4.423736e+02
  2.783990e-02   1.460673e+03   3.715775e+02
  3.047450e-02   2.267711e+03   3.132511e+02
  3.310920e-02   2.038176e+03   2.447089e+02
  3.574380e-02   2.291260e+03   1.988424e+02
  3.837850e-02   2.352889e+03   1.737872e+02
  4.101320e-02   2.135633e+03   1.439577e+02
  4.364780e-02   2.098744e+03   1.303886e+02
  4.628250e-02   2.105544e+03   1.153739e+02
  4.891710e-02   2.102875e+03   1.038498e+02
  5.155180e-02   2.073000e+03   9.605102e+01
  5.418640e-02   2.049631e+03   8.660202e+01
  5.682110e-02   2.115255e+03   8.479600e+01
  5.945570e-02   1.963605e+03   7.734398e+01
  6.209040e-02   1.967784e+03   7.258415e+01
  6.472500e-02   2.109533e+03   7.332211e+01
  6.735970e-02   1.990593e+03   6.710180e+01
  6.999440e-02   1.899476e+03   6.449827e+01
  7.262900e-02   2.014542e+03   6.294609e+01
  7.526370e-02   1.935755e+03   5.997942e+01
  7.789830e-02   1.920711e+03   5.843544e+01
  8.053300e-02   1.954171e+03   5.649991e+01
  8.316760e-02   1.958807e+03   5.640256e+01
  8.580230e-02   1.925740e+03   5.413078e+01
  8.843690e-02   1.915362e+03   5.264713e+01
  9.107160e-02   1.957613e+03   5.209202e+01
  9.370620e-02   1.911202e+03   5.065578e+01
  9.634090e-02   1.876905e+03   4.937000e+01
  9.897560e-02   1.885729e+03   4.829442e+01
  1.016100e-01   1.858667e+03   4.757027e+01
  1.042450e-01   1.884209e+03   4.621244e+01
  1.068800e-01   1.910958e+03   4.620320e+01
  1.095140e-01   1.809238e+03   4.508925e+01
  1.121490e-01   1.894678e+03   4.453869e+01
  1.147830e-01   1.950675e+03   4.451896e+01
  1.174180e-01   1.897571e+03   4.308642e+01
  1.200530e-01   1.786072e+03   4.200024e+01
  1.226870e-01   1.773384e+03   4.137604e+01
  1.253220e-01   1.874451e+03   4.121471e+01
