Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): C:/Users/jeffries/Desktop/SASBDB/Submissions/transglutaminase_FAB_complex/complex_data.dat
 1.438000e-001  1.969860e+004  1.481080e+002
 1.464000e-001  1.957250e+004  1.481160e+002
 1.490000e-001  1.930300e+004  1.438980e+002
 1.517000e-001  1.929430e+004  1.435120e+002
 1.543000e-001  1.914860e+004  1.470950e+002
 1.569000e-001  1.913110e+004  1.467130e+002
 1.596000e-001  1.917520e+004  1.474270e+002
 1.622000e-001  1.917850e+004  1.457830e+002
 1.648000e-001  1.893520e+004  1.465150e+002
 1.675000e-001  1.890220e+004  1.459390e+002
 1.701000e-001  1.862640e+004  1.446540e+002
 1.727000e-001  1.863450e+004  1.444650e+002
 1.754000e-001  1.865980e+004  1.433140e+002
 1.780000e-001  1.853080e+004  1.434980e+002
 1.807000e-001  1.833090e+004  1.413200e+002
 1.833000e-001  1.849920e+004  1.427440e+002
 1.859000e-001  1.826500e+004  1.413420e+002
 1.886000e-001  1.823210e+004  1.388870e+002
 1.912000e-001  1.818060e+004  1.399230e+002
 1.938000e-001  1.817350e+004  1.382820e+002
 1.965000e-001  1.784400e+004  1.382040e+002
 1.991000e-001  1.770400e+004  1.372420e+002
 2.017000e-001  1.774830e+004  1.357080e+002
 2.044000e-001  1.745740e+004  1.337240e+002
 2.070000e-001  1.750250e+004  1.322280e+002
 2.096000e-001  1.730230e+004  1.339160e+002
 2.123000e-001  1.725130e+004  1.309220e+002
 2.149000e-001  1.717040e+004  1.309380e+002
 2.175000e-001  1.698350e+004  1.302800e+002
 2.202000e-001  1.689820e+004  1.293170e+002
 2.228000e-001  1.665430e+004  1.295400e+002
 2.254000e-001  1.671190e+004  1.263090e+002
 2.281000e-001  1.654670e+004  1.261340e+002
 2.307000e-001  1.645580e+004  1.246540e+002
 2.333000e-001  1.649960e+004  1.251150e+002
 2.360000e-001  1.629860e+004  1.250080e+002
 2.386000e-001  1.615570e+004  1.225940e+002
 2.412000e-001  1.596550e+004  1.219400e+002
 2.439000e-001  1.596990e+004  1.209980e+002
 2.465000e-001  1.589110e+004  1.208010e+002
 2.492000e-001  1.582350e+004  1.206680e+002
 2.518000e-001  1.584920e+004  1.194580e+002
 2.544000e-001  1.564320e+004  1.195950e+002
 2.571000e-001  1.538130e+004  1.163210e+002
 2.597000e-001  1.521650e+004  1.158280e+002
 2.623000e-001  1.513340e+004  1.159180e+002
 2.650000e-001  1.518580e+004  1.154410e+002
 2.676000e-001  1.501900e+004  1.148250e+002
 2.702000e-001  1.495100e+004  1.127420e+002
 2.729000e-001  1.488050e+004  1.131650e+002
 2.755000e-001  1.467560e+004  1.112770e+002
 2.781000e-001  1.462860e+004  1.110180e+002
 2.808000e-001  1.452780e+004  1.105110e+002
 2.834000e-001  1.445960e+004  1.099090e+002
 2.860000e-001  1.419560e+004  1.087580e+002
 2.887000e-001  1.417550e+004  1.072740e+002
 2.913000e-001  1.396340e+004  1.066520e+002
 2.939000e-001  1.375620e+004  1.059980e+002
 2.966000e-001  1.368340e+004  1.050470e+002
 2.992000e-001  1.365140e+004  1.054350e+002
 3.018000e-001  1.367020e+004  1.035390e+002
 3.045000e-001  1.340840e+004  1.029940e+002
 3.071000e-001  1.333110e+004  1.026140e+002
 3.097000e-001  1.327570e+004  1.024330e+002
 3.124000e-001  1.313040e+004  1.012900e+002
 3.150000e-001  1.291590e+004  9.873280e+001
 3.177000e-001  1.293690e+004  9.983760e+001
 3.203000e-001  1.262310e+004  9.783360e+001
 3.229000e-001  1.253660e+004  9.778160e+001
 3.256000e-001  1.271660e+004  9.815040e+001
 3.282000e-001  1.241980e+004  9.592160e+001
 3.308000e-001  1.242730e+004  9.673120e+001
 3.335000e-001  1.235480e+004  9.534480e+001
 3.361000e-001  1.222500e+004  9.494560e+001
 3.387000e-001  1.209100e+004  9.361280e+001
 3.414000e-001  1.198840e+004  9.262720e+001
 3.440000e-001  1.182380e+004  9.289600e+001
 3.466000e-001  1.175860e+004  9.129760e+001
 3.493000e-001  1.174200e+004  9.191200e+001
 3.519000e-001  1.146130e+004  9.058640e+001
 3.545000e-001  1.144060e+004  9.026000e+001
 3.572000e-001  1.120800e+004  8.986880e+001
 3.598000e-001  1.118110e+004  9.109200e+001
 3.624000e-001  1.114770e+004  9.269440e+001
 3.651000e-001  1.097910e+004  9.224400e+001
 3.677000e-001  1.094880e+004  9.321760e+001
 3.703000e-001  1.089700e+004  9.309040e+001
 3.730000e-001  1.080500e+004  9.316720e+001
 3.756000e-001  1.066960e+004  9.389040e+001
 3.782000e-001  1.055450e+004  9.248560e+001
 3.809000e-001  1.040460e+004  9.335680e+001
 3.835000e-001  1.037680e+004  9.240960e+001
 3.862000e-001  1.025900e+004  9.344320e+001
 3.888000e-001  1.019300e+004  9.340640e+001
 3.914000e-001  1.009560e+004  9.205040e+001
 3.941000e-001  9.974800e+003  9.302560e+001
 3.967000e-001  9.922560e+003  9.197040e+001
 3.993000e-001  9.792560e+003  9.235280e+001
 4.020000e-001  9.603360e+003  9.095520e+001
 4.046000e-001  9.552640e+003  9.140080e+001
 4.072000e-001  9.428160e+003  9.169760e+001
 4.099000e-001  9.378240e+003  9.044800e+001
 4.125000e-001  9.300640e+003  8.995680e+001
 4.151000e-001  9.166080e+003  8.664480e+001
 4.178000e-001  9.036640e+003  8.485520e+001
 4.204000e-001  8.993600e+003  8.391680e+001
 4.230000e-001  8.865680e+003  8.184240e+001
 4.257000e-001  8.825760e+003  8.197920e+001
 4.283000e-001  8.795600e+003  8.026480e+001
 4.309000e-001  8.628160e+003  7.959980e+001
 4.336000e-001  8.502640e+003  7.928850e+001
 4.362000e-001  8.440720e+003  7.752900e+001
 4.388000e-001  8.387840e+003  7.747550e+001
 4.415000e-001  8.343200e+003  7.615610e+001
 4.441000e-001  8.237680e+003  7.614380e+001
 4.467000e-001  8.100720e+003  7.494470e+001
 4.494000e-001  8.001360e+003  7.417030e+001
 4.520000e-001  8.016160e+003  7.445970e+001
 4.547000e-001  7.859240e+003  7.275610e+001
 4.573000e-001  7.789360e+003  7.291710e+001
 4.599000e-001  7.676170e+003  7.170330e+001
 4.626000e-001  7.619590e+003  7.117660e+001
 4.652000e-001  7.515610e+003  7.074500e+001
 4.678000e-001  7.503840e+003  6.969490e+001
 4.705000e-001  7.434060e+003  6.988970e+001
 4.731000e-001  7.367220e+003  6.863780e+001
 4.757000e-001  7.222980e+003  6.894300e+001
 4.784000e-001  7.147710e+003  6.819290e+001
 4.810000e-001  7.089370e+003  6.705120e+001
 4.836000e-001  6.999250e+003  6.704160e+001
 4.863000e-001  6.887380e+003  6.572620e+001
 4.889000e-001  6.798220e+003  6.609530e+001
 4.915000e-001  6.739620e+003  6.498470e+001
 4.942000e-001  6.709500e+003  6.473900e+001
 4.968000e-001  6.641330e+003  6.504910e+001
 4.994000e-001  6.612920e+003  6.467290e+001
 5.021000e-001  6.473570e+003  6.358690e+001
 5.047000e-001  6.526470e+003  6.307460e+001
 5.073000e-001  6.421300e+003  6.259250e+001
 5.100000e-001  6.258130e+003  6.215500e+001
 5.126000e-001  6.178590e+003  6.148310e+001
 5.153000e-001  6.144400e+003  6.089420e+001
 5.179000e-001  6.103130e+003  6.054240e+001
 5.205000e-001  5.962230e+003  5.988340e+001
 5.232000e-001  5.936820e+003  5.983460e+001
 5.258000e-001  5.826940e+003  5.900380e+001
 5.284000e-001  5.869620e+003  6.009460e+001
 5.311000e-001  5.764420e+003  6.017560e+001
 5.337000e-001  5.713560e+003  6.055260e+001
 5.363000e-001  5.687640e+003  6.034010e+001
 5.390000e-001  5.581790e+003  6.013470e+001
 5.416000e-001  5.570220e+003  6.071580e+001
 5.442000e-001  5.412320e+003  6.047470e+001
 5.469000e-001  5.370300e+003  5.979940e+001
 5.495000e-001  5.286640e+003  5.923740e+001
 5.521000e-001  5.303150e+003  5.895860e+001
 5.548000e-001  5.256640e+003  5.882990e+001
 5.574000e-001  5.148980e+003  5.777310e+001
 5.600000e-001  5.133460e+003  5.684660e+001
 5.627000e-001  5.062240e+003  5.619640e+001
 5.653000e-001  4.967770e+003  5.515100e+001
 5.679000e-001  4.944580e+003  5.465700e+001
 5.706000e-001  4.912630e+003  5.388980e+001
 5.732000e-001  4.901930e+003  5.363840e+001
 5.758000e-001  4.788080e+003  5.310100e+001
 5.785000e-001  4.741040e+003  5.262800e+001
 5.811000e-001  4.695080e+003  5.198840e+001
 5.838000e-001  4.648550e+003  5.187050e+001
 5.864000e-001  4.604410e+003  5.176500e+001
 5.890000e-001  4.647580e+003  5.182410e+001
 5.917000e-001  4.582660e+003  5.108260e+001
 5.943000e-001  4.567200e+003  5.090540e+001
 5.969000e-001  4.451430e+003  5.046080e+001
 5.996000e-001  4.386140e+003  4.982120e+001
 6.022000e-001  4.353140e+003  4.953150e+001
 6.048000e-001  4.323820e+003  4.939540e+001
 6.075000e-001  4.270550e+003  4.877180e+001
 6.101000e-001  4.199140e+003  4.883950e+001
 6.127000e-001  4.071680e+003  4.760920e+001
 6.154000e-001  4.093400e+003  4.756160e+001
 6.180000e-001  4.084200e+003  4.751580e+001
