Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 9.83 mg/ml  Code: tmp
Parent(s): C:/Users/Sebastiaan/Documents/Science/Projects/PRV/UL26/SAXS/Data/Ser
 6.799610e-002  2.631882e+003  2.700307e+002
 7.062820e-002  2.733917e+003  1.299344e+002
 7.326030e-002  2.855727e+003  1.095825e+002
 7.589240e-002  3.012879e+003  9.369405e+001
 7.852440e-002  2.912452e+003  8.288858e+001
 8.115650e-002  3.066958e+003  7.452815e+001
 8.378860e-002  3.070435e+003  7.136243e+001
 8.642070e-002  2.928728e+003  6.962023e+001
 8.905270e-002  2.910431e+003  6.633789e+001
 9.168480e-002  2.930554e+003  6.609297e+001
 9.431690e-002  3.025767e+003  6.571744e+001
 9.694900e-002  2.916973e+003  6.176914e+001
 9.958100e-002  2.936638e+003  6.248430e+001
 1.022130e-001  2.892403e+003  5.993678e+001
 1.048450e-001  2.946801e+003  6.059534e+001
 1.074770e-001  2.890279e+003  5.812125e+001
 1.101090e-001  2.961335e+003  5.711685e+001
 1.127410e-001  2.931314e+003  5.702374e+001
 1.153740e-001  2.884268e+003  5.607517e+001
 1.180060e-001  2.830178e+003  5.475512e+001
 1.206380e-001  2.803446e+003  5.374136e+001
 1.232700e-001  2.862487e+003  5.206181e+001
 1.259020e-001  2.812037e+003  5.296201e+001
 1.285340e-001  2.853098e+003  5.138657e+001
 1.311660e-001  2.873235e+003  5.128410e+001
 1.337980e-001  2.842249e+003  5.000281e+001
 1.364300e-001  2.757961e+003  4.913054e+001
 1.390620e-001  2.871520e+003  4.982401e+001
 1.416940e-001  2.929077e+003  4.867503e+001
 1.443260e-001  2.826255e+003  4.938437e+001
 1.469580e-001  2.869627e+003  4.993427e+001
 1.495900e-001  2.831844e+003  5.053942e+001
 1.522230e-001  2.836573e+003  4.923300e+001
 1.548550e-001  2.889503e+003  4.971068e+001
 1.574870e-001  2.797877e+003  4.898149e+001
 1.601190e-001  2.790031e+003  4.923014e+001
 1.627510e-001  2.740401e+003  4.900482e+001
 1.653830e-001  2.751815e+003  4.867043e+001
 1.680150e-001  2.828772e+003  4.845518e+001
 1.706470e-001  2.828717e+003  4.867426e+001
 1.732790e-001  2.765614e+003  4.855747e+001
 1.759110e-001  2.853623e+003  4.828816e+001
 1.785430e-001  2.801128e+003  4.691448e+001
 1.811750e-001  2.809959e+003  4.827014e+001
 1.838070e-001  2.720270e+003  4.667271e+001
 1.864400e-001  2.727297e+003  4.628372e+001
 1.890720e-001  2.689335e+003  4.636078e+001
 1.917040e-001  2.797909e+003  4.669191e+001
 1.943360e-001  2.706575e+003  4.645353e+001
 1.969680e-001  2.674345e+003  4.540413e+001
 1.996000e-001  2.688589e+003  4.526535e+001
 2.022320e-001  2.668461e+003  4.539018e+001
 2.048640e-001  2.698815e+003  4.519320e+001
 2.074960e-001  2.566715e+003  4.434039e+001
 2.101280e-001  2.687801e+003  4.482207e+001
 2.127600e-001  2.606165e+003  4.338954e+001
 2.153920e-001  2.625156e+003  4.484160e+001
 2.180240e-001  2.701723e+003  4.353461e+001
 2.206570e-001  2.651499e+003  4.376451e+001
 2.232890e-001  2.648434e+003  4.333522e+001
 2.259210e-001  2.651336e+003  4.274256e+001
 2.285530e-001  2.613725e+003  4.423274e+001
 2.311850e-001  2.625597e+003  4.217244e+001
 2.338170e-001  2.563657e+003  4.258637e+001
 2.364490e-001  2.594862e+003  4.164513e+001
 2.390810e-001  2.583031e+003  4.258186e+001
 2.417130e-001  2.584165e+003  4.238485e+001
 2.443450e-001  2.619708e+003  4.141984e+001
 2.469770e-001  2.635149e+003  4.219991e+001
 2.496090e-001  2.620209e+003  4.146842e+001
 2.522410e-001  2.579388e+003  4.117064e+001
 2.548740e-001  2.560677e+003  4.068465e+001
 2.575060e-001  2.559604e+003  4.032772e+001
 2.601380e-001  2.466046e+003  4.049137e+001
