 02-Dec-2007       (gue_056.dat - 1.0*gue_057.dat) /  3.0000                  
 gue_056.dat  Conc = .30E+01  N1 =    1  N2 =  872
 gue_057.dat  Conc = 0.0d+0   N1 =    1  N2 =  872
  0.503372E-01  0.465333E+00  0.330565E+00
  0.530195E-01  0.585667E+00  0.884330E-01
  0.557018E-01  0.722000E+00  0.709992E-01
  0.583840E-01  0.626867E+00  0.536185E-01
  0.610663E-01  0.772233E+00  0.494725E-01
  0.637485E-01  0.658433E+00  0.408979E-01
  0.664308E-01  0.648367E+00  0.344721E-01
  0.691131E-01  0.634467E+00  0.312491E-01
  0.717953E-01  0.613867E+00  0.273250E-01
  0.744776E-01  0.622667E+00  0.256471E-01
  0.771598E-01  0.607700E+00  0.222347E-01
  0.798421E-01  0.549367E+00  0.195777E-01
  0.825244E-01  0.580567E+00  0.191480E-01
  0.852066E-01  0.563167E+00  0.160477E-01
  0.878889E-01  0.531433E+00  0.154041E-01
  0.905711E-01  0.530333E+00  0.135070E-01
  0.932534E-01  0.528200E+00  0.123889E-01
  0.959356E-01  0.523867E+00  0.127649E-01
  0.986179E-01  0.500067E+00  0.105394E-01
  0.101300E+00  0.501267E+00  0.105965E-01
  0.103982E+00  0.498113E+00  0.893295E-02
  0.106665E+00  0.485003E+00  0.871829E-02
  0.109347E+00  0.490910E+00  0.882405E-02
  0.112029E+00  0.484473E+00  0.759144E-02
  0.114711E+00  0.482187E+00  0.735627E-02
  0.117394E+00  0.467427E+00  0.657997E-02
  0.120076E+00  0.466607E+00  0.639010E-02
  0.122758E+00  0.454630E+00  0.642593E-02
  0.125440E+00  0.448500E+00  0.567220E-02
  0.128123E+00  0.440327E+00  0.553314E-02
  0.130805E+00  0.442157E+00  0.506830E-02
  0.133487E+00  0.420860E+00  0.489396E-02
  0.136170E+00  0.430763E+00  0.461398E-02
  0.138852E+00  0.430740E+00  0.446711E-02
  0.141534E+00  0.423617E+00  0.446086E-02
  0.144216E+00  0.412563E+00  0.408419E-02
  0.146899E+00  0.411343E+00  0.401037E-02
  0.149581E+00  0.404083E+00  0.367202E-02
  0.152263E+00  0.403763E+00  0.370952E-02
  0.154945E+00  0.399060E+00  0.349175E-02
  0.157628E+00  0.391920E+00  0.346601E-02
  0.160310E+00  0.383727E+00  0.325037E-02
  0.162992E+00  0.384987E+00  0.311223E-02
  0.165674E+00  0.382920E+00  0.308709E-02
  0.168357E+00  0.379907E+00  0.296370E-02
  0.171039E+00  0.371987E+00  0.287374E-02
  0.173721E+00  0.365690E+00  0.272113E-02
  0.176403E+00  0.364875E+00  0.274693E-02
  0.179086E+00  0.359535E+00  0.270909E-02
  0.181768E+00  0.358856E+00  0.253673E-02
  0.184450E+00  0.351450E+00  0.245794E-02
  0.187132E+00  0.346154E+00  0.248630E-02
  0.189815E+00  0.346261E+00  0.239036E-02
  0.192497E+00  0.339275E+00  0.239584E-02
  0.195179E+00  0.338793E+00  0.219021E-02
  0.197861E+00  0.328557E+00  0.222649E-02
  0.200544E+00  0.329687E+00  0.216500E-02
  0.203226E+00  0.326215E+00  0.216549E-02
  0.205908E+00  0.323272E+00  0.208774E-02
  0.208591E+00  0.319372E+00  0.199800E-02
  0.211273E+00  0.317248E+00  0.207316E-02
  0.213955E+00  0.310962E+00  0.195055E-02
  0.216637E+00  0.307321E+00  0.192228E-02
  0.219320E+00  0.308264E+00  0.191954E-02
  0.222002E+00  0.301598E+00  0.184064E-02
  0.224684E+00  0.296478E+00  0.188353E-02
  0.227366E+00  0.295630E+00  0.174195E-02
  0.230049E+00  0.296841E+00  0.182323E-02
  0.232731E+00  0.289170E+00  0.172914E-02
  0.235413E+00  0.287794E+00  0.172764E-02
  0.238095E+00  0.282717E+00  0.174044E-02
  0.240778E+00  0.277912E+00  0.159799E-02
  0.243460E+00  0.279274E+00  0.167358E-02
  0.246142E+00  0.273110E+00  0.163523E-02
  0.248824E+00  0.272631E+00  0.161366E-02
  0.251507E+00  0.269405E+00  0.161135E-02
  0.254189E+00  0.266643E+00  0.154676E-02
  0.256871E+00  0.262486E+00  0.161857E-02
  0.259553E+00  0.260107E+00  0.155389E-02
  0.262236E+00  0.257252E+00  0.153199E-02
  0.264918E+00  0.249454E+00  0.155541E-02
  0.267600E+00  0.249613E+00  0.147218E-02
  0.270282E+00  0.246718E+00  0.156055E-02
  0.272965E+00  0.243885E+00  0.146484E-02
  0.275647E+00  0.241425E+00  0.149535E-02
  0.278329E+00  0.240031E+00  0.150060E-02
  0.281012E+00  0.237863E+00  0.143170E-02
  0.283694E+00  0.231952E+00  0.148181E-02
  0.286376E+00  0.233464E+00  0.141650E-02
  0.289058E+00  0.229991E+00  0.143861E-02
  0.291741E+00  0.224942E+00  0.143966E-02
  0.294423E+00  0.222734E+00  0.142874E-02
  0.297105E+00  0.216844E+00  0.144082E-02
  0.299787E+00  0.217034E+00  0.140931E-02
  0.302470E+00  0.213056E+00  0.142605E-02
  0.305152E+00  0.207990E+00  0.141514E-02
  0.307834E+00  0.206056E+00  0.138196E-02
  0.310516E+00  0.205118E+00  0.141403E-02
  0.313199E+00  0.201020E+00  0.142019E-02
  0.315881E+00  0.201139E+00  0.142469E-02
  0.318563E+00  0.197520E+00  0.137550E-02
  0.321245E+00  0.193383E+00  0.138962E-02
  0.323928E+00  0.190397E+00  0.139584E-02
  0.326610E+00  0.187695E+00  0.140585E-02
  0.329292E+00  0.187885E+00  0.138455E-02
  0.331974E+00  0.183360E+00  0.133246E-02
  0.334657E+00  0.179136E+00  0.137903E-02
  0.337339E+00  0.178820E+00  0.136549E-02
  0.340021E+00  0.174882E+00  0.139810E-02
  0.342703E+00  0.174165E+00  0.134942E-02
  0.345386E+00  0.169031E+00  0.133702E-02
  0.348068E+00  0.169265E+00  0.134887E-02
  0.350750E+00  0.165653E+00  0.135057E-02
  0.353432E+00  0.164592E+00  0.135697E-02
  0.356115E+00  0.162733E+00  0.131380E-02
  0.358797E+00  0.159756E+00  0.131938E-02
  0.361479E+00  0.156158E+00  0.135628E-02
  0.364162E+00  0.157823E+00  0.130689E-02
  0.366844E+00  0.154224E+00  0.132181E-02
  0.369526E+00  0.149382E+00  0.131903E-02
  0.372208E+00  0.150289E+00  0.130808E-02
  0.374891E+00  0.148045E+00  0.132405E-02
  0.377573E+00  0.144433E+00  0.127831E-02
  0.380255E+00  0.144200E+00  0.131590E-02
  0.382937E+00  0.141155E+00  0.128094E-02
  0.385620E+00  0.139095E+00  0.129300E-02
  0.388302E+00  0.135449E+00  0.125241E-02
  0.390984E+00  0.132833E+00  0.128265E-02
  0.393666E+00  0.133084E+00  0.128750E-02
  0.396349E+00  0.130770E+00  0.127775E-02
  0.399031E+00  0.129295E+00  0.124617E-02
  0.401713E+00  0.128963E+00  0.126052E-02
  0.404395E+00  0.125807E+00  0.126386E-02
  0.407078E+00  0.124442E+00  0.126352E-02
  0.409760E+00  0.120586E+00  0.124030E-02
  0.412442E+00  0.120495E+00  0.125226E-02
  0.415124E+00  0.117807E+00  0.123174E-02
  0.417807E+00  0.117026E+00  0.123565E-02
  0.420489E+00  0.115179E+00  0.123378E-02
  0.423171E+00  0.113024E+00  0.121999E-02
  0.425853E+00  0.111046E+00  0.122780E-02
  0.428536E+00  0.107931E+00  0.123180E-02
  0.431218E+00  0.106622E+00  0.120907E-02
  0.433900E+00  0.105290E+00  0.117941E-02
  0.436583E+00  0.102347E+00  0.119280E-02
  0.439265E+00  0.102535E+00  0.120240E-02
  0.441947E+00  0.100805E+00  0.120415E-02
  0.444629E+00  0.100797E+00  0.118779E-02
  0.447312E+00  0.960297E-01  0.116495E-02
  0.449994E+00  0.932830E-01  0.118033E-02
  0.452676E+00  0.935760E-01  0.117399E-02
  0.455358E+00  0.925527E-01  0.115179E-02
  0.458041E+00  0.925513E-01  0.116931E-02
  0.460723E+00  0.920730E-01  0.116097E-02
  0.463405E+00  0.888537E-01  0.114489E-02
  0.466087E+00  0.862817E-01  0.113780E-02
  0.468770E+00  0.840913E-01  0.112922E-02
  0.471452E+00  0.821100E-01  0.113896E-02
  0.474134E+00  0.822203E-01  0.113785E-02
  0.476816E+00  0.801467E-01  0.112632E-02
  0.479499E+00  0.800900E-01  0.111069E-02
  0.482181E+00  0.788293E-01  0.110354E-02
  0.484863E+00  0.782540E-01  0.111691E-02
  0.487545E+00  0.760700E-01  0.112590E-02
  0.490228E+00  0.737330E-01  0.107848E-02
  0.492910E+00  0.747140E-01  0.109949E-02
  0.495592E+00  0.724997E-01  0.110398E-02
  0.498274E+00  0.700613E-01  0.110292E-02
  0.500957E+00  0.694143E-01  0.107664E-02
  0.503639E+00  0.685667E-01  0.107892E-02
  0.506321E+00  0.679157E-01  0.109875E-02
  0.509004E+00  0.677307E-01  0.108705E-02
  0.511686E+00  0.646770E-01  0.107448E-02
  0.514368E+00  0.651740E-01  0.106105E-02
  0.517050E+00  0.662953E-01  0.107218E-02
  0.519733E+00  0.623467E-01  0.106332E-02
  0.522415E+00  0.610757E-01  0.105555E-02
  0.525097E+00  0.620283E-01  0.107078E-02
  0.527779E+00  0.601653E-01  0.105343E-02
  0.530462E+00  0.585717E-01  0.105541E-02
  0.533144E+00  0.591217E-01  0.106875E-02
  0.535826E+00  0.555720E-01  0.104472E-02
  0.538508E+00  0.574067E-01  0.104619E-02
  0.541191E+00  0.559913E-01  0.105963E-02
  0.543873E+00  0.550417E-01  0.106160E-02
  0.546555E+00  0.525043E-01  0.102485E-02
  0.549237E+00  0.517650E-01  0.103033E-02
  0.551920E+00  0.508633E-01  0.104465E-02
  0.554602E+00  0.509243E-01  0.105157E-02
  0.557284E+00  0.512057E-01  0.103102E-02
  0.559966E+00  0.496180E-01  0.104036E-02
  0.562649E+00  0.497497E-01  0.103822E-02
  0.565331E+00  0.488460E-01  0.104559E-02
  0.568013E+00  0.478563E-01  0.101209E-02
  0.570695E+00  0.449253E-01  0.103279E-02
  0.573378E+00  0.462680E-01  0.102549E-02
  0.576060E+00  0.458097E-01  0.102345E-02
  0.578742E+00  0.450483E-01  0.103447E-02
  0.581425E+00  0.444317E-01  0.101409E-02
  0.584107E+00  0.433260E-01  0.101071E-02
  0.586789E+00  0.418400E-01  0.101753E-02
  0.589471E+00  0.428513E-01  0.101348E-02
  0.592154E+00  0.395693E-01  0.996122E-03
  0.594836E+00  0.406133E-01  0.100633E-02
  0.597518E+00  0.413590E-01  0.100632E-02
  0.600200E+00  0.395830E-01  0.100957E-02
  0.602883E+00  0.388347E-01  0.985952E-03
  0.605565E+00  0.371603E-01  0.100179E-02
  0.608247E+00  0.379273E-01  0.992569E-03
  0.610929E+00  0.364023E-01  0.996967E-03
  0.613612E+00  0.364120E-01  0.966281E-03
  0.616294E+00  0.358200E-01  0.970071E-03
  0.618976E+00  0.340607E-01  0.992306E-03
