 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.871252E-01  0.289548E+02  0.168528E+02
  0.898592E-01  0.369898E+02  0.581065E+01
  0.925932E-01  0.310442E+02  0.468943E+01
  0.953273E-01  0.288961E+02  0.423658E+01
  0.980613E-01  0.376190E+02  0.371560E+01
  0.100795E+00  0.336233E+02  0.339039E+01
  0.103529E+00  0.327364E+02  0.302817E+01
  0.106263E+00  0.351214E+02  0.281977E+01
  0.108998E+00  0.356361E+02  0.250211E+01
  0.111732E+00  0.341728E+02  0.232490E+01
  0.114466E+00  0.348547E+02  0.217056E+01
  0.117200E+00  0.333765E+02  0.199814E+01
  0.119934E+00  0.343331E+02  0.185507E+01
  0.122668E+00  0.328857E+02  0.170196E+01
  0.125402E+00  0.332650E+02  0.159789E+01
  0.128136E+00  0.337856E+02  0.152404E+01
  0.130870E+00  0.353424E+02  0.140946E+01
  0.133604E+00  0.347064E+02  0.134300E+01
  0.136338E+00  0.335205E+02  0.123996E+01
  0.139072E+00  0.342993E+02  0.117563E+01
  0.141806E+00  0.342147E+02  0.109455E+01
  0.144540E+00  0.338242E+02  0.105086E+01
  0.147274E+00  0.320081E+02  0.101166E+01
  0.150008E+00  0.332928E+02  0.939144E+00
  0.152742E+00  0.335749E+02  0.908428E+00
  0.155476E+00  0.332606E+02  0.845156E+00
  0.158210E+00  0.340174E+02  0.823534E+00
  0.160944E+00  0.335097E+02  0.777808E+00
  0.163678E+00  0.338450E+02  0.752343E+00
  0.166412E+00  0.326752E+02  0.712953E+00
  0.169146E+00  0.326344E+02  0.680788E+00
  0.171881E+00  0.316140E+02  0.655198E+00
  0.174615E+00  0.317305E+02  0.625966E+00
  0.177349E+00  0.319628E+02  0.603117E+00
  0.180083E+00  0.315682E+02  0.571391E+00
  0.182817E+00  0.309320E+02  0.559379E+00
  0.185551E+00  0.308020E+02  0.543130E+00
  0.188285E+00  0.307921E+02  0.514261E+00
  0.191019E+00  0.304089E+02  0.495195E+00
  0.193753E+00  0.305701E+02  0.486522E+00
  0.196487E+00  0.300193E+02  0.468248E+00
  0.199221E+00  0.303545E+02  0.460177E+00
  0.201955E+00  0.295185E+02  0.426875E+00
  0.204689E+00  0.299341E+02  0.427144E+00
  0.207423E+00  0.293926E+02  0.413184E+00
  0.210157E+00  0.286925E+02  0.407609E+00
  0.212891E+00  0.292098E+02  0.396721E+00
  0.215625E+00  0.292440E+02  0.382322E+00
  0.218359E+00  0.285764E+02  0.383621E+00
  0.221093E+00  0.277401E+02  0.365951E+00
  0.223827E+00  0.284608E+02  0.360416E+00
  0.226561E+00  0.281595E+02  0.356035E+00
  0.229295E+00  0.280151E+02  0.344275E+00
  0.232029E+00  0.280707E+02  0.346638E+00
  0.234764E+00  0.274636E+02  0.326857E+00
  0.237498E+00  0.274401E+02  0.334215E+00
  0.240232E+00  0.273981E+02  0.320693E+00
  0.242966E+00  0.264975E+02  0.315937E+00
  0.245700E+00  0.262460E+02  0.314376E+00
  0.248434E+00  0.262995E+02  0.297220E+00
  0.251168E+00  0.258855E+02  0.300664E+00
  0.253902E+00  0.261653E+02  0.294066E+00
  0.256636E+00  0.257551E+02  0.287302E+00
  0.259370E+00  0.254871E+02  0.281451E+00
  0.262104E+00  0.250236E+02  0.270639E+00
  0.264838E+00  0.253276E+02  0.276410E+00
  0.267572E+00  0.247328E+02  0.265758E+00
  0.270306E+00  0.245193E+02  0.259461E+00
  0.273040E+00  0.247125E+02  0.259517E+00
  0.275774E+00  0.240748E+02  0.249001E+00
  0.278508E+00  0.235253E+02  0.251376E+00
  0.281242E+00  0.238706E+02  0.242449E+00
  0.283976E+00  0.239241E+02  0.242382E+00
  0.286710E+00  0.234218E+02  0.239908E+00
  0.289444E+00  0.233698E+02  0.232895E+00
  0.292178E+00  0.229231E+02  0.231826E+00
  0.294912E+00  0.229018E+02  0.225818E+00
  0.297647E+00  0.227798E+02  0.224531E+00
  0.300381E+00  0.224904E+02  0.223996E+00
  0.303115E+00  0.224824E+02  0.219215E+00
  0.305849E+00  0.221264E+02  0.214842E+00
  0.308583E+00  0.218244E+02  0.212857E+00
  0.311317E+00  0.217233E+02  0.208920E+00
  0.314051E+00  0.214531E+02  0.208090E+00
  0.316785E+00  0.211380E+02  0.201043E+00
  0.319519E+00  0.210207E+02  0.202083E+00
  0.322253E+00  0.212091E+02  0.202197E+00
  0.324987E+00  0.206945E+02  0.197257E+00
  0.327721E+00  0.206568E+02  0.193986E+00
  0.330455E+00  0.206045E+02  0.193417E+00
  0.333189E+00  0.202538E+02  0.192842E+00
  0.335923E+00  0.203313E+02  0.192950E+00
  0.338657E+00  0.201824E+02  0.188199E+00
  0.341391E+00  0.198976E+02  0.183063E+00
  0.344125E+00  0.197315E+02  0.184928E+00
  0.346859E+00  0.195299E+02  0.182375E+00
  0.349593E+00  0.195121E+02  0.184393E+00
  0.352327E+00  0.194551E+02  0.178193E+00
  0.355061E+00  0.193708E+02  0.176679E+00
  0.357795E+00  0.189650E+02  0.176231E+00
  0.360530E+00  0.190458E+02  0.177178E+00
  0.363264E+00  0.187760E+02  0.175761E+00
  0.365998E+00  0.187493E+02  0.171878E+00
  0.368732E+00  0.184778E+02  0.172641E+00
  0.371466E+00  0.183602E+02  0.174125E+00
  0.374200E+00  0.180754E+02  0.167714E+00
  0.376934E+00  0.178862E+02  0.169191E+00
  0.379668E+00  0.180627E+02  0.168926E+00
  0.382402E+00  0.176727E+02  0.167322E+00
  0.385136E+00  0.175853E+02  0.167610E+00
  0.387870E+00  0.176372E+02  0.163921E+00
  0.390604E+00  0.172075E+02  0.165092E+00
  0.393338E+00  0.171985E+02  0.162613E+00
  0.396072E+00  0.171064E+02  0.163331E+00
  0.398806E+00  0.169041E+02  0.159313E+00
  0.401540E+00  0.167295E+02  0.161198E+00
  0.404274E+00  0.168417E+02  0.162321E+00
  0.407008E+00  0.167727E+02  0.159350E+00
  0.409742E+00  0.163339E+02  0.157087E+00
  0.412476E+00  0.163055E+02  0.156062E+00
  0.415210E+00  0.159598E+02  0.156441E+00
