Sample description: NETRIN DCC56 AmS
Sample: NETRIN DCC56 Am  c= 2.8700 mg/ml  Code: RN11D56A
Parent(s): processed/subtracted/RN11D56A_0064_sub.dat
  5.355860e-02   1.232548e+03   1.340762e+02
  5.555710e-02   1.387317e+03   9.553449e+01
  5.755550e-02   1.353927e+03   7.522523e+01
  5.955390e-02   1.379285e+03   7.008028e+01
  6.155240e-02   1.389869e+03   6.207213e+01
  6.355080e-02   1.352154e+03   5.245244e+01
  6.554920e-02   1.371945e+03   5.177244e+01
  6.754770e-02   1.433358e+03   4.749066e+01
  6.954610e-02   1.276113e+03   4.739334e+01
  7.154450e-02   1.349837e+03   4.463958e+01
  7.354300e-02   1.368115e+03   4.326697e+01
  7.554140e-02   1.312556e+03   4.297861e+01
  7.753980e-02   1.330911e+03   4.067526e+01
  7.953830e-02   1.333007e+03   4.052021e+01
  8.153670e-02   1.321542e+03   3.816334e+01
  8.353510e-02   1.307899e+03   3.789631e+01
  8.553360e-02   1.291302e+03   3.761077e+01
  8.753200e-02   1.306375e+03   3.553073e+01
  8.953040e-02   1.323043e+03   3.617627e+01
  9.152890e-02   1.279331e+03   3.455369e+01
  9.352730e-02   1.238017e+03   3.502073e+01
  9.552570e-02   1.262980e+03   3.374333e+01
  9.752420e-02   1.286072e+03   3.253223e+01
  9.952260e-02   1.260190e+03   3.293871e+01
  1.015210e-01   1.195118e+03   3.111124e+01
  1.035190e-01   1.255834e+03   3.220430e+01
  1.055180e-01   1.289296e+03   3.102477e+01
  1.075160e-01   1.253837e+03   3.043887e+01
  1.095150e-01   1.255043e+03   3.075774e+01
  1.115130e-01   1.257168e+03   2.957104e+01
  1.135120e-01   1.190068e+03   2.980161e+01
  1.155100e-01   1.216433e+03   2.872395e+01
  1.175080e-01   1.220425e+03   2.877075e+01
  1.195070e-01   1.186541e+03   2.863931e+01
  1.215050e-01   1.204290e+03   2.775187e+01
  1.235040e-01   1.203410e+03   2.783217e+01
  1.255020e-01   1.210418e+03   2.719308e+01
  1.275010e-01   1.160153e+03   2.711906e+01
  1.294990e-01   1.211364e+03   2.722780e+01
  1.314980e-01   1.183326e+03   2.612489e+01
  1.334960e-01   1.185500e+03   2.639863e+01
  1.354940e-01   1.121140e+03   2.581599e+01
  1.374930e-01   1.115135e+03   2.579712e+01
  1.394910e-01   1.126833e+03   2.523859e+01
  1.414900e-01   1.125993e+03   2.483274e+01
  1.434880e-01   1.096024e+03   2.505952e+01
  1.454870e-01   1.132507e+03   2.462444e+01
  1.474850e-01   1.146784e+03   2.500988e+01
  1.494830e-01   1.136197e+03   2.389695e+01
  1.514820e-01   1.086050e+03   2.417480e+01
  1.534800e-01   1.150728e+03   2.380619e+01
  1.554790e-01   1.094591e+03   2.362349e+01
  1.574770e-01   1.135492e+03   2.413740e+01
  1.594760e-01   1.063507e+03   2.265657e+01
  1.614740e-01   1.075981e+03   2.335501e+01
  1.634720e-01   1.100947e+03   2.298353e+01
  1.654710e-01   1.112663e+03   2.235433e+01
  1.674690e-01   1.060852e+03   2.267111e+01
  1.694680e-01   1.042193e+03   2.214562e+01
  1.714660e-01   1.081620e+03   2.242016e+01
  1.734650e-01   1.065598e+03   2.181836e+01
  1.754630e-01   1.050536e+03   2.186690e+01
  1.774610e-01   1.033342e+03   2.174944e+01
  1.794600e-01   1.022840e+03   2.125153e+01
  1.814580e-01   1.044595e+03   2.120368e+01
  1.834570e-01   1.023988e+03   2.095578e+01
  1.854550e-01   1.002827e+03   2.100236e+01
  1.874540e-01   9.938822e+02   2.132667e+01
  1.894520e-01   1.036300e+03   2.102817e+01
  1.914510e-01   1.039101e+03   2.130670e+01
  1.934490e-01   9.816882e+02   2.108031e+01
  1.954470e-01   9.789188e+02   2.161149e+01
  1.974460e-01   9.819185e+02   2.141092e+01
  1.994440e-01   9.606544e+02   2.117016e+01
  2.014430e-01   1.000521e+03   2.114431e+01
  2.034410e-01   9.352822e+02   2.110611e+01
  2.054400e-01   9.346411e+02   2.109486e+01
  2.074380e-01   9.367882e+02   2.095549e+01
  2.094360e-01   9.509892e+02   2.129891e+01
  2.114350e-01   9.427986e+02   2.109798e+01
  2.134330e-01   9.586188e+02   2.161540e+01
  2.154320e-01   9.437122e+02   2.196137e+01
  2.174300e-01   9.461714e+02   2.121363e+01
  2.194290e-01   9.503857e+02   2.211696e+01
  2.214270e-01   9.248000e+02   2.200483e+01
  2.234250e-01   9.573878e+02   2.231644e+01
  2.254240e-01   8.643662e+02   2.204975e+01
  2.274220e-01   8.753659e+02   2.186369e+01
  2.294210e-01   9.092397e+02   2.254122e+01
  2.314190e-01   9.034540e+02   2.231393e+01
  2.334180e-01   8.433296e+02   2.231319e+01
  2.354160e-01   8.711091e+02   2.243549e+01
  2.374140e-01   8.334443e+02   2.237614e+01
  2.394130e-01   8.692930e+02   2.291829e+01
  2.414110e-01   8.363589e+02   2.216909e+01
  2.434100e-01   8.734422e+02   2.289558e+01
  2.454080e-01   8.462568e+02   2.265808e+01
  2.474070e-01   8.456317e+02   2.196849e+01
  2.494050e-01   8.443840e+02   2.151775e+01
  2.514040e-01   7.975192e+02   2.079543e+01
  2.534020e-01   8.103098e+02   2.133782e+01
  2.554000e-01   8.037425e+02   2.067145e+01
  2.573990e-01   8.518150e+02   2.132385e+01
  2.593970e-01   8.230554e+02   2.076217e+01
  2.613960e-01   8.348265e+02   2.083287e+01
  2.633940e-01   8.168997e+02   2.075903e+01
  2.653930e-01   7.835150e+02   2.008165e+01
  2.673910e-01   8.182854e+02   2.025377e+01
  2.693890e-01   7.923411e+02   2.032932e+01
