Sample description: DCC56ArgN11 AMS
Sample: DCC56ArgN11 AMS  c= 3.8800 mg/ml  Code: DArgN11
Parent(s): processed/subtracted/DArgN11_0024_sub.dat
  5.163230e-02   1.123647e+03   1.442329e+02
  5.362830e-02   1.129631e+03   9.777644e+01
  5.562430e-02   1.363554e+03   8.687552e+01
  5.762040e-02   1.244820e+03   7.639466e+01
  5.961640e-02   1.304247e+03   6.572626e+01
  6.161240e-02   1.218369e+03   5.910503e+01
  6.360840e-02   1.345500e+03   5.026415e+01
  6.560450e-02   1.290456e+03   4.638454e+01
  6.760050e-02   1.263049e+03   4.409693e+01
  6.959650e-02   1.206420e+03   4.215307e+01
  7.159250e-02   1.238449e+03   3.993495e+01
  7.358850e-02   1.207847e+03   3.731974e+01
  7.558460e-02   1.255055e+03   3.657619e+01
  7.758060e-02   1.258749e+03   3.505732e+01
  7.957660e-02   1.202563e+03   3.390196e+01
  8.157260e-02   1.222480e+03   3.233887e+01
  8.356870e-02   1.218305e+03   3.179513e+01
  8.556470e-02   1.258349e+03   3.035505e+01
  8.756070e-02   1.258161e+03   2.964052e+01
  8.955670e-02   1.227437e+03   2.868768e+01
  9.155280e-02   1.245708e+03   2.771593e+01
  9.354880e-02   1.250372e+03   2.748608e+01
  9.554480e-02   1.253113e+03   2.656778e+01
  9.754080e-02   1.220129e+03   2.553462e+01
  9.953680e-02   1.262196e+03   2.538792e+01
  1.015330e-01   1.199061e+03   2.451412e+01
  1.035290e-01   1.227686e+03   2.433653e+01
  1.055250e-01   1.241019e+03   2.347813e+01
  1.075210e-01   1.224351e+03   2.312256e+01
  1.095170e-01   1.233683e+03   2.257057e+01
  1.115130e-01   1.210315e+03   2.225223e+01
  1.135090e-01   1.187584e+03   2.192419e+01
  1.155050e-01   1.243464e+03   2.144496e+01
  1.175010e-01   1.203957e+03   2.120701e+01
  1.194970e-01   1.170279e+03   2.087061e+01
  1.214930e-01   1.231841e+03   2.050900e+01
  1.234890e-01   1.192577e+03   2.011127e+01
  1.254850e-01   1.179261e+03   1.994098e+01
  1.274810e-01   1.167387e+03   1.944511e+01
  1.294770e-01   1.160954e+03   1.953005e+01
  1.314730e-01   1.170018e+03   1.883507e+01
  1.334690e-01   1.125656e+03   1.863747e+01
  1.354650e-01   1.176759e+03   1.855114e+01
  1.374610e-01   1.160015e+03   1.835918e+01
  1.394570e-01   1.129422e+03   1.814936e+01
  1.414530e-01   1.150565e+03   1.790551e+01
  1.434490e-01   1.134312e+03   1.772406e+01
  1.454450e-01   1.132166e+03   1.749510e+01
  1.474410e-01   1.132757e+03   1.740223e+01
  1.494370e-01   1.139390e+03   1.693569e+01
  1.514330e-01   1.110724e+03   1.689657e+01
  1.534290e-01   1.151030e+03   1.683259e+01
  1.554250e-01   1.104825e+03   1.664025e+01
  1.574220e-01   1.124639e+03   1.649468e+01
  1.594180e-01   1.107873e+03   1.605731e+01
  1.614140e-01   1.087885e+03   1.619671e+01
  1.634100e-01   1.095566e+03   1.587234e+01
  1.654060e-01   1.077763e+03   1.568136e+01
  1.674020e-01   1.082156e+03   1.567544e+01
  1.693980e-01   1.086086e+03   1.539733e+01
  1.713940e-01   1.113956e+03   1.552213e+01
  1.733900e-01   1.076338e+03   1.511785e+01
  1.753860e-01   1.067167e+03   1.509888e+01
  1.773820e-01   1.051787e+03   1.489390e+01
  1.793780e-01   1.071666e+03   1.489759e+01
  1.813740e-01   1.078468e+03   1.486036e+01
  1.833700e-01   1.073175e+03   1.466890e+01
  1.853660e-01   1.058857e+03   1.500643e+01
  1.873620e-01   1.054320e+03   1.479858e+01
  1.893580e-01   1.038238e+03   1.494640e+01
  1.913540e-01   1.045684e+03   1.489815e+01
  1.933500e-01   1.066829e+03   1.495377e+01
  1.953460e-01   1.022038e+03   1.473984e+01
  1.973420e-01   1.028945e+03   1.481564e+01
  1.993380e-01   1.018331e+03   1.462675e+01
  2.013340e-01   1.014073e+03   1.470442e+01
  2.033300e-01   1.006250e+03   1.470011e+01
  2.053260e-01   1.012603e+03   1.470971e+01
  2.073220e-01   1.015404e+03   1.460544e+01
  2.093180e-01   1.014450e+03   1.451342e+01
  2.113140e-01   1.001215e+03   1.450015e+01
  2.133100e-01   1.008483e+03   1.438818e+01
  2.153060e-01   9.966866e+02   1.448838e+01
  2.173020e-01   9.870044e+02   1.450880e+01
  2.192980e-01   9.825165e+02   1.483337e+01
  2.212940e-01   9.664972e+02   1.466124e+01
  2.232900e-01   9.635758e+02   1.500780e+01
  2.252860e-01   9.736175e+02   1.501418e+01
  2.272820e-01   9.683075e+02   1.501467e+01
  2.292780e-01   9.556871e+02   1.510749e+01
  2.312740e-01   9.682521e+02   1.512322e+01
  2.332700e-01   9.353946e+02   1.512252e+01
  2.352660e-01   9.620760e+02   1.516994e+01
  2.372620e-01   9.060930e+02   1.497681e+01
  2.392580e-01   9.317312e+02   1.533942e+01
  2.412540e-01   9.278665e+02   1.510894e+01
  2.432500e-01   9.319923e+02   1.531524e+01
  2.452470e-01   9.169907e+02   1.508230e+01
  2.472430e-01   9.058044e+02   1.511928e+01
  2.492390e-01   9.052271e+02   1.531823e+01
  2.512350e-01   9.047956e+02   1.480579e+01
  2.532310e-01   8.964706e+02   1.470559e+01
  2.552270e-01   9.006405e+02   1.434264e+01
  2.572230e-01   8.740696e+02   1.416558e+01
  2.592190e-01   8.866920e+02   1.413584e+01
  2.612150e-01   8.823095e+02   1.404534e+01
  2.632110e-01   8.699673e+02   1.389807e+01
  2.652070e-01   8.858273e+02   1.395926e+01
  2.672030e-01   8.772696e+02   1.387268e+01
  2.691990e-01   8.626253e+02   1.356356e+01
  2.711950e-01   8.709899e+02   1.364614e+01
  2.731910e-01   8.269915e+02   1.341695e+01
  2.751870e-01   8.617487e+02   1.345710e+01
  2.771830e-01   8.363758e+02   1.336227e+01
  2.791790e-01   8.478039e+02   1.326664e+01
  2.811750e-01   8.286897e+02   1.326872e+01
  2.831710e-01   8.537603e+02   1.321144e+01
  2.851670e-01   8.442997e+02   1.320141e+01
  2.871630e-01   8.381920e+02   1.305555e+01
  2.891590e-01   8.016693e+02   1.295091e+01
  2.911550e-01   8.051608e+02   1.304146e+01
  2.931510e-01   8.135688e+02   1.262907e+01
  2.951470e-01   8.123265e+02   1.285887e+01
  2.971430e-01   7.943619e+02   1.268026e+01
  2.991390e-01   8.164567e+02   1.272213e+01
  3.011350e-01   7.968941e+02   1.260535e+01
  3.031310e-01   8.104544e+02   1.256091e+01
  3.051270e-01   7.898268e+02   1.253976e+01
  3.071230e-01   7.701451e+02   1.239989e+01
  3.091190e-01   7.791722e+02   1.231592e+01
  3.111150e-01   7.610374e+02   1.232854e+01
  3.131110e-01   7.719822e+02   1.231638e+01
  3.151070e-01   7.856361e+02   1.230723e+01
  3.171030e-01   7.700956e+02   1.224074e+01
  3.190990e-01   7.511369e+02   1.208110e+01
  3.210950e-01   7.589124e+02   1.208972e+01
  3.230910e-01   7.312320e+02   1.191189e+01
  3.250870e-01   7.755034e+02   1.207981e+01
  3.270830e-01   7.665534e+02   1.200379e+01
  3.290790e-01   7.381624e+02   1.189149e+01
  3.310760e-01   7.440858e+02   1.182187e+01
  3.330720e-01   7.471490e+02   1.185837e+01
  3.350680e-01   7.419180e+02   1.169476e+01
  3.370640e-01   7.220485e+02   1.171232e+01
  3.390600e-01   7.248601e+02   1.168088e+01
  3.410560e-01   7.228026e+02   1.163216e+01
  3.430520e-01   7.075722e+02   1.151392e+01
  3.450480e-01   7.032979e+02   1.146889e+01
  3.470440e-01   6.920500e+02   1.137497e+01
  3.490400e-01   7.186271e+02   1.153726e+01
  3.510360e-01   6.946601e+02   1.129355e+01
