 13-Feb-2014       (1.000 *avrg_FW7_0011.d - 1.000 *avrg_FW7_buffer) /  5.0000
avrg_FW7_001  Conc = .50E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
 _buffer.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 1694  SCALE =  1
  0.448682E-01  0.123282E+05  0.347232E+03
  0.475023E-01  0.124628E+05  0.316148E+03
  0.501363E-01  0.119896E+05  0.283734E+03
  0.527703E-01  0.111948E+05  0.255641E+03
  0.554043E-01  0.113956E+05  0.232790E+03
  0.580383E-01  0.109458E+05  0.220620E+03
  0.606723E-01  0.103886E+05  0.202586E+03
  0.633063E-01  0.105177E+05  0.193326E+03
  0.659403E-01  0.102514E+05  0.180483E+03
  0.685743E-01  0.976892E+04  0.172770E+03
  0.712083E-01  0.947905E+04  0.164868E+03
  0.738423E-01  0.928131E+04  0.154875E+03
  0.764763E-01  0.906183E+04  0.149539E+03
  0.791103E-01  0.895980E+04  0.144270E+03
  0.817443E-01  0.856078E+04  0.137501E+03
  0.843784E-01  0.820493E+04  0.131470E+03
  0.870124E-01  0.789906E+04  0.123920E+03
  0.896464E-01  0.787203E+04  0.119977E+03
  0.922804E-01  0.771099E+04  0.113236E+03
  0.949144E-01  0.739736E+04  0.108715E+03
  0.975484E-01  0.701907E+04  0.102646E+03
  0.100182E+00  0.704945E+04  0.100230E+03
  0.102816E+00  0.681024E+04  0.980883E+02
  0.105450E+00  0.665426E+04  0.937358E+02
  0.108084E+00  0.645018E+04  0.903039E+02
  0.110718E+00  0.625810E+04  0.877160E+02
  0.113352E+00  0.627210E+04  0.855810E+02
  0.115986E+00  0.608160E+04  0.842518E+02
  0.118620E+00  0.595639E+04  0.799040E+02
  0.121254E+00  0.583626E+04  0.773792E+02
  0.123888E+00  0.567951E+04  0.736583E+02
  0.126522E+00  0.558984E+04  0.708812E+02
  0.129156E+00  0.546122E+04  0.694777E+02
  0.131790E+00  0.533634E+04  0.677106E+02
  0.134424E+00  0.516228E+04  0.666576E+02
  0.137058E+00  0.506627E+04  0.651567E+02
  0.139693E+00  0.502221E+04  0.646427E+02
  0.142327E+00  0.497529E+04  0.650978E+02
  0.144961E+00  0.488733E+04  0.648705E+02
  0.147595E+00  0.480899E+04  0.651118E+02
  0.150229E+00  0.470640E+04  0.643230E+02
  0.152863E+00  0.464690E+04  0.626932E+02
  0.155497E+00  0.465481E+04  0.632147E+02
  0.158131E+00  0.455638E+04  0.626386E+02
  0.160765E+00  0.436932E+04  0.613354E+02
  0.163399E+00  0.431215E+04  0.604014E+02
  0.166033E+00  0.433875E+04  0.607450E+02
  0.168667E+00  0.426129E+04  0.599576E+02
  0.171301E+00  0.414395E+04  0.590196E+02
  0.173935E+00  0.418173E+04  0.586692E+02
  0.176569E+00  0.410574E+04  0.580309E+02
  0.179203E+00  0.407502E+04  0.579691E+02
  0.181837E+00  0.397919E+04  0.571482E+02
  0.184471E+00  0.390973E+04  0.562702E+02
  0.187105E+00  0.383626E+04  0.556195E+02
  0.189739E+00  0.372739E+04  0.546834E+02
  0.192373E+00  0.371081E+04  0.545466E+02
  0.195007E+00  0.374589E+04  0.545143E+02
  0.197641E+00  0.364813E+04  0.532756E+02
  0.200275E+00  0.360614E+04  0.533785E+02
  0.202909E+00  0.359063E+04  0.526579E+02
  0.205543E+00  0.346411E+04  0.519669E+02
  0.208177E+00  0.342918E+04  0.508379E+02
  0.210811E+00  0.342484E+04  0.512301E+02
  0.213445E+00  0.344249E+04  0.509415E+02
  0.216079E+00  0.336110E+04  0.503283E+02
  0.218713E+00  0.335423E+04  0.497954E+02
  0.221347E+00  0.325894E+04  0.491521E+02
  0.223981E+00  0.324593E+04  0.491121E+02
  0.226615E+00  0.322245E+04  0.487236E+02
  0.229249E+00  0.319211E+04  0.478317E+02
  0.231883E+00  0.307642E+04  0.477670E+02
  0.234517E+00  0.308858E+04  0.470531E+02
  0.237151E+00  0.312710E+04  0.473936E+02
  0.239785E+00  0.304452E+04  0.463881E+02
  0.242419E+00  0.295322E+04  0.458958E+02
  0.245053E+00  0.299909E+04  0.463134E+02
  0.247687E+00  0.290619E+04  0.452808E+02
  0.250321E+00  0.285569E+04  0.449649E+02
  0.252955E+00  0.288063E+04  0.442651E+02
  0.255589E+00  0.281986E+04  0.442289E+02
  0.258223E+00  0.277964E+04  0.441105E+02
  0.260857E+00  0.281816E+04  0.438866E+02
  0.263491E+00  0.279195E+04  0.436033E+02
  0.266125E+00  0.273440E+04  0.428421E+02
  0.268759E+00  0.275737E+04  0.431323E+02
  0.271393E+00  0.267482E+04  0.423671E+02
  0.274027E+00  0.265983E+04  0.419686E+02
  0.276661E+00  0.262032E+04  0.419349E+02
  0.279295E+00  0.256076E+04  0.412690E+02
  0.281929E+00  0.257634E+04  0.414369E+02
  0.284563E+00  0.253755E+04  0.404380E+02
  0.287197E+00  0.254024E+04  0.406994E+02
  0.289831E+00  0.249296E+04  0.404266E+02
  0.292465E+00  0.247440E+04  0.401117E+02
  0.295099E+00  0.239725E+04  0.397439E+02
  0.297733E+00  0.242200E+04  0.390572E+02
  0.300367E+00  0.241422E+04  0.393492E+02
  0.303001E+00  0.237261E+04  0.389160E+02
  0.305635E+00  0.239782E+04  0.387486E+02
  0.308269E+00  0.236714E+04  0.387275E+02
  0.310903E+00  0.234318E+04  0.383061E+02
  0.313537E+00  0.234995E+04  0.383976E+02
  0.316171E+00  0.224977E+04  0.374722E+02
  0.318805E+00  0.226528E+04  0.373081E+02
  0.321439E+00  0.228865E+04  0.375920E+02
  0.324073E+00  0.221128E+04  0.368316E+02
  0.326707E+00  0.219868E+04  0.370919E+02
  0.329341E+00  0.219085E+04  0.365510E+02
  0.331975E+00  0.213898E+04  0.361797E+02
  0.334609E+00  0.214748E+04  0.363164E+02
  0.337243E+00  0.209848E+04  0.357846E+02
  0.339877E+00  0.210823E+04  0.358595E+02
  0.342511E+00  0.206834E+04  0.351155E+02
  0.345145E+00  0.207175E+04  0.353158E+02
  0.347779E+00  0.207045E+04  0.350763E+02
  0.350413E+00  0.208690E+04  0.350746E+02
  0.353047E+00  0.200932E+04  0.345297E+02
  0.355681E+00  0.201619E+04  0.344507E+02
  0.358315E+00  0.202358E+04  0.344004E+02
  0.360949E+00  0.198991E+04  0.341883E+02
  0.363583E+00  0.196792E+04  0.338349E+02
  0.366217E+00  0.195546E+04  0.337871E+02
  0.368851E+00  0.200518E+04  0.338748E+02
  0.371485E+00  0.193043E+04  0.336465E+02
  0.374119E+00  0.195289E+04  0.331784E+02
  0.376753E+00  0.195089E+04  0.335123E+02
  0.379387E+00  0.191107E+04  0.337796E+02
  0.382021E+00  0.193628E+04  0.346426E+02
  0.384655E+00  0.191716E+04  0.349140E+02
  0.387289E+00  0.188125E+04  0.343763E+02
  0.389923E+00  0.182832E+04  0.347155E+02
  0.392557E+00  0.178909E+04  0.346358E+02
  0.395191E+00  0.179991E+04  0.350435E+02
  0.397825E+00  0.174453E+04  0.346544E+02
  0.400459E+00  0.180623E+04  0.350786E+02
  0.403093E+00  0.179879E+04  0.355095E+02
  0.405727E+00  0.176296E+04  0.349118E+02
  0.408361E+00  0.178932E+04  0.355167E+02
  0.410995E+00  0.179181E+04  0.357293E+02
  0.413629E+00  0.179188E+04  0.352519E+02
  0.416263E+00  0.170963E+04  0.354038E+02
  0.418897E+00  0.169379E+04  0.349028E+02
  0.421531E+00  0.170854E+04  0.354680E+02
  0.424165E+00  0.172617E+04  0.353537E+02
  0.426799E+00  0.166236E+04  0.351653E+02
  0.429433E+00  0.168712E+04  0.354638E+02
  0.432067E+00  0.166858E+04  0.352293E+02
  0.434701E+00  0.166686E+04  0.342311E+02
  0.437335E+00  0.163846E+04  0.332162E+02
  0.439969E+00  0.161243E+04  0.329247E+02
  0.442603E+00  0.159318E+04  0.324755E+02
  0.445237E+00  0.156139E+04  0.318905E+02
  0.447871E+00  0.161292E+04  0.322099E+02
  0.450505E+00  0.160977E+04  0.315586E+02
  0.453139E+00  0.154061E+04  0.312327E+02
  0.455773E+00  0.157765E+04  0.313411E+02
  0.458407E+00  0.155999E+04  0.310403E+02
  0.461041E+00  0.152944E+04  0.306468E+02
  0.463675E+00  0.150937E+04  0.302498E+02
  0.466309E+00  0.153202E+04  0.304027E+02
  0.468943E+00  0.154804E+04  0.303052E+02
  0.471577E+00  0.151325E+04  0.300877E+02
  0.474211E+00  0.150773E+04  0.299504E+02
  0.476845E+00  0.149921E+04  0.297588E+02
  0.479479E+00  0.149210E+04  0.298153E+02
  0.482113E+00  0.148026E+04  0.294747E+02
  0.484747E+00  0.145645E+04  0.294329E+02
  0.487381E+00  0.146412E+04  0.291523E+02
  0.490015E+00  0.147388E+04  0.290680E+02
  0.492649E+00  0.145329E+04  0.291742E+02
  0.495283E+00  0.141058E+04  0.286698E+02
  0.497917E+00  0.144960E+04  0.287918E+02
  0.500551E+00  0.144226E+04  0.287158E+02
  0.503185E+00  0.138696E+04  0.283296E+02
  0.505819E+00  0.137478E+04  0.283257E+02
  0.508453E+00  0.142064E+04  0.281851E+02
  0.511088E+00  0.141024E+04  0.282442E+02
  0.513722E+00  0.138082E+04  0.280045E+02
  0.516356E+00  0.135508E+04  0.284432E+02
  0.518990E+00  0.136187E+04  0.285084E+02
  0.521624E+00  0.136890E+04  0.286825E+02
  0.524258E+00  0.134802E+04  0.289908E+02
  0.526892E+00  0.130177E+04  0.285949E+02
  0.529526E+00  0.132423E+04  0.287885E+02
  0.532160E+00  0.131619E+04  0.285833E+02
  0.534794E+00  0.127916E+04  0.284918E+02
  0.537428E+00  0.128197E+04  0.288180E+02
  0.540062E+00  0.127418E+04  0.283750E+02
  0.542696E+00  0.128640E+04  0.280181E+02
  0.545330E+00  0.128766E+04  0.277852E+02
  0.547964E+00  0.124786E+04  0.271550E+02
  0.550598E+00  0.128393E+04  0.273284E+02
  0.553232E+00  0.128477E+04  0.270145E+02
  0.555866E+00  0.127557E+04  0.268830E+02
  0.558500E+00  0.124064E+04  0.265265E+02
  0.561134E+00  0.124938E+04  0.264709E+02
  0.563768E+00  0.126168E+04  0.263844E+02
  0.566402E+00  0.122878E+04  0.261231E+02
  0.569036E+00  0.121648E+04  0.260747E+02
  0.571670E+00  0.122181E+04  0.260080E+02
  0.574304E+00  0.121459E+04  0.257813E+02
  0.576938E+00  0.120317E+04  0.255970E+02
  0.579572E+00  0.123810E+04  0.257869E+02
  0.582206E+00  0.122086E+04  0.256356E+02
  0.584840E+00  0.121830E+04  0.256119E+02
  0.587474E+00  0.123780E+04  0.255416E+02
  0.590108E+00  0.118939E+04  0.253060E+02
  0.592742E+00  0.118177E+04  0.251271E+02
  0.595376E+00  0.118985E+04  0.251783E+02
  0.598010E+00  0.117244E+04  0.248764E+02
  0.600644E+00  0.115692E+04  0.248908E+02
  0.603278E+00  0.117329E+04  0.248371E+02
  0.605912E+00  0.114812E+04  0.247749E+02
  0.608546E+00  0.111338E+04  0.243866E+02
  0.611180E+00  0.116355E+04  0.245625E+02
  0.613814E+00  0.113707E+04  0.244165E+02
  0.616448E+00  0.114622E+04  0.244241E+02
  0.619082E+00  0.113133E+04  0.243350E+02
  0.621716E+00  0.112328E+04  0.241426E+02
  0.624350E+00  0.112650E+04  0.241028E+02
  0.626984E+00  0.111293E+04  0.241075E+02
  0.629618E+00  0.111095E+04  0.238899E+02
  0.632252E+00  0.109212E+04  0.237944E+02
  0.634886E+00  0.106139E+04  0.234555E+02
  0.637520E+00  0.107413E+04  0.235436E+02
  0.640154E+00  0.107203E+04  0.233890E+02
  0.642788E+00  0.107005E+04  0.232343E+02
  0.645422E+00  0.106590E+04  0.233222E+02
  0.648056E+00  0.107099E+04  0.231665E+02
  0.650690E+00  0.105636E+04  0.231633E+02
  0.653324E+00  0.104281E+04  0.228014E+02
  0.655958E+00  0.107255E+04  0.229351E+02
  0.658592E+00  0.104066E+04  0.227962E+02
  0.661226E+00  0.102516E+04  0.226532E+02
  0.663860E+00  0.102997E+04  0.227429E+02
  0.666494E+00  0.105013E+04  0.226162E+02
  0.669128E+00  0.103830E+04  0.227256E+02
  0.671762E+00  0.102003E+04  0.225422E+02
  0.674396E+00  0.101628E+04  0.224417E+02
  0.677030E+00  0.100895E+04  0.224068E+02
  0.679664E+00  0.101288E+04  0.222952E+02
  0.682298E+00  0.994616E+03  0.224502E+02
  0.684932E+00  0.974884E+03  0.221758E+02
  0.687566E+00  0.973080E+03  0.220753E+02
  0.690200E+00  0.975550E+03  0.221445E+02
  0.692834E+00  0.100571E+04  0.221457E+02
  0.695468E+00  0.961248E+03  0.220374E+02
  0.698102E+00  0.954188E+03  0.218769E+02
  0.700736E+00  0.975682E+03  0.220863E+02
  0.703370E+00  0.972961E+03  0.219178E+02
  0.706004E+00  0.959231E+03  0.217773E+02
  0.708638E+00  0.958978E+03  0.217322E+02
  0.711272E+00  0.940736E+03  0.214664E+02
  0.713906E+00  0.933932E+03  0.215884E+02
  0.716540E+00  0.919550E+03  0.214966E+02
  0.719174E+00  0.921536E+03  0.215187E+02
  0.721808E+00  0.902392E+03  0.212354E+02
  0.724442E+00  0.898701E+03  0.211692E+02
  0.727076E+00  0.928801E+03  0.212807E+02
  0.729710E+00  0.917106E+03  0.212265E+02
  0.732344E+00  0.898850E+03  0.210792E+02
  0.734978E+00  0.915977E+03  0.212334E+02
  0.737612E+00  0.900395E+03  0.209448E+02
  0.740246E+00  0.918418E+03  0.210707E+02
  0.742880E+00  0.924862E+03  0.209370E+02
  0.745514E+00  0.899645E+03  0.209600E+02
  0.748148E+00  0.879404E+03  0.208694E+02
  0.750782E+00  0.879022E+03  0.208002E+02
  0.753416E+00  0.899078E+03  0.207710E+02
  0.756050E+00  0.879435E+03  0.205624E+02
  0.758684E+00  0.886831E+03  0.207271E+02
  0.761318E+00  0.888513E+03  0.206342E+02
  0.763952E+00  0.875451E+03  0.205198E+02
  0.766586E+00  0.858645E+03  0.203718E+02
  0.769220E+00  0.849898E+03  0.202478E+02
  0.771854E+00  0.840472E+03  0.203565E+02
  0.774488E+00  0.849522E+03  0.202189E+02
  0.777122E+00  0.856048E+03  0.205862E+02
  0.779756E+00  0.832916E+03  0.208460E+02
  0.782390E+00  0.829360E+03  0.209484E+02
  0.785024E+00  0.832145E+03  0.212041E+02
  0.787658E+00  0.849660E+03  0.211644E+02
  0.790292E+00  0.810960E+03  0.211730E+02
  0.792926E+00  0.828278E+03  0.212555E+02
  0.795560E+00  0.802157E+03  0.211922E+02
  0.798194E+00  0.840298E+03  0.214990E+02
  0.800828E+00  0.809393E+03  0.211400E+02
  0.803462E+00  0.818418E+03  0.213170E+02
  0.806096E+00  0.815065E+03  0.208791E+02
  0.808730E+00  0.810013E+03  0.205358E+02
  0.811364E+00  0.812001E+03  0.203469E+02
  0.813998E+00  0.807918E+03  0.201317E+02
  0.816632E+00  0.805718E+03  0.201057E+02
  0.819266E+00  0.809141E+03  0.198614E+02
  0.821900E+00  0.820463E+03  0.199384E+02
  0.824534E+00  0.816309E+03  0.198365E+02
  0.827168E+00  0.792810E+03  0.197447E+02
  0.829802E+00  0.800685E+03  0.197598E+02
  0.832436E+00  0.798635E+03  0.196354E+02
  0.835070E+00  0.790436E+03  0.196080E+02
  0.837704E+00  0.764638E+03  0.193837E+02
  0.840338E+00  0.773740E+03  0.194112E+02
  0.842972E+00  0.772247E+03  0.193324E+02
  0.845606E+00  0.753908E+03  0.191676E+02
  0.848240E+00  0.758242E+03  0.192708E+02
  0.850874E+00  0.750730E+03  0.191322E+02
  0.853508E+00  0.774461E+03  0.191914E+02
  0.856142E+00  0.773684E+03  0.191779E+02
  0.858776E+00  0.760975E+03  0.190451E+02
  0.861410E+00  0.744045E+03  0.189993E+02
  0.864044E+00  0.753749E+03  0.189322E+02
  0.866678E+00  0.761345E+03  0.189253E+02
  0.869312E+00  0.751434E+03  0.188258E+02
  0.871946E+00  0.750523E+03  0.187718E+02
  0.874580E+00  0.732612E+03  0.186283E+02
  0.877214E+00  0.762818E+03  0.186512E+02
  0.879849E+00  0.735490E+03  0.185786E+02
  0.882483E+00  0.719379E+03  0.184133E+02
  0.885117E+00  0.723620E+03  0.183563E+02
  0.887751E+00  0.725085E+03  0.183892E+02
  0.890385E+00  0.731308E+03  0.184001E+02
  0.893019E+00  0.735689E+03  0.184458E+02
  0.895653E+00  0.735487E+03  0.183150E+02
  0.898287E+00  0.729489E+03  0.183543E+02
  0.900921E+00  0.754620E+03  0.184065E+02
  0.903555E+00  0.708956E+03  0.182924E+02
  0.906189E+00  0.705485E+03  0.182698E+02
  0.908823E+00  0.697949E+03  0.181535E+02
  0.911457E+00  0.706222E+03  0.182177E+02
  0.914091E+00  0.681028E+03  0.180159E+02
  0.916725E+00  0.675702E+03  0.180541E+02
  0.919359E+00  0.693710E+03  0.180154E+02
  0.921993E+00  0.690990E+03  0.179545E+02
  0.924627E+00  0.699034E+03  0.180546E+02
  0.927261E+00  0.711092E+03  0.179945E+02
  0.929895E+00  0.692690E+03  0.180158E+02
  0.932529E+00  0.666416E+03  0.177133E+02
  0.935163E+00  0.690933E+03  0.178171E+02
  0.937797E+00  0.680270E+03  0.181851E+02
  0.940431E+00  0.674542E+03  0.183492E+02
  0.943065E+00  0.687464E+03  0.186280E+02
  0.945699E+00  0.694406E+03  0.186240E+02
  0.948333E+00  0.665886E+03  0.187330E+02
  0.950967E+00  0.661458E+03  0.187835E+02
  0.953601E+00  0.672294E+03  0.187620E+02
  0.956235E+00  0.677479E+03  0.189685E+02
  0.958869E+00  0.688889E+03  0.190311E+02
  0.961503E+00  0.649926E+03  0.190405E+02
  0.964137E+00  0.636562E+03  0.189793E+02
  0.966771E+00  0.651755E+03  0.189360E+02
  0.969405E+00  0.654869E+03  0.192094E+02
  0.972039E+00  0.672264E+03  0.191768E+02
  0.974673E+00  0.653244E+03  0.193109E+02
  0.977307E+00  0.633583E+03  0.191787E+02
  0.979941E+00  0.661747E+03  0.193305E+02
  0.982575E+00  0.608007E+03  0.191550E+02
  0.985209E+00  0.640357E+03  0.193112E+02
  0.987843E+00  0.603509E+03  0.191085E+02
  0.990477E+00  0.643985E+03  0.193546E+02
  0.993111E+00  0.650420E+03  0.190444E+02
  0.995745E+00  0.618930E+03  0.186342E+02
  0.998379E+00  0.623735E+03  0.184941E+02
  0.100101E+01  0.603374E+03  0.182237E+02
  0.100365E+01  0.618826E+03  0.181343E+02
  0.100628E+01  0.620750E+03  0.182266E+02
  0.100891E+01  0.595333E+03  0.179545E+02
  0.101155E+01  0.606263E+03  0.179392E+02
  0.101418E+01  0.613705E+03  0.178919E+02
  0.101682E+01  0.604930E+03  0.178099E+02
  0.101945E+01  0.606979E+03  0.178599E+02
  0.102208E+01  0.600678E+03  0.175654E+02
  0.102472E+01  0.577501E+03  0.175975E+02
  0.102735E+01  0.572727E+03  0.173900E+02
  0.102999E+01  0.580755E+03  0.173632E+02
  0.103262E+01  0.570503E+03  0.173503E+02
  0.103525E+01  0.591336E+03  0.172440E+02
  0.103789E+01  0.582330E+03  0.173252E+02
  0.104052E+01  0.589983E+03  0.173598E+02
  0.104316E+01  0.576838E+03  0.171929E+02
  0.104579E+01  0.604265E+03  0.172535E+02
  0.104842E+01  0.587147E+03  0.170074E+02
  0.105106E+01  0.579765E+03  0.170993E+02
  0.105369E+01  0.590681E+03  0.171068E+02
  0.105633E+01  0.584801E+03  0.170707E+02
  0.105896E+01  0.584874E+03  0.170676E+02
  0.106159E+01  0.582742E+03  0.168901E+02
  0.106423E+01  0.555527E+03  0.168730E+02
  0.106686E+01  0.574021E+03  0.167623E+02
  0.106950E+01  0.577757E+03  0.168957E+02
  0.107213E+01  0.555845E+03  0.166328E+02
  0.107477E+01  0.559996E+03  0.166159E+02
  0.107740E+01  0.544765E+03  0.165577E+02
  0.108003E+01  0.567265E+03  0.164916E+02
  0.108267E+01  0.541645E+03  0.164640E+02
  0.108530E+01  0.541982E+03  0.163429E+02
  0.108794E+01  0.558468E+03  0.164686E+02
