 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.970186E-01  0.216784E+04  0.100645E+02
  0.993032E-01  0.212379E+04  0.943257E+01
  0.101588E+00  0.210361E+04  0.888902E+01
  0.103872E+00  0.208955E+04  0.832192E+01
  0.106157E+00  0.205892E+04  0.769885E+01
  0.108441E+00  0.202673E+04  0.741579E+01
  0.110726E+00  0.198676E+04  0.698718E+01
  0.113011E+00  0.195017E+04  0.660849E+01
  0.115295E+00  0.190297E+04  0.617973E+01
  0.117580E+00  0.190446E+04  0.599785E+01
  0.119864E+00  0.187885E+04  0.595217E+01
  0.122149E+00  0.184059E+04  0.532661E+01
  0.124433E+00  0.182274E+04  0.531487E+01
  0.126718E+00  0.179739E+04  0.500172E+01
  0.129002E+00  0.178068E+04  0.482156E+01
  0.131287E+00  0.176385E+04  0.474515E+01
  0.133572E+00  0.174372E+04  0.438772E+01
  0.135856E+00  0.172486E+04  0.442455E+01
  0.138141E+00  0.170246E+04  0.414410E+01
  0.140425E+00  0.167670E+04  0.410146E+01
  0.142710E+00  0.164461E+04  0.391625E+01
  0.144994E+00  0.161924E+04  0.375030E+01
  0.147279E+00  0.160169E+04  0.379246E+01
  0.149564E+00  0.158008E+04  0.350881E+01
  0.151848E+00  0.155838E+04  0.348933E+01
  0.154133E+00  0.153891E+04  0.333361E+01
  0.156417E+00  0.151793E+04  0.324626E+01
  0.158702E+00  0.149785E+04  0.323918E+01
  0.160986E+00  0.147588E+04  0.303946E+01
  0.163271E+00  0.145501E+04  0.303335E+01
  0.165555E+00  0.142923E+04  0.290121E+01
  0.167840E+00  0.140888E+04  0.287074E+01
  0.170125E+00  0.139033E+04  0.279416E+01
  0.172409E+00  0.137528E+04  0.264980E+01
  0.174694E+00  0.135728E+04  0.271122E+01
  0.176978E+00  0.133907E+04  0.257141E+01
  0.179263E+00  0.131775E+04  0.256962E+01
  0.181547E+00  0.130123E+04  0.245615E+01
  0.183832E+00  0.128403E+04  0.240148E+01
  0.186116E+00  0.126595E+04  0.240125E+01
  0.188401E+00  0.124925E+04  0.229775E+01
  0.190686E+00  0.122288E+04  0.229201E+01
  0.192970E+00  0.120761E+04  0.220147E+01
  0.195255E+00  0.118733E+04  0.215887E+01
  0.197539E+00  0.116739E+04  0.214904E+01
  0.199824E+00  0.114939E+04  0.205827E+01
  0.202108E+00  0.113552E+04  0.207730E+01
  0.204393E+00  0.111677E+04  0.197945E+01
  0.206677E+00  0.110117E+04  0.199044E+01
  0.208962E+00  0.108418E+04  0.193851E+01
  0.211247E+00  0.106470E+04  0.187248E+01
  0.213531E+00  0.105154E+04  0.188760E+01
  0.215816E+00  0.103602E+04  0.181497E+01
  0.218100E+00  0.101752E+04  0.179841E+01
  0.220385E+00  0.100112E+04  0.175654E+01
  0.222669E+00  0.980971E+03  0.172253E+01
  0.224954E+00  0.967621E+03  0.170620E+01
  0.227239E+00  0.953137E+03  0.166292E+01
  0.229523E+00  0.942392E+03  0.164884E+01
  0.231808E+00  0.923227E+03  0.160318E+01
  0.234092E+00  0.908095E+03  0.159394E+01
  0.236377E+00  0.889926E+03  0.155875E+01
  0.238661E+00  0.875782E+03  0.150921E+01
  0.240946E+00  0.861096E+03  0.152804E+01
  0.243230E+00  0.846848E+03  0.146475E+01
  0.245515E+00  0.833475E+03  0.146926E+01
  0.247800E+00  0.820953E+03  0.143544E+01
  0.250084E+00  0.804481E+03  0.139499E+01
  0.252369E+00  0.791155E+03  0.140157E+01
  0.254653E+00  0.776471E+03  0.135881E+01
  0.256938E+00  0.762351E+03  0.136784E+01
  0.259222E+00  0.752435E+03  0.131106E+01
