Sample description: m7_hsa
Sample: m7_hsa  c= .0000 mg/ml  Code: m7_hsa
Parent(s): C:/Users/jeffries/AppData/Local/Temp/qt_temp.Yd7788 C:/Users/jeffries/AppData/Local/Temp/qt_temp.cd7788
 1.595730e-001  4.859890e+002  6.732134e+000
 1.622070e-001  4.863552e+002  6.615749e+000
 1.648420e-001  4.908803e+002  6.716577e+000
 1.674770e-001  4.770023e+002  6.629638e+000
 1.701110e-001  4.782513e+002  6.586648e+000
 1.727460e-001  4.769231e+002  6.597309e+000
 1.753810e-001  4.976550e+002  6.528858e+000
 1.780150e-001  4.733385e+002  6.529784e+000
 1.806500e-001  4.796903e+002  6.429789e+000
 1.832840e-001  4.857935e+002  6.498911e+000
 1.859190e-001  4.797173e+002  6.441487e+000
 1.885540e-001  4.683279e+002  6.281928e+000
 1.911880e-001  4.763653e+002  6.363680e+000
 1.938230e-001  4.748977e+002  6.249579e+000
 1.964580e-001  4.689242e+002  6.320687e+000
 1.990920e-001  4.701089e+002  6.282240e+000
 2.017270e-001  4.708274e+002  6.185731e+000
 2.043620e-001  4.727104e+002  6.147860e+000
 2.069960e-001  4.633219e+002  6.007104e+000
 2.096310e-001  4.710534e+002  6.193761e+000
 2.122660e-001  4.539243e+002  5.970995e+000
 2.149000e-001  4.565343e+002  5.999221e+000
 2.175350e-001  4.595664e+002  6.019790e+000
 2.201700e-001  4.539433e+002  5.944002e+000
 2.228040e-001  4.612974e+002  6.032609e+000
 2.254390e-001  4.581026e+002  5.823064e+000
 2.280740e-001  4.561456e+002  5.870641e+000
 2.307080e-001  4.517041e+002  5.792515e+000
 2.333430e-001  4.491975e+002  5.801015e+000
 2.359780e-001  4.544603e+002  5.836455e+000
 2.386120e-001  4.460253e+002  5.705927e+000
 2.412470e-001  4.456122e+002  5.730222e+000
 2.438820e-001  4.412729e+002  5.665296e+000
 2.465160e-001  4.447898e+002  5.668430e+000
 2.491510e-001  4.418902e+002  5.682210e+000
 2.517860e-001  4.460640e+002  5.599230e+000
 2.544200e-001  4.376841e+002  5.657332e+000
 2.570550e-001  4.474802e+002  5.510512e+000
 2.596890e-001  4.500018e+002  5.533938e+000
