 Decomposed Dimer Form Factor from L36.dat and L38.dat
 Rebinned from: X36vs38.dat                             
 Data Points:        116
    q(1/nm)    P(q)       Err(I)      Dummy
   67.5000018E-03   1.52032995      0.756169975     1.0
   70.0999983E-03   1.39403999      0.408419997     1.0
   72.8000002E-03   1.06559002      0.357149988     1.0
   75.5000021E-03   1.16424000      0.314599991     1.0
   78.1999994E-03  0.936269999      0.284069985     1.0
   80.8999967E-03   1.12477005      0.258309990     1.0
   83.6000033E-03  0.916800022      0.233940005     1.0
   86.2000044E-03   1.01937997      0.213839993     1.0
   88.9000017E-03  0.860270023      0.199220002     1.0
   91.5999990E-03   1.05613005      0.177790001     1.0
   94.2999963E-03  0.964079976      0.167659998     1.0
   97.0000029E-03   1.00408006      0.150370002     1.0
   99.7000001E-03  0.965839982      0.141460001     1.0
   10.2300001E-02  0.944400012      0.128830001     1.0
   10.4999999E-02  0.926549971      0.117559999     1.0
   10.7699996E-02  0.976429999      0.111019999     1.0
   11.0400002E-02  0.870890021      0.102219999     1.0
   11.4449998E-02  0.905855000       6.46980777E-02 1.0
   11.9800000E-02  0.913650036       5.60088381E-02 1.0
   12.5150001E-02  0.885910034       4.88860346E-02 1.0
   13.0550005E-02  0.902884960       4.29152548E-02 1.0
   13.5900006E-02  0.843919992       3.78649011E-02 1.0
   14.1249998E-02  0.834954977       3.34387235E-02 1.0
   14.6650001E-02  0.807824969       2.97667496E-02 1.0
   15.2000003E-02  0.796249986       2.69083939E-02 1.0
   15.7350004E-02  0.777869999       2.42619272E-02 1.0
   16.2749998E-02  0.766645014       2.20171958E-02 1.0
   16.8099999E-02  0.749215007       2.02043112E-02 1.0
   17.4800009E-02  0.737746656       1.47626409E-02 1.0
   18.2900000E-02  0.720220029       1.31234964E-02 1.0
   19.0899987E-02  0.682506740       1.17455879E-02 1.0
   19.8999997E-02  0.676426649       1.07342638E-02 1.0
   20.7000002E-02  0.647986650       9.66536161E-03 1.0
   21.5099994E-02  0.622973382       8.90009291E-03 1.0
   22.3099981E-02  0.594596684       8.22369289E-03 1.0
   23.2525002E-02  0.568944991       6.51509501E-03 1.0
   24.3250020E-02  0.546284974       5.95963188E-03 1.0
   25.3975019E-02  0.514724970       5.41731296E-03 1.0
   26.4750011E-02  0.485977501       4.99845715E-03 1.0
   27.5450014E-02  0.464857519       4.63813171E-03 1.0
   28.6200009E-02  0.440105021       4.35302081E-03 1.0
   29.8280008E-02  0.418728024       3.65086342E-03 1.0
   31.1700013E-02  0.396295995       3.41288303E-03 1.0
   32.5100012E-02  0.367610008       3.20265512E-03 1.0
   33.8540003E-02  0.348233998       3.02998140E-03 1.0
   35.3300013E-02  0.325676680       2.60919821E-03 1.0
   36.9400047E-02  0.305059999       2.46752915E-03 1.0
   38.5500006E-02  0.284034997       2.34639435E-03 1.0
   40.1599966E-02  0.266711652       2.23877700E-03 1.0
   41.9057198E-02  0.248047128       1.98340719E-03 1.0
   43.7842831E-02  0.232422858       1.90563989E-03 1.0
   45.6628539E-02  0.217805728       1.83602271E-03 1.0
   47.5414321E-02  0.204838544       1.77329965E-03 1.0
   49.5549962E-02  0.191701248       1.60174898E-03 1.0
   51.7012514E-02  0.178353742       1.54950388E-03 1.0
   53.8487509E-02  0.168052509       1.49383000E-03 1.0
   56.1299995E-02  0.155365542       1.36048149E-03 1.0
   58.5455559E-02  0.142769992       1.31856441E-03 1.0
   61.0950068E-02  0.133064002       1.22100650E-03 1.0
   63.7789965E-02  0.122708999       1.18121842E-03 1.0
   66.4629936E-02  0.111291006       1.14195305E-03 1.0
   69.2809075E-02  0.103398181       1.06031890E-03 1.0
   72.2345412E-02   9.51309130E-02   1.02656812E-03 1.0
   75.3199980E-02   8.67424980E-02   9.66124178E-04 1.0
   78.5408244E-02   7.95233324E-02   9.61318554E-04 1.0
   81.8961561E-02   7.29861632E-02   9.17421130E-04 1.0
   85.3846148E-02   6.57115430E-02   9.05678666E-04 1.0
   89.0078545E-02   6.15007058E-02   8.63853784E-04 1.0
   92.7649960E-02   5.40392883E-02   8.52964295E-04 1.0
   96.6579989E-02   5.01086637E-02   8.17308901E-04 1.0
  01.00816891       4.31781225E-02   7.75952532E-04 1.0
  01.05111882       3.84350047E-02   7.65823992E-04 1.0
  01.09540008       3.40423509E-02   7.33468565E-04 1.0
  01.14237227       2.95311119E-02   7.07002240E-04 1.0
  01.19067788       2.46600006E-02   7.85020879E-04 1.0
  01.24287903       2.20752619E-02   7.02536025E-04 1.0
  01.29535511       1.88614987E-02   6.59003039E-04 1.0
  01.35037631       1.65880956E-02   6.32334850E-04 1.0
  01.40807718       1.46781830E-02   6.06784539E-04 1.0
  01.46846950       1.18382610E-02   5.85031172E-04 1.0
  01.53019577       9.78956465E-03   5.80863969E-04 1.0
  01.59327105       8.90791696E-03   5.63565060E-04 1.0
  01.65902793       7.14839948E-03   5.49692137E-04 1.0
  01.72746912       6.37346087E-03   5.36619104E-04 1.0
  01.79993555       4.55357181E-03   5.15264459E-04 1.0
  01.87642753       4.29931097E-03   5.04464726E-04 1.0
  01.95559978       4.04766668E-03   4.95582586E-04 1.0
  02.03746438       3.72903282E-03   4.84196760E-04 1.0
  02.12200329       3.02875019E-03   4.74267639E-04 1.0
  02.21057639       2.29176483E-03   4.57965769E-04 1.0
  02.30316877       2.41514249E-03   4.48522565E-04 1.0
  02.39844769       2.32333317E-03   4.40337026E-04 1.0
  02.49775514       2.19368446E-03   4.84376767E-04 1.0
  02.60109037       2.14999984E-03   4.35869239E-04 1.0
  02.70844102       1.93682953E-03   4.08501422E-04 1.0
  02.82117009       2.18186085E-03   3.96789081E-04 1.0
  02.93791771       1.65927631E-03   3.89785535E-04 1.0
  03.05870235       1.87108677E-03   3.78460129E-04 1.0
  03.18483979       2.09812517E-03   3.68429814E-04 1.0
  03.31635743       1.50859985E-03   3.58370977E-04 1.0
  03.45323414       2.15557683E-03   3.49737529E-04 1.0
  03.59548062       2.30703712E-03   3.41224601E-04 1.0
  03.74309927       2.32785754E-03   3.33059579E-04 1.0
  03.89742523       1.99525408E-03   3.61729675E-04 1.0
  04.05845851       1.71864603E-03   3.16600577E-04 1.0
  04.22486573       1.93587306E-03   3.07706592E-04 1.0
  04.39797878       1.81151484E-03   2.98114523E-04 1.0
  04.57914531       1.75283372E-03   2.89895397E-04 1.0
  04.76702422       1.75658509E-03   2.83935660E-04 1.0
  04.96160656       1.56094576E-03   2.76899664E-04 1.0
  05.16424000       1.76501123E-03   2.94694299E-04 1.0
  05.37493050       1.81162509E-03   2.67456402E-04 1.0
  05.59501112       1.67071412E-03   2.54699815E-04 1.0
  05.82448602       2.07793084E-03   2.53907929E-04 1.0
  06.06201410       1.48022210E-03   2.49056466E-04 1.0
  06.26464963       1.80639327E-03   4.49930289E-04 1.0
