Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): C:/Users/jeffries/Desktop/SASBDB/Submissions/Deeppox virus1/DVP6p47_mod.dat
 2.526580e-001  1.642100e-001  1.468730e-004
 2.656150e-001  1.609640e-001  1.473170e-004
 2.785710e-001  1.580310e-001  1.393900e-004
 2.915280e-001  1.552390e-001  1.379950e-004
 3.044850e-001  1.524300e-001  1.327580e-004
 3.174410e-001  1.492420e-001  1.283640e-004
 3.303970e-001  1.462950e-001  1.227730e-004
 3.433540e-001  1.433170e-001  1.217450e-004
 3.563100e-001  1.399800e-001  1.170790e-004
 3.692670e-001  1.368440e-001  1.237430e-004
 3.822230e-001  1.339950e-001  1.115120e-004
 3.951790e-001  1.303890e-001  1.178510e-004
 4.081350e-001  1.273450e-001  1.052620e-004
 4.210910e-001  1.244810e-001  1.030470e-004
 4.340470e-001  1.214370e-001  1.004520e-004
 4.470030e-001  1.181540e-001  9.733260e-005
 4.599590e-001  1.152720e-001  9.527740e-005
 4.729150e-001  1.123130e-001  9.167830e-005
 4.858710e-001  1.093170e-001  9.234800e-005
 4.988270e-001  1.065880e-001  9.278230e-005
 5.117830e-001  1.033660e-001  9.271540e-005
 5.247380e-001  1.004660e-001  8.990940e-005
 5.376940e-001  9.768500e-002  9.020450e-005
 5.506500e-001  9.454620e-002  8.773710e-005
 5.636050e-001  9.179180e-002  8.581470e-005
 5.765600e-001  8.892040e-002  9.067640e-005
 5.895160e-001  8.625280e-002  8.720020e-005
 6.024710e-001  8.382400e-002  8.158130e-005
 6.154260e-001  8.134010e-002  7.970250e-005
 6.283810e-001  7.858270e-002  7.884910e-005
 6.413360e-001  7.590370e-002  7.781550e-005
 6.542910e-001  7.320600e-002  7.618040e-005
 6.672460e-001  7.109870e-002  7.588460e-005
 6.802010e-001  6.872250e-002  7.159130e-005
 6.931560e-001  6.619620e-002  6.857330e-005
 7.061100e-001  6.375830e-002  6.758840e-005
 7.190650e-001  6.155660e-002  6.511810e-005
 7.320190e-001  5.907870e-002  6.364090e-005
 7.449740e-001  5.721310e-002  6.218690e-005
 7.579280e-001  5.487510e-002  6.123820e-005
 7.708820e-001  5.297010e-002  5.957050e-005
 7.838360e-001  5.093180e-002  5.991190e-005
 7.967900e-001  4.886180e-002  5.901130e-005
 8.097440e-001  4.697820e-002  5.875950e-005
 8.226980e-001  4.526450e-002  5.791040e-005
 8.356520e-001  4.344670e-002  5.737060e-005
 8.486050e-001  4.162250e-002  5.646770e-005
 8.615590e-001  3.993700e-002  5.557140e-005
 8.745120e-001  3.828080e-002  5.497770e-005
 8.874660e-001  3.685680e-002  5.384040e-005
 9.004190e-001  3.542230e-002  5.264910e-005
 9.133720e-001  3.388710e-002  5.101560e-005
 9.263250e-001  3.261690e-002  4.966750e-005
 9.392780e-001  3.110320e-002  4.878850e-005
 9.522300e-001  2.981100e-002  4.757590e-005
 9.651830e-001  2.862580e-002  4.585470e-005
 9.781360e-001  2.741840e-002  4.595930e-005
 9.910880e-001  2.620060e-002  4.461610e-005
 1.004040e+000  2.514120e-002  4.340150e-005
 1.016990e+000  2.401420e-002  4.290380e-005
 1.029940e+000  2.308700e-002  4.192410e-005
 1.042900e+000  2.212110e-002  4.119960e-005
 1.055850e+000  2.121720e-002  4.043900e-005
 1.068800e+000  2.026710e-002  3.935130e-005
 1.081750e+000  1.949600e-002  3.932110e-005
 1.094700e+000  1.873910e-002  3.870410e-005
 1.107650e+000  1.790430e-002  3.823590e-005
 1.120600e+000  1.708940e-002  3.816410e-005
 1.133560e+000  1.647000e-002  3.738570e-005
 1.146510e+000  1.582020e-002  3.682840e-005
 1.159460e+000  1.519690e-002  3.623810e-005
 1.172410e+000  1.463780e-002  3.586720e-005
 1.185360e+000  1.402350e-002  3.545760e-005
 1.198310e+000  1.349430e-002  3.538360e-005
 1.211260e+000  1.297470e-002  3.463210e-005
 1.224210e+000  1.252400e-002  3.406050e-005
 1.237160e+000  1.209640e-002  3.335910e-005
 1.250110e+000  1.171210e-002  3.349190e-005
 1.263060e+000  1.114370e-002  3.304940e-005
 1.276010e+000  1.081670e-002  3.278440e-005
 1.288960e+000  1.043960e-002  3.242520e-005
 1.301910e+000  1.002100e-002  3.226850e-005
 1.314850e+000  9.676060e-003  3.195190e-005
 1.327800e+000  9.371210e-003  3.158220e-005
 1.340750e+000  9.082720e-003  3.145600e-005
 1.353700e+000  8.726810e-003  3.078170e-005
 1.366650e+000  8.512800e-003  3.056100e-005
 1.379600e+000  8.240220e-003  3.025630e-005
 1.392540e+000  7.945880e-003  3.010980e-005
 1.405490e+000  7.749710e-003  2.983410e-005
 1.418440e+000  7.511260e-003  3.008340e-005
 1.431390e+000  7.300020e-003  2.964290e-005
 1.444330e+000  7.057940e-003  2.909760e-005
 1.457280e+000  6.943380e-003  2.870310e-005
 1.470230e+000  6.658320e-003  2.875830e-005
 1.483170e+000  6.506920e-003  2.839250e-005
 1.496120e+000  6.287000e-003  2.868290e-005
 1.509070e+000  6.121580e-003  2.823780e-005
 1.522010e+000  5.928260e-003  2.783890e-005
 1.534960e+000  5.804260e-003  2.778240e-005
 1.547910e+000  5.557900e-003  2.780880e-005
 1.560850e+000  5.452550e-003  2.742230e-005
 1.573800e+000  5.290100e-003  2.732310e-005
 1.586740e+000  5.132520e-003  2.711640e-005
 1.599690e+000  4.967790e-003  2.705430e-005
 1.612630e+000  4.897400e-003  2.672110e-005
 1.625580e+000  4.658110e-003  2.690560e-005
 1.638520e+000  4.591750e-003  2.657550e-005
 1.651470e+000  4.381340e-003  2.636690e-005
 1.664410e+000  4.302790e-003  2.625570e-005
 1.677350e+000  4.184420e-003  2.595750e-005
 1.690300e+000  4.085710e-003  2.584570e-005
 1.703240e+000  3.926270e-003  2.600140e-005
 1.716180e+000  3.783970e-003  2.550290e-005
