Sample description: K1K2 domains of Kgp gingipain
Sample: primus/qt tempo  c= 2.89 mg/ml  Code: tmp
Parent(s): C:/Users/jeffries/Desktop/K1K2K3 and K1K2 for DARA X/K1K2/K1K2_ds.dat
 9.770000e-002  9.132910e-002  1.231070e-003
 1.075000e-001  8.931010e-002  1.084610e-003
 1.174000e-001  8.939300e-002  1.226220e-003
 1.272000e-001  8.801640e-002  1.222980e-003
 1.371000e-001  8.789050e-002  9.803620e-004
 1.469000e-001  8.752590e-002  1.219330e-003
 1.568000e-001  8.713340e-002  1.216650e-003
 1.666000e-001  8.642970e-002  1.214300e-003
 1.765000e-001  8.508090e-002  1.210390e-003
 1.863000e-001  8.389300e-002  1.207920e-003
 1.962000e-001  8.466760e-002  1.205540e-003
 2.060000e-001  8.424900e-002  1.201380e-003
 2.159000e-001  8.199080e-002  1.197950e-003
 2.257000e-001  8.090360e-002  1.194830e-003
 2.356000e-001  7.983230e-002  1.190500e-003
 2.454000e-001  7.844420e-002  1.186490e-003
 2.553000e-001  7.661800e-002  1.181940e-003
 2.651000e-001  7.500310e-002  1.178850e-003
 2.750000e-001  7.379150e-002  1.173380e-003
 2.848000e-001  7.482430e-002  1.169690e-003
 2.947000e-001  7.292430e-002  1.164500e-003
 3.045000e-001  7.414130e-002  1.160890e-003
 3.144000e-001  7.205290e-002  1.154990e-003
 3.242000e-001  6.823090e-002  1.138510e-003
 3.341000e-001  6.841950e-002  1.144820e-003
 3.439000e-001  6.691370e-002  1.137730e-003
 3.538000e-001  6.617640e-002  1.133730e-003
 3.636000e-001  6.484590e-002  1.103860e-003
 3.735000e-001  6.255170e-002  1.120940e-003
 3.833000e-001  6.072070e-002  1.114540e-003
 3.932000e-001  5.982830e-002  1.108800e-003
 4.030000e-001  5.763010e-002  1.101590e-003
 4.129000e-001  5.698070e-002  8.588480e-004
 4.227000e-001  5.649320e-002  1.088290e-003
 4.325000e-001  5.458050e-002  1.082170e-003
 4.424000e-001  5.267480e-002  1.074560e-003
 4.522000e-001  4.972060e-002  1.067160e-003
 4.621000e-001  5.018620e-002  9.781880e-004
 4.719000e-001  4.943340e-002  1.053320e-003
 4.818000e-001  4.808510e-002  1.046690e-003
 4.916000e-001  4.829440e-002  1.039810e-003
 5.015000e-001  4.729160e-002  1.056540e-003
 5.113000e-001  4.489290e-002  7.440990e-004
 5.212000e-001  4.486590e-002  1.021350e-003
 5.310000e-001  4.371470e-002  9.328420e-004
 5.409000e-001  4.448580e-002  1.002640e-003
 5.507000e-001  4.326670e-002  9.954840e-004
 5.606000e-001  4.091610e-002  9.882920e-004
 5.704000e-001  3.948270e-002  8.184690e-004
 5.803000e-001  3.894720e-002  9.731130e-004
 5.901000e-001  3.719450e-002  9.647260e-004
 6.000000e-001  3.654730e-002  9.575470e-004
 6.098000e-001  3.606460e-002  9.504220e-004
 6.197000e-001  3.471320e-002  9.433980e-004
 6.295000e-001  3.352670e-002  9.362660e-004
 6.394000e-001  3.366990e-002  9.064410e-004
 6.492000e-001  3.159820e-002  9.227540e-004
 6.591000e-001  3.092260e-002  9.157100e-004
 6.689000e-001  3.035450e-002  9.083290e-004
 6.788000e-001  3.002480e-002  9.021520e-004
 6.886000e-001  2.847790e-002  8.952690e-004
 6.985000e-001  2.803010e-002  9.032490e-004
 7.083000e-001  2.854040e-002  8.836480e-004
 7.182000e-001  2.729000e-002  8.780110e-004
 7.280000e-001  2.773040e-002  8.728160e-004
 7.379000e-001  2.671120e-002  8.675640e-004
 7.477000e-001  2.616540e-002  8.462910e-004
 7.576000e-001  2.503630e-002  8.763530e-004
 7.674000e-001  2.478990e-002  8.531530e-004
 7.772000e-001  2.404030e-002  8.488700e-004
 7.871000e-001  2.298980e-002  8.438940e-004
 7.969000e-001  2.255540e-002  8.398370e-004
 8.068000e-001  2.210770e-002  7.853790e-004
 8.166000e-001  2.207720e-002  8.331050e-004
 8.265000e-001  2.219290e-002  8.295170e-004
 8.363000e-001  2.103200e-002  8.267310e-004
 8.462000e-001  2.021530e-002  8.253490e-004
 8.560000e-001  2.040910e-002  8.215040e-004
 8.659000e-001  2.039200e-002  8.184030e-004
 8.757000e-001  2.002580e-002  8.165230e-004
 8.856000e-001  1.994640e-002  7.223410e-004
 8.954000e-001  1.971100e-002  6.798700e-004
 9.053000e-001  1.937430e-002  8.132120e-004
 9.151000e-001  1.854080e-002  8.116740e-004
 9.250000e-001  1.756620e-002  7.892130e-004
 9.348000e-001  1.777300e-002  8.270380e-004
 9.447000e-001  1.779900e-002  8.070340e-004
 9.545000e-001  1.714010e-002  8.063440e-004
 9.644000e-001  1.721730e-002  8.059970e-004
 9.742000e-001  1.811390e-002  8.062180e-004
 9.841000e-001  1.700830e-002  8.054910e-004
 9.939000e-001  1.670090e-002  8.043200e-004
 1.004000e+000  1.607850e-002  8.056580e-004
 1.014000e+000  1.683750e-002  8.056120e-004
 1.023000e+000  1.598840e-002  8.052550e-004
