Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  7.306000e-02   2.386930e+02   3.158491e+01
  7.564000e-02   7.274412e+01   6.056822e+00
  7.823000e-02   1.041115e+02   4.811122e+00
  8.081000e-02   4.050954e+01   4.447903e+00
  8.340000e-02   7.077514e+01   4.031820e+00
  8.598000e-02   1.016564e+02   3.494047e+00
  8.857000e-02   1.186741e+02   3.285071e+00
  9.115000e-02   2.281238e+01   2.931158e+00
  9.374000e-02   1.342127e+02   2.775051e+00
  9.632000e-02   4.779544e+01   2.500342e+00
  9.891000e-02   6.025913e+01   2.278169e+00
  1.015000e-01   6.923526e+01   2.128122e+00
  1.041000e-01   7.103169e+01   1.935678e+00
  1.067000e-01   4.115024e+01   1.790458e+00
  1.092000e-01   5.118724e+01   1.574280e+00
  1.118000e-01   2.606013e+01   1.535199e+00
  1.144000e-01   6.736660e+01   1.397678e+00
  1.170000e-01   3.363602e+01   1.267125e+00
  1.196000e-01   2.016318e+01   1.186475e+00
  1.222000e-01   2.851999e+00   1.105473e+00
  1.248000e-01   4.284939e+01   1.048892e+00
  1.273000e-01   2.240252e+01   9.849517e-01
  1.299000e-01   2.863775e+01   8.658410e-01
  1.325000e-01   4.155970e+01   8.539086e-01
  1.351000e-01   1.388880e+01   7.934034e-01
  1.377000e-01   1.347241e+01   7.697118e-01
  1.403000e-01   1.187503e+01   7.162137e-01
  1.428000e-01   1.492982e+01   6.664451e-01
  1.454000e-01   2.080549e+01   6.654299e-01
  1.480000e-01   6.370226e-01   6.071189e-01
  1.506000e-01   1.180270e+01   5.896812e-01
  1.532000e-01   9.882151e-01   5.664071e-01
  1.558000e-01   6.126222e+00   5.248975e-01
  1.584000e-01   9.871437e+00   5.248783e-01
  1.609000e-01   4.057825e+00   4.666554e-01
  1.635000e-01   1.631315e+01   4.755840e-01
  1.661000e-01   1.662205e+01   4.421001e-01
  1.687000e-01   2.233369e+01   4.250471e-01
  1.713000e-01   3.119546e+01   4.152358e-01
  1.739000e-01   2.545650e+01   3.753731e-01
  1.764000e-01   2.528656e+01   3.795274e-01
  1.790000e-01   2.405070e+01   3.643635e-01
  1.816000e-01   2.876143e+01   3.494829e-01
  1.842000e-01   2.893837e+01   3.403262e-01
  1.868000e-01   3.142207e+01   3.193716e-01
  1.894000e-01   3.316452e+01   3.266543e-01
  1.920000e-01   3.455911e+01   3.058122e-01
  1.945000e-01   3.070303e+01   2.980820e-01
  1.971000e-01   3.147625e+01   2.952996e-01
  1.997000e-01   3.264346e+01   2.753162e-01
  2.023000e-01   3.541593e+01   2.870274e-01
  2.049000e-01   3.371245e+01   2.645178e-01
  2.075000e-01   3.709323e+01   2.666687e-01
  2.100000e-01   3.402858e+01   2.633551e-01
  2.126000e-01   3.252122e+01   2.491783e-01
  2.152000e-01   3.301858e+01   2.524868e-01
  2.178000e-01   3.507492e+01   2.375159e-01
  2.204000e-01   3.000153e+01   2.376517e-01
  2.230000e-01   3.602913e+01   2.332380e-01
  2.256000e-01   3.280982e+01   2.284754e-01
  2.281000e-01   3.517827e+01   2.274794e-01
  2.307000e-01   3.255504e+01   2.193027e-01
  2.333000e-01   3.720573e+01   2.190508e-01
  2.359000e-01   3.691174e+01   2.153299e-01
  2.385000e-01   3.301494e+01   2.082152e-01
  2.411000e-01   3.671569e+01   2.089667e-01
  2.436000e-01   3.464807e+01   2.077200e-01
  2.462000e-01   3.468547e+01   2.045700e-01
  2.488000e-01   3.478451e+01   1.978030e-01
  2.514000e-01   3.744625e+01   1.968868e-01
  2.540000e-01   3.545049e+01   1.974536e-01
  2.566000e-01   3.691419e+01   1.961364e-01
  2.592000e-01   3.513237e+01   1.916340e-01
  2.617000e-01   3.429212e+01   1.825867e-01
  2.643000e-01   3.291409e+01   1.875385e-01
  2.669000e-01   3.518917e+01   1.848177e-01
  2.695000e-01   3.429686e+01   1.880697e-01
  2.721000e-01   3.806908e+01   1.787968e-01
  2.747000e-01   3.322557e+01   1.762383e-01
  2.772000e-01   3.594472e+01   1.774995e-01
  2.798000e-01   3.398455e+01   1.770668e-01
  2.824000e-01   3.384581e+01   1.761070e-01
  2.850000e-01   3.535939e+01   1.682003e-01
  2.876000e-01   3.491597e+01   1.695274e-01
  2.902000e-01   3.478943e+01   1.730668e-01
  2.928000e-01   3.408275e+01   1.636114e-01
  2.953000e-01   3.348982e+01   1.664949e-01
