Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 7.8150 mg/ml  Code: tmp
Parent(s): C:/Users/PC-BIO3/AppData/Local/Temp/qt_temp.wL5696 C:/Users/PC-BIO3/A
 3.369230e-002  2.449410e+001  1.689866e+001
 3.843460e-002  2.578956e+001  6.134291e+000
 4.317690e-002  3.291464e+001  4.232337e+000
 4.791920e-002  3.715841e+001  3.187751e+000
 5.266150e-002  3.903842e+001  2.567457e+000
 5.740380e-002  4.046179e+001  2.142866e+000
 6.214610e-002  4.016234e+001  1.832205e+000
 6.688840e-002  4.138106e+001  1.581515e+000
 7.163070e-002  4.326672e+001  1.399674e+000
 7.637300e-002  4.084605e+001  1.253195e+000
 8.111530e-002  4.140181e+001  1.138671e+000
 8.585760e-002  4.064526e+001  1.038194e+000
 9.059990e-002  4.032374e+001  9.580412e-001
 9.534220e-002  4.071941e+001  8.965497e-001
 1.000850e-001  4.164497e+001  8.467650e-001
 1.048270e-001  4.192551e+001  8.021447e-001
 1.095690e-001  4.087754e+001  7.628370e-001
 1.143110e-001  4.040076e+001  7.283661e-001
 1.190540e-001  4.046485e+001  6.982309e-001
 1.237960e-001  4.001130e+001  6.710182e-001
 1.285380e-001  4.033813e+001  6.493630e-001
 1.332810e-001  4.027455e+001  6.290504e-001
 1.380230e-001  3.973971e+001  6.104996e-001
 1.427650e-001  3.977413e+001  5.934030e-001
 1.475080e-001  3.962598e+001  5.785999e-001
 1.522500e-001  3.939696e+001  5.633415e-001
 1.569920e-001  3.964237e+001  5.512654e-001
 1.617340e-001  3.927277e+001  5.385240e-001
 1.664770e-001  3.875783e+001  5.265554e-001
 1.712190e-001  3.836408e+001  5.154025e-001
 1.759610e-001  3.835926e+001  5.052158e-001
 1.807040e-001  3.792373e+001  4.959321e-001
 1.854460e-001  3.807811e+001  4.878835e-001
 1.901880e-001  3.817273e+001  4.793319e-001
 1.949310e-001  3.731026e+001  4.707730e-001
 1.996730e-001  3.674231e+001  4.630486e-001
 2.044150e-001  3.688039e+001  4.562387e-001
 2.091570e-001  3.647456e+001  4.491082e-001
 2.139000e-001  3.624677e+001  4.425472e-001
 2.186420e-001  3.615982e+001  4.358238e-001
 2.233840e-001  3.572059e+001  4.285891e-001
 2.281270e-001  3.483642e+001  4.223000e-001
 2.328690e-001  3.463720e+001  4.173597e-001
 2.376110e-001  3.411282e+001  4.115632e-001
 2.423530e-001  3.462194e+001  4.059883e-001
 2.470960e-001  3.457090e+001  4.009795e-001
 2.518380e-001  3.417369e+001  3.967232e-001
 2.565800e-001  3.377149e+001  3.921436e-001
 2.613230e-001  3.396451e+001  3.878237e-001
 2.660650e-001  3.370824e+001  3.831622e-001
 2.708070e-001  3.282789e+001  3.780869e-001
 2.755500e-001  3.250265e+001  3.740072e-001
 2.802920e-001  3.239694e+001  3.702453e-001
 2.850340e-001  3.232416e+001  3.668645e-001
 2.897760e-001  3.233628e+001  3.641297e-001
 2.945190e-001  3.198233e+001  3.656345e-001
 2.992610e-001  3.155065e+001  3.678559e-001
 3.040030e-001  3.124650e+001  3.686884e-001
 3.087460e-001  3.094923e+001  3.684920e-001
 3.134880e-001  3.062969e+001  3.675103e-001
 3.182300e-001  3.023059e+001  3.660076e-001
 3.229730e-001  3.015726e+001  3.652780e-001
 3.277150e-001  2.972483e+001  3.636865e-001
 3.324570e-001  2.927943e+001  3.621889e-001
 3.371990e-001  2.921544e+001  3.603018e-001
 3.419420e-001  2.905969e+001  3.593388e-001
 3.466840e-001  2.860846e+001  3.577685e-001
 3.514260e-001  2.796591e+001  3.556868e-001
 3.561690e-001  2.768423e+001  3.559752e-001
 3.609110e-001  2.734316e+001  3.620261e-001
 3.656530e-001  2.708429e+001  3.672824e-001
 3.703960e-001  2.745334e+001  3.707290e-001
 3.751380e-001  2.733861e+001  3.724664e-001
 3.798800e-001  2.687835e+001  3.739989e-001
 3.846220e-001  2.673755e+001  3.755141e-001
 3.893650e-001  2.661379e+001  3.767001e-001
 3.941070e-001  2.596267e+001  3.778393e-001
 3.988490e-001  2.527276e+001  3.785873e-001
 4.035920e-001  2.500308e+001  3.790292e-001
 4.083340e-001  2.471527e+001  3.795341e-001
 4.130760e-001  2.492120e+001  3.799590e-001
 4.178190e-001  2.443823e+001  3.797110e-001
 4.225610e-001  2.436299e+001  3.796205e-001
 4.273030e-001  2.418084e+001  3.793018e-001
 4.320460e-001  2.341581e+001  3.781840e-001
 4.367880e-001  2.312062e+001  3.788129e-001
 4.415300e-001  2.305714e+001  3.798868e-001
 4.462720e-001  2.281409e+001  3.817790e-001
 4.510150e-001  2.284326e+001  3.907597e-001
 4.557570e-001  2.257284e+001  4.003736e-001
 4.604990e-001  2.254873e+001  4.077843e-001
 4.652420e-001  2.244912e+001  4.128905e-001
 4.699840e-001  2.203217e+001  4.170392e-001
 4.747260e-001  2.121408e+001  4.202572e-001
 4.794690e-001  2.113771e+001  4.250418e-001
 4.842110e-001  2.105244e+001  4.282574e-001
 4.889530e-001  2.053140e+001  4.306954e-001
 4.936950e-001  2.058964e+001  4.349378e-001
 4.984380e-001  2.018018e+001  4.376354e-001
 5.031800e-001  2.017058e+001  4.418163e-001
 5.079220e-001  2.000939e+001  4.445962e-001
 5.126650e-001  1.949372e+001  4.412445e-001
 5.174070e-001  1.937892e+001  4.263132e-001
 5.221490e-001  1.901397e+001  4.150789e-001
 5.268910e-001  1.884662e+001  4.082121e-001
 5.316340e-001  1.826007e+001  4.024623e-001
 5.363760e-001  1.810351e+001  3.986702e-001
 5.411180e-001  1.797269e+001  3.949730e-001
 5.458610e-001  1.802292e+001  3.914932e-001
 5.506030e-001  1.762110e+001  3.885185e-001
 5.553450e-001  1.714075e+001  3.859960e-001
 5.600880e-001  1.709964e+001  3.833237e-001
 5.648300e-001  1.690778e+001  3.808831e-001
 5.695720e-001  1.647943e+001  3.780273e-001
 5.743140e-001  1.635003e+001  3.756191e-001
 5.790570e-001  1.654946e+001  3.727655e-001
 5.837990e-001  1.640252e+001  3.697675e-001
 5.885410e-001  1.622997e+001  3.668039e-001
 5.932840e-001  1.616752e+001  3.638362e-001
 5.980260e-001  1.612082e+001  3.618232e-001
 6.027680e-001  1.592074e+001  3.585900e-001
 6.075110e-001  1.541269e+001  3.548371e-001
 6.122530e-001  1.531291e+001  3.524387e-001
 6.169950e-001  1.510752e+001  3.498642e-001
 6.217380e-001  1.484917e+001  3.474961e-001
 6.264800e-001  1.430614e+001  3.445247e-001
 6.312220e-001  1.394199e+001  3.430666e-001
 6.359640e-001  1.388929e+001  3.418332e-001
 6.407070e-001  1.395723e+001  3.412208e-001
 6.454490e-001  1.389897e+001  3.398612e-001
 6.501910e-001  1.387116e+001  3.388707e-001
 6.549340e-001  1.354663e+001  3.372211e-001
 6.596760e-001  1.309042e+001  3.356480e-001
 6.644180e-001  1.279896e+001  3.339352e-001
 6.691610e-001  1.257504e+001  3.330861e-001
 6.739030e-001  1.235087e+001  3.311989e-001
 6.786450e-001  1.269771e+001  3.306552e-001
 6.833870e-001  1.249375e+001  3.297607e-001
 6.881300e-001  1.209926e+001  3.286939e-001
 6.928720e-001  1.191599e+001  3.275611e-001
 6.976140e-001  1.182358e+001  3.267874e-001
 7.023570e-001  1.180890e+001  3.261464e-001
 7.070990e-001  1.155152e+001  3.245300e-001
 7.118410e-001  1.114410e+001  3.228866e-001
 7.165840e-001  1.094002e+001  3.220626e-001
 7.213260e-001  1.092315e+001  3.210947e-001
 7.260680e-001  1.117890e+001  3.204588e-001
 7.308100e-001  1.098876e+001  3.192889e-001
 7.355530e-001  1.077277e+001  3.183803e-001
 7.402950e-001  1.063892e+001  3.173651e-001
 7.450370e-001  1.033243e+001  3.169229e-001
 7.497800e-001  1.027748e+001  3.159211e-001
 7.545220e-001  1.046100e+001  3.154127e-001
 7.592640e-001  1.051065e+001  3.144535e-001
 7.640070e-001  1.032381e+001  3.135406e-001
 7.687490e-001  1.001407e+001  3.123524e-001
 7.734910e-001  1.006699e+001  3.112443e-001
 7.782330e-001  9.568032e+000  3.101699e-001
 7.829760e-001  9.227441e+000  3.089630e-001
 7.877180e-001  9.245611e+000  3.083691e-001
 7.924600e-001  9.160986e+000  3.072892e-001
 7.972030e-001  9.074009e+000  3.060095e-001
 8.019450e-001  8.898468e+000  3.052836e-001
 8.066870e-001  8.970057e+000  3.048985e-001
 8.114300e-001  8.911341e+000  3.045017e-001
 8.161720e-001  8.822454e+000  3.031967e-001
 8.209140e-001  8.588490e+000  1.574284e-001
 8.256560e-001  8.556334e+000  1.515853e-001
 8.303990e-001  8.515656e+000  1.511433e-001
 8.351410e-001  8.436952e+000  1.506911e-001
 8.398830e-001  8.280303e+000  1.500341e-001
 8.446260e-001  8.260217e+000  1.499519e-001
 8.493680e-001  7.930295e+000  1.492230e-001
 8.541100e-001  7.925700e+000  1.487361e-001
 8.588530e-001  7.747345e+000  1.486054e-001
 8.635950e-001  7.698106e+000  1.485356e-001
 8.683370e-001  7.571387e+000  1.478628e-001
 8.730790e-001  7.583823e+000  1.472203e-001
 8.778220e-001  7.519062e+000  1.467397e-001
 8.825640e-001  7.325107e+000  1.465582e-001
 8.873060e-001  7.172581e+000  1.461450e-001
 8.920490e-001  7.069930e+000  1.456166e-001
 8.967910e-001  7.029898e+000  1.452487e-001
 9.015330e-001  6.905851e+000  1.447640e-001
 9.062760e-001  6.905585e+000  1.448132e-001
 9.110180e-001  6.792938e+000  1.445752e-001
 9.157600e-001  6.599750e+000  1.439913e-001
 9.205020e-001  6.554446e+000  1.434754e-001
 9.252450e-001  6.598124e+000  1.433580e-001
 9.299870e-001  6.612725e+000  1.430813e-001
 9.347290e-001  6.496816e+000  1.424816e-001
 9.394720e-001  6.164199e+000  1.421266e-001
 9.442140e-001  6.017602e+000  1.417395e-001
 9.489560e-001  5.860739e+000  1.411227e-001
 9.536990e-001  5.860133e+000  1.409161e-001
 9.584410e-001  5.973162e+000  1.408749e-001
 9.631830e-001  5.882037e+000  1.406078e-001
 9.679250e-001  5.785278e+000  1.401558e-001
 9.726680e-001  5.731488e+000  1.398206e-001
 9.774100e-001  5.589452e+000  1.490429e-001
 9.821520e-001  5.525972e+000  3.928854e-001
 9.868950e-001  5.312343e+000  2.461796e-002
 9.916370e-001  5.246187e+000  2.445961e-002
 9.963790e-001  5.146352e+000  2.429497e-002
 1.001120e+000  5.079173e+000  2.418514e-002
 1.005860e+000  5.016318e+000  2.400441e-002
 1.010610e+000  4.978928e+000  2.392169e-002
 1.015350e+000  4.913355e+000  2.379857e-002
 1.020090e+000  4.851008e+000  2.364824e-002
 1.024830e+000  4.805323e+000  2.354503e-002
 1.029570e+000  4.713877e+000  2.331895e-002
 1.034320e+000  4.652945e+000  2.321735e-002
 1.039060e+000  4.567290e+000  2.304411e-002
 1.043800e+000  4.516842e+000  2.293569e-002
 1.048540e+000  4.432893e+000  2.274454e-002
 1.053290e+000  4.367275e+000  2.265549e-002
 1.058030e+000  4.299998e+000  2.251201e-002
 1.062770e+000  4.261158e+000  2.242938e-002
 1.067510e+000  4.187534e+000  2.222315e-002
 1.072260e+000  4.112887e+000  2.211782e-002
 1.077000e+000  4.069177e+000  2.198965e-002
 1.081740e+000  4.016390e+000  2.187906e-002
 1.086480e+000  3.959603e+000  2.175916e-002
 1.091220e+000  3.888925e+000  2.159049e-002
 1.095970e+000  3.835847e+000  2.150979e-002
 1.100710e+000  3.798651e+000  2.142419e-002
 1.105450e+000  3.758804e+000  2.131247e-002
 1.110190e+000  3.699941e+000  2.113710e-002
 1.114940e+000  3.618280e+000  2.101877e-002
 1.119680e+000  3.580036e+000  2.090783e-002
 1.124420e+000  3.548931e+000  2.082665e-002
 1.129160e+000  3.503386e+000  2.070202e-002
 1.133910e+000  3.457178e+000  2.061684e-002
 1.138650e+000  3.393757e+000  2.046307e-002
 1.143390e+000  3.344842e+000  2.036955e-002
 1.148130e+000  3.290319e+000  2.023964e-002
 1.152880e+000  3.234198e+000  2.014982e-002
 1.157620e+000  3.190656e+000  2.004558e-002
 1.162360e+000  3.152046e+000  1.995019e-002
 1.167100e+000  3.115178e+000  1.986943e-002
 1.171840e+000  3.064706e+000  1.973015e-002
 1.176590e+000  3.014358e+000  1.965656e-002
 1.181330e+000  2.986894e+000  1.955260e-002
 1.186070e+000  2.929153e+000  1.944022e-002
 1.190810e+000  2.887847e+000  1.931161e-002
 1.195560e+000  2.852254e+000  1.926842e-002
 1.200300e+000  2.815869e+000  1.917469e-002
 1.205040e+000  2.792868e+000  1.910675e-002
 1.209780e+000  2.749999e+000  1.897146e-002
 1.214530e+000  2.719490e+000  1.892331e-002
 1.219270e+000  2.683626e+000  1.882015e-002
 1.224010e+000  2.646987e+000  1.871185e-002
 1.228750e+000  2.609679e+000  1.864929e-002
 1.233490e+000  2.559304e+000  1.852769e-002
 1.238240e+000  2.515382e+000  1.845053e-002
 1.242980e+000  2.475780e+000  1.835128e-002
 1.247720e+000  2.447384e+000  1.829412e-002
 1.252460e+000  2.437911e+000  1.827069e-002
 1.257210e+000  2.402901e+000  1.863528e-002
 1.261950e+000  2.363803e+000  1.903782e-002
 1.266690e+000  2.333490e+000  1.932456e-002
 1.271430e+000  2.296938e+000  1.947392e-002
 1.276180e+000  2.291217e+000  1.968798e-002
 1.280920e+000  2.257325e+000  1.981056e-002
 1.285660e+000  2.207858e+000  1.993441e-002
 1.290400e+000  2.155065e+000  2.003024e-002
 1.295140e+000  2.105762e+000  2.007556e-002
 1.299890e+000  2.093895e+000  2.023395e-002
 1.304630e+000  2.083056e+000  2.034250e-002
 1.309370e+000  2.034522e+000  2.033420e-002
 1.314110e+000  2.010593e+000  2.027188e-002
 1.318860e+000  1.998746e+000  2.014554e-002
 1.323600e+000  1.961279e+000  1.943034e-002
 1.328340e+000  1.936646e+000  1.892325e-002
 1.333080e+000  1.948355e+000  1.858280e-002
 1.337830e+000  1.911011e+000  1.832506e-002
 1.342570e+000  1.882252e+000  1.806839e-002
 1.347310e+000  1.846208e+000  1.782501e-002
 1.352050e+000  1.828732e+000  1.764241e-002
 1.356790e+000  1.817544e+000  1.744082e-002
 1.361540e+000  1.775444e+000  1.729743e-002
 1.366280e+000  1.764067e+000  1.717493e-002
 1.371020e+000  1.739685e+000  1.708478e-002
 1.375760e+000  1.713524e+000  1.694712e-002
 1.380510e+000  1.694980e+000  1.689137e-002
 1.385250e+000  1.663358e+000  1.678318e-002
 1.389990e+000  1.649724e+000  1.672515e-002
 1.394730e+000  1.620331e+000  1.658740e-002
 1.399480e+000  1.595977e+000  1.656004e-002
 1.404220e+000  1.569959e+000  1.647920e-002
 1.408960e+000  1.534721e+000  1.639880e-002
 1.413700e+000  1.525776e+000  1.635082e-002
 1.418440e+000  1.507303e+000  1.625218e-002
 1.423190e+000  1.499415e+000  1.623177e-002
 1.427930e+000  1.466704e+000  1.615605e-002
 1.432670e+000  1.441860e+000  1.608794e-002
 1.437410e+000  1.445944e+000  1.603145e-002
 1.442160e+000  1.449210e+000  1.600574e-002
 1.446900e+000  1.421589e+000  1.593233e-002
 1.451640e+000  1.392977e+000  1.586573e-002
 1.456380e+000  1.354058e+000  1.574924e-002
 1.461130e+000  1.346295e+000  1.572662e-002
 1.465870e+000  1.330617e+000  1.565010e-002
 1.470610e+000  1.312411e+000  1.559962e-002
 1.475350e+000  1.300654e+000  1.556952e-002
 1.480090e+000  1.277635e+000  1.549207e-002
 1.484840e+000  1.263686e+000  1.549695e-002
 1.489580e+000  1.267409e+000  1.546685e-002
 1.494320e+000  1.256304e+000  1.558499e-002
 1.499060e+000  1.212971e+000  1.592163e-002
 1.503810e+000  1.177531e+000  1.620190e-002
 1.508550e+000  1.166698e+000  1.638445e-002
 1.513290e+000  1.156285e+000  1.657601e-002
 1.518030e+000  1.160095e+000  1.672903e-002
 1.522770e+000  1.151403e+000  1.645357e-002
 1.527520e+000  1.147098e+000  1.606329e-002
