#Sample description: CD27LC239R NaCl
#Sample: CD27LC239R NaCl  c= 1.0600 mg/ml  Code: CD27CR
#Parent(s): /var/folders/z_/xc294sm95_b7n3lbzr312p7w0000gn/T/qt_temp.T19533
  1.004360e-01   3.483340e+03   3.097781e+02
  1.030670e-01   3.471794e+03   1.164765e+02
  1.056980e-01   3.410025e+03   1.053670e+02
  1.083290e-01   3.393372e+03   1.009853e+02
  1.109590e-01   3.437733e+03   9.894102e+01
  1.135900e-01   3.387888e+03   9.543462e+01
  1.162210e-01   3.292642e+03   9.225042e+01
  1.188520e-01   3.342245e+03   8.915030e+01
  1.214820e-01   3.280886e+03   8.702285e+01
  1.241130e-01   3.339107e+03   8.468544e+01
  1.267440e-01   3.394020e+03   8.339769e+01
  1.293750e-01   3.356774e+03   8.125670e+01
  1.320050e-01   3.358715e+03   7.967200e+01
  1.346360e-01   3.314061e+03   7.804396e+01
  1.372670e-01   3.256708e+03   7.630131e+01
  1.398980e-01   3.242573e+03   7.462391e+01
  1.425280e-01   3.230085e+03   7.268761e+01
  1.451590e-01   3.160094e+03   7.203424e+01
  1.477900e-01   3.217426e+03   7.066211e+01
  1.504210e-01   3.237332e+03   6.958065e+01
  1.530510e-01   3.241423e+03   6.850638e+01
  1.556820e-01   3.226974e+03   6.922886e+01
  1.583130e-01   3.164268e+03   6.975967e+01
  1.609440e-01   3.150501e+03   6.909904e+01
  1.635740e-01   3.145672e+03   6.853831e+01
  1.662050e-01   3.196663e+03   6.833973e+01
  1.688360e-01   3.117073e+03   6.778545e+01
  1.714670e-01   3.064999e+03   6.694248e+01
  1.740980e-01   3.071213e+03   6.645599e+01
  1.767280e-01   3.150038e+03   6.689867e+01
  1.793590e-01   3.118315e+03   6.668460e+01
  1.819900e-01   3.020751e+03   6.522991e+01
  1.846210e-01   2.955591e+03   6.436226e+01
  1.872510e-01   2.909836e+03   6.309191e+01
  1.898820e-01   2.914683e+03   6.363836e+01
  1.925130e-01   2.810182e+03   6.289223e+01
  1.951440e-01   2.911206e+03   6.265920e+01
  1.977740e-01   2.932819e+03   6.176048e+01
  2.004050e-01   2.990404e+03   6.141225e+01
  2.030360e-01   2.879084e+03   6.132521e+01
  2.056670e-01   2.832933e+03   6.023240e+01
  2.082970e-01   2.823504e+03   6.004299e+01
  2.109280e-01   2.856724e+03   5.992293e+01
  2.135590e-01   2.762744e+03   5.925545e+01
  2.161900e-01   2.770386e+03   5.871355e+01
  2.188200e-01   2.699467e+03   5.803335e+01
  2.214510e-01   2.765475e+03   5.769230e+01
  2.240820e-01   2.741597e+03   5.825751e+01
  2.267130e-01   2.633568e+03   5.714617e+01
  2.293430e-01   2.572121e+03   5.612639e+01
  2.319740e-01   2.612748e+03   5.637636e+01
  2.346050e-01   2.646145e+03   5.589688e+01
  2.372360e-01   2.544529e+03   5.574803e+01
  2.398660e-01   2.562380e+03   5.545934e+01
  2.424970e-01   2.636605e+03   5.495451e+01
  2.451280e-01   2.518109e+03   5.483510e+01
  2.477590e-01   2.511268e+03   5.377542e+01
  2.503890e-01   2.522502e+03   5.383971e+01
  2.530200e-01   2.614195e+03   5.399476e+01
  2.556510e-01   2.558999e+03   5.315973e+01
  2.582820e-01   2.405243e+03   5.311989e+01
  2.609120e-01   2.436838e+03   5.211669e+01
  2.635430e-01   2.455614e+03   5.210237e+01
  2.661740e-01   2.413356e+03   5.199198e+01
  2.688050e-01   2.396451e+03   5.170315e+01
  2.714350e-01   2.387052e+03   5.144982e+01
  2.740660e-01   2.349344e+03   5.048523e+01
  2.766970e-01   2.370990e+03   5.033916e+01
  2.793280e-01   2.274041e+03   5.036802e+01
  2.819580e-01   2.274345e+03   4.980437e+01
  2.845890e-01   2.319180e+03   4.972033e+01
  2.872200e-01   2.269632e+03   4.950716e+01
  2.898510e-01   2.258484e+03   4.918611e+01
  2.924810e-01   2.205156e+03   4.889016e+01
  2.951120e-01   2.177735e+03   4.808754e+01
  2.977430e-01   2.173623e+03   4.827277e+01
  3.003740e-01   2.127288e+03   4.770428e+01
  3.030050e-01   2.164900e+03   4.803603e+01
  3.056350e-01   2.086671e+03   4.735090e+01
  3.082660e-01   2.128572e+03   4.697415e+01
  3.108970e-01   2.117982e+03   4.696217e+01
  3.135280e-01   2.053468e+03   4.654067e+01
  3.161580e-01   2.025764e+03   4.607324e+01
  3.187890e-01   2.020704e+03   4.622495e+01
  3.214200e-01   2.060449e+03   4.610092e+01
  3.240510e-01   2.035610e+03   4.577292e+01
  3.266810e-01   2.051635e+03   4.565459e+01
  3.293120e-01   1.986615e+03   4.551213e+01
  3.319430e-01   1.966143e+03   4.468978e+01
  3.345740e-01   2.017780e+03   4.504574e+01
  3.372040e-01   1.968886e+03   4.432086e+01
  3.398350e-01   1.935548e+03   4.438530e+01
  3.424660e-01   1.889540e+03   4.365757e+01
  3.450970e-01   1.895402e+03   4.375537e+01
  3.477270e-01   1.922850e+03   4.395155e+01
  3.503580e-01   1.772095e+03   4.293293e+01
  3.529890e-01   1.798794e+03   4.315844e+01
  3.556200e-01   1.787849e+03   4.296123e+01
  3.582500e-01   1.746047e+03   4.258386e+01
  3.608810e-01   1.774287e+03   4.238578e+01
  3.635120e-01   1.797365e+03   4.218424e+01
  3.661430e-01   1.810302e+03   4.201072e+01
  3.687730e-01   1.764259e+03   4.187351e+01
  3.714040e-01   1.719547e+03   4.169659e+01
  3.740350e-01   1.696651e+03   4.153754e+01
  3.766660e-01   1.689996e+03   4.084848e+01
  3.792960e-01   1.722532e+03   4.114842e+01
  3.819270e-01   1.724088e+03   4.097034e+01
  3.845580e-01   1.698377e+03   4.110375e+01
  3.871890e-01   1.698319e+03   4.177203e+01
  3.898190e-01   1.676000e+03   4.226541e+01
  3.924500e-01   1.637783e+03   4.268070e+01
  3.950810e-01   1.642741e+03   4.309176e+01
  3.977120e-01   1.598102e+03   4.310677e+01
  4.003420e-01   1.576701e+03   4.263954e+01
  4.029730e-01   1.506471e+03   4.285458e+01
  4.056040e-01   1.499380e+03   4.292126e+01
  4.082350e-01   1.516174e+03   4.304998e+01
  4.108650e-01   1.563552e+03   4.351078e+01
  4.134960e-01   1.561603e+03   4.322459e+01
  4.161270e-01   1.463123e+03   4.301251e+01
  4.187580e-01   1.448319e+03   4.351442e+01
  4.213880e-01   1.433614e+03   4.302190e+01
  4.240190e-01   1.518424e+03   4.393512e+01
  4.266500e-01   1.500276e+03   4.362146e+01
  4.292810e-01   1.416350e+03   4.316645e+01
  4.319120e-01   1.463708e+03   4.243462e+01
  4.345420e-01   1.409500e+03   4.118355e+01
  4.371730e-01   1.353450e+03   4.118384e+01
  4.398040e-01   1.403099e+03   4.058110e+01
  4.424350e-01   1.428373e+03   4.015509e+01
  4.450650e-01   1.323299e+03   3.926708e+01
  4.476960e-01   1.330277e+03   3.907762e+01
  4.503270e-01   1.326479e+03   3.924004e+01
  4.529580e-01   1.338319e+03   3.890389e+01
  4.555880e-01   1.330444e+03   3.860949e+01
  4.582190e-01   1.303318e+03   3.835728e+01
  4.608500e-01   1.270800e+03   3.799791e+01
  4.634810e-01   1.239169e+03   3.768070e+01
  4.661110e-01   1.227811e+03   3.749521e+01
  4.687420e-01   1.251913e+03   3.762088e+01
  4.713730e-01   1.271945e+03   3.763483e+01
  4.740040e-01   1.253619e+03   3.715223e+01
  4.766340e-01   1.199470e+03   3.664763e+01
  4.792650e-01   1.206882e+03   3.668954e+01
  4.818960e-01   1.158747e+03   3.629987e+01
  4.845270e-01   1.134916e+03   3.626688e+01
  4.871570e-01   1.121914e+03   3.589547e+01
  4.897880e-01   1.103851e+03   3.567428e+01
  4.924190e-01   1.126659e+03   3.588641e+01
  4.950500e-01   1.142807e+03   3.567014e+01
  4.976800e-01   1.145972e+03   3.561480e+01
  5.003110e-01   1.134355e+03   3.512824e+01
  5.029420e-01   1.096726e+03   3.508908e+01
  5.055730e-01   1.096060e+03   3.521392e+01
  5.082030e-01   1.096490e+03   3.494317e+01
  5.108340e-01   1.111617e+03   3.462900e+01
  5.134650e-01   1.102736e+03   3.469505e+01
  5.160960e-01   1.054845e+03   3.448290e+01
  5.187260e-01   1.014586e+03   3.445494e+01
