Sample description: mLANA_B6_DTT
Sample: mLANA_B6_DTT  c= 5.0000 mg/ml  Code: B6_DTT
Parent(s): processed/subtracted/B6_DTT_0049_sub.dat
  1.881840e-01   3.968736e+03   3.079032e+01
  1.908070e-01   3.913064e+03   2.930952e+01
  1.934310e-01   3.952628e+03   3.050488e+01
  1.960550e-01   3.882934e+03   2.940756e+01
  1.986790e-01   3.875108e+03   2.972480e+01
  2.013030e-01   3.825862e+03   2.792136e+01
  2.039250e-01   3.770562e+03   2.801446e+01
  2.065490e-01   3.728896e+03   2.778970e+01
  2.091730e-01   3.735092e+03   2.762996e+01
  2.117970e-01   3.705356e+03   2.705812e+01
  2.144210e-01   3.690592e+03   2.683256e+01
  2.170440e-01   3.640468e+03   2.685312e+01
  2.196680e-01   3.656378e+03   2.656818e+01
  2.222920e-01   3.610246e+03   2.554806e+01
  2.249160e-01   3.572874e+03   2.585260e+01
  2.275400e-01   3.578664e+03   2.520458e+01
  2.301630e-01   3.718976e+03   2.623586e+01
  2.327870e-01   3.499584e+03   2.487058e+01
  2.354110e-01   3.525198e+03   2.447832e+01
  2.380350e-01   3.475030e+03   2.435572e+01
  2.406590e-01   3.456364e+03   2.430116e+01
  2.432810e-01   3.379470e+03   2.453266e+01
  2.459050e-01   3.339970e+03   2.269500e+01
  2.485290e-01   3.316068e+03   2.378494e+01
  2.511530e-01   3.343842e+03   2.321996e+01
  2.537770e-01   3.277170e+03   2.296624e+01
  2.564000e-01   3.292444e+03   2.280806e+01
  2.590240e-01   3.269246e+03   2.228852e+01
  2.616480e-01   3.196214e+03   2.263394e+01
  2.642720e-01   3.187616e+03   2.221468e+01
  2.668960e-01   3.185140e+03   2.162280e+01
  2.695190e-01   3.172284e+03   2.196422e+01
  2.721430e-01   3.103052e+03   2.108538e+01
  2.747670e-01   3.121804e+03   2.175216e+01
  2.773910e-01   3.084984e+03   2.072488e+01
  2.800140e-01   3.034572e+03   2.095254e+01
  2.826370e-01   3.013818e+03   2.110162e+01
  2.852610e-01   3.046846e+03   2.045126e+01
  2.878850e-01   2.996116e+03   2.072048e+01
  2.905090e-01   2.949360e+03   1.982381e+01
  2.931330e-01   2.915052e+03   2.003016e+01
  2.957560e-01   2.910234e+03   2.012688e+01
  2.983800e-01   2.906108e+03   1.986493e+01
  3.010040e-01   2.855098e+03   1.969163e+01
  3.036280e-01   2.850584e+03   1.910319e+01
  3.062520e-01   2.779126e+03   1.920541e+01
  3.088750e-01   2.746858e+03   1.892624e+01
  3.114990e-01   2.807454e+03   1.869067e+01
  3.141230e-01   2.762932e+03   1.891031e+01
  3.167470e-01   2.715312e+03   1.872040e+01
  3.193700e-01   2.693040e+03   1.842040e+01
  3.219930e-01   2.666476e+03   1.813763e+01
  3.246170e-01   2.654688e+03   1.808022e+01
  3.272410e-01   2.633040e+03   1.803645e+01
  3.298650e-01   2.602056e+03   1.814443e+01
  3.324890e-01   2.565754e+03   1.760835e+01
  3.351120e-01   2.597658e+03   1.716401e+01
  3.377360e-01   2.569634e+03   1.787005e+01
  3.403600e-01   2.520312e+03   1.707509e+01
  3.429840e-01   2.510268e+03   1.762261e+01
  3.456080e-01   2.462242e+03   1.691789e+01
  3.482310e-01   2.458708e+03   1.675827e+01
  3.508550e-01   2.421682e+03   1.698919e+01
  3.534790e-01   2.402266e+03   1.641499e+01
  3.561030e-01   2.380536e+03   1.670921e+01
  3.587260e-01   2.368418e+03   1.608252e+01
  3.613490e-01   2.312532e+03   1.612091e+01
  3.639730e-01   2.345636e+03   1.663836e+01
  3.665970e-01   2.323684e+03   1.581798e+01
  3.692210e-01   2.297134e+03   1.599611e+01
  3.718450e-01   2.274020e+03   1.568919e+01
  3.744680e-01   2.237892e+03   1.569779e+01
  3.770920e-01   2.221554e+03   1.574736e+01
  3.797160e-01   2.226976e+03   1.523784e+01
  3.823400e-01   2.203816e+03   1.550243e+01
  3.849640e-01   2.195000e+03   1.524640e+01
  3.875870e-01   2.161370e+03   1.516161e+01
  3.902110e-01   2.116972e+03   1.490706e+01
  3.928350e-01   2.108504e+03   1.470643e+01
  3.954590e-01   2.102654e+03   1.487406e+01
  3.980820e-01   2.102478e+03   1.484990e+01
  4.007050e-01   2.064868e+03   1.446143e+01
  4.033290e-01   2.030978e+03   1.440225e+01
  4.059530e-01   2.006580e+03   1.428998e+01
  4.085770e-01   2.020854e+03   1.459263e+01
  4.112010e-01   1.986302e+03   1.424008e+01
  4.138240e-01   1.949987e+03   1.455984e+01
  4.164480e-01   1.945134e+03   1.423151e+01
  4.190720e-01   1.943276e+03   1.458008e+01
  4.216960e-01   1.914247e+03   1.443574e+01
  4.243190e-01   1.905087e+03   1.412156e+01
  4.269430e-01   1.864713e+03   1.455211e+01
  4.295670e-01   1.874790e+03   1.428885e+01
  4.321910e-01   1.833557e+03   1.424980e+01
  4.348150e-01   1.819662e+03   1.385026e+01
  4.374370e-01   1.800251e+03   1.402495e+01
  4.400610e-01   1.786303e+03   1.438480e+01
  4.426850e-01   1.756585e+03   1.426795e+01
  4.453090e-01   1.728091e+03   1.436400e+01
  4.479330e-01   1.765133e+03   1.426543e+01
  4.505560e-01   1.713095e+03   1.463320e+01
  4.531800e-01   1.700685e+03   1.473356e+01
  4.558040e-01   1.713473e+03   1.421915e+01
  4.584280e-01   1.666042e+03   1.434762e+01
  4.610520e-01   1.644590e+03   1.428134e+01
  4.636750e-01   1.623467e+03   1.447331e+01
  4.662990e-01   1.650049e+03   1.429242e+01
  4.689230e-01   1.608580e+03   1.422083e+01
  4.715470e-01   1.608121e+03   1.460734e+01
  4.741700e-01   1.603799e+03   1.426870e+01
  4.767930e-01   1.555567e+03   1.449003e+01
  4.794170e-01   1.547742e+03   1.403160e+01
  4.820410e-01   1.509495e+03   1.418367e+01
  4.846650e-01   1.531981e+03   1.449434e+01
  4.872890e-01   1.502034e+03   1.406794e+01
  4.899120e-01   1.490474e+03   1.415439e+01
  4.925360e-01   1.472270e+03   1.397521e+01
  4.951600e-01   1.469898e+03   1.448511e+01
  4.977840e-01   1.447346e+03   1.421236e+01
  5.004080e-01   1.431820e+03   1.392073e+01
  5.030310e-01   1.434608e+03   1.432270e+01
  5.056550e-01   1.392650e+03   1.394755e+01
  5.082790e-01   1.399482e+03   1.423544e+01
  5.109030e-01   1.373152e+03   1.398191e+01
  5.135260e-01   1.353813e+03   1.382680e+01
  5.161490e-01   1.362656e+03   1.428924e+01
  5.187730e-01   1.339770e+03   1.372475e+01
  5.213970e-01   1.324885e+03   1.412643e+01
  5.240210e-01   1.314293e+03   1.377205e+01
  5.266450e-01   1.272165e+03   1.371837e+01
  5.292680e-01   1.243321e+03   1.385471e+01
  5.318920e-01   1.265127e+03   1.361185e+01
  5.345160e-01   1.233854e+03   1.390806e+01
  5.371400e-01   1.226976e+03   1.342707e+01
  5.397640e-01   1.254580e+03   1.403377e+01
  5.423870e-01   1.202561e+03   1.382354e+01
  5.450110e-01   1.174641e+03   1.329681e+01
  5.476350e-01   1.186779e+03   1.385076e+01
  5.502590e-01   1.189709e+03   1.336134e+01
  5.528820e-01   1.163328e+03   1.376717e+01
  5.555050e-01   1.135547e+03   1.337629e+01
  5.581290e-01   1.155051e+03   1.355537e+01
  5.607530e-01   1.102643e+03   1.350580e+01
  5.633770e-01   1.129320e+03   1.347196e+01
  5.660010e-01   1.105385e+03   1.335296e+01
  5.686240e-01   1.105867e+03   1.333841e+01
  5.712480e-01   1.084778e+03   1.336696e+01
  5.738720e-01   1.090381e+03   1.343596e+01
  5.764960e-01   1.078078e+03   1.344894e+01
  5.791200e-01   1.051515e+03   1.316341e+01
  5.817430e-01   1.042964e+03   1.322519e+01
  5.843670e-01   1.030274e+03   1.370597e+01
  5.869910e-01   1.035467e+03   1.388569e+01
  5.896150e-01   1.005430e+03   1.377948e+01
  5.922380e-01   9.924930e+02   1.382963e+01
  5.948610e-01   9.994758e+02   1.391874e+01
  5.974850e-01   9.792456e+02   1.409731e+01
  6.001090e-01   9.826876e+02   1.395599e+01
  6.027330e-01   9.602050e+02   1.358371e+01
  6.053570e-01   9.809926e+02   1.337810e+01
  6.079800e-01   9.760242e+02   1.343691e+01
  6.106040e-01   9.500064e+02   1.297940e+01
  6.132280e-01   9.273512e+02   1.287955e+01
  6.158520e-01   9.111668e+02   1.320938e+01
  6.184760e-01   9.409182e+02   1.315076e+01
  6.210990e-01   9.035246e+02   1.300437e+01
  6.237230e-01   8.958660e+02   1.281077e+01
  6.263470e-01   8.985106e+02   1.274082e+01
  6.289710e-01   8.741140e+02   1.285821e+01
  6.315940e-01   8.731296e+02   1.277216e+01
  6.342170e-01   8.397366e+02   1.243663e+01
  6.368410e-01   8.348300e+02   1.259595e+01
  6.394650e-01   8.501916e+02   1.247406e+01
  6.420890e-01   8.250988e+02   1.255449e+01
  6.447120e-01   8.255118e+02   1.215263e+01
  6.473360e-01   8.238334e+02   1.221245e+01
  6.499600e-01   8.088950e+02   1.232529e+01
  6.525840e-01   7.945688e+02   1.215840e+01
  6.552080e-01   7.897532e+02   1.232577e+01
  6.578310e-01   8.007852e+02   1.198258e+01
  6.604550e-01   7.541230e+02   1.194082e+01
  6.630790e-01   7.723942e+02   1.214844e+01
  6.657030e-01   7.672456e+02   1.201564e+01
  6.683270e-01   7.589198e+02   1.202674e+01
  6.709490e-01   7.506472e+02   1.184905e+01
  6.735730e-01   7.318952e+02   1.178476e+01
  6.761970e-01   7.345990e+02   1.183981e+01
  6.788210e-01   7.264708e+02   1.165449e+01
  6.814450e-01   7.354846e+02   1.168478e+01
  6.840680e-01   7.546448e+02   1.216989e+01
  6.866920e-01   7.085034e+02   1.215062e+01
  6.893160e-01   7.037054e+02   1.201053e+01
  6.919400e-01   6.979896e+02   1.221560e+01
  6.945640e-01   7.048940e+02   1.232771e+01
  6.971870e-01   6.793698e+02   1.232179e+01
  6.998110e-01   6.982396e+02   1.251882e+01
  7.024350e-01   6.555008e+02   1.236637e+01
  7.050590e-01   6.569136e+02   1.260071e+01
  7.076820e-01   6.453428e+02   1.233784e+01
  7.103050e-01   6.581940e+02   1.257947e+01
  7.129290e-01   6.310964e+02   1.246613e+01
  7.155530e-01   6.383324e+02   1.242376e+01
  7.181770e-01   6.234398e+02   1.267308e+01
  7.208010e-01   6.217576e+02   1.255836e+01
  7.234240e-01   6.190002e+02   1.247964e+01
  7.260480e-01   6.102666e+02   1.253328e+01
  7.286720e-01   6.056070e+02   1.267115e+01
  7.312960e-01   6.030688e+02   1.281032e+01
  7.339200e-01   5.769016e+02   1.239931e+01
  7.365430e-01   5.858926e+02   1.269513e+01
  7.391670e-01   5.813296e+02   1.268006e+01
  7.417910e-01   5.806862e+02   1.286915e+01
  7.444150e-01   5.504228e+02   1.263411e+01
  7.470380e-01   5.577124e+02   1.270958e+01
  7.496610e-01   5.411218e+02   1.281292e+01
  7.522850e-01   5.658044e+02   1.294300e+01
  7.549090e-01   5.438284e+02   1.286766e+01
  7.575330e-01   5.403980e+02   1.280069e+01
  7.601570e-01   5.271752e+02   1.281680e+01
  7.627800e-01   5.135920e+02   1.291527e+01
  7.654040e-01   5.064624e+02   1.289456e+01
  7.680280e-01   5.266364e+02   1.290709e+01
  7.706520e-01   5.390842e+02   1.301555e+01
  7.732760e-01   4.795436e+02   1.260388e+01
  7.758990e-01   5.145868e+02   1.326168e+01
  7.785230e-01   4.795668e+02   1.256114e+01
  7.811470e-01   4.982212e+02   1.296898e+01
  7.837710e-01   4.880936e+02   1.276787e+01
  7.863940e-01   4.934140e+02   1.296009e+01
  7.890170e-01   4.701402e+02   1.263037e+01
  7.916410e-01   4.803176e+02   1.271293e+01
  7.942650e-01   4.727994e+02   1.287148e+01
  7.968890e-01   4.705284e+02   1.272540e+01
  7.995130e-01   4.735082e+02   1.279908e+01
  8.021360e-01   4.432342e+02   1.254225e+01
  8.047600e-01   4.572046e+02   1.263483e+01
  8.073840e-01   4.371806e+02   1.270912e+01
  8.100080e-01   4.522064e+02   1.284477e+01
  8.126320e-01   4.294130e+02   1.235480e+01
  8.152550e-01   4.212982e+02   1.269809e+01
  8.178790e-01   4.180056e+02   1.247208e+01
  8.205030e-01   4.214832e+02   1.265030e+01
