 18-Oct-2007       (prot_024.dat - 1.0*Aver(prot_023.dat,prot_025.dat)) /  3.0
prot_024.dat  Conc = .30E+01  N1 =    1  N2 = 2164
prot_023.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
prot_025.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
  0.152252E+00  0.117817E+03  0.336109E+01
  0.154567E+00  0.119736E+03  0.322196E+01
  0.156882E+00  0.111779E+03  0.315317E+01
  0.159197E+00  0.113517E+03  0.297608E+01
  0.161512E+00  0.117182E+03  0.289749E+01
  0.163827E+00  0.112223E+03  0.279649E+01
  0.166142E+00  0.115522E+03  0.267214E+01
  0.168457E+00  0.115389E+03  0.267659E+01
  0.170772E+00  0.113875E+03  0.249256E+01
  0.173087E+00  0.116051E+03  0.246112E+01
  0.175402E+00  0.117582E+03  0.238839E+01
  0.177717E+00  0.117800E+03  0.232411E+01
  0.180032E+00  0.119045E+03  0.229652E+01
  0.182347E+00  0.116283E+03  0.216775E+01
  0.184662E+00  0.116687E+03  0.216377E+01
  0.186977E+00  0.117783E+03  0.210659E+01
  0.189292E+00  0.117015E+03  0.207359E+01
  0.191607E+00  0.117708E+03  0.200748E+01
  0.193922E+00  0.112687E+03  0.194932E+01
  0.196237E+00  0.111698E+03  0.195218E+01
  0.198552E+00  0.115283E+03  0.186271E+01
  0.200867E+00  0.114799E+03  0.184526E+01
  0.203183E+00  0.116161E+03  0.183384E+01
  0.205498E+00  0.113804E+03  0.178064E+01
  0.207813E+00  0.112078E+03  0.179250E+01
  0.210128E+00  0.114538E+03  0.170293E+01
  0.212443E+00  0.112206E+03  0.169672E+01
  0.214758E+00  0.113734E+03  0.166012E+01
  0.217073E+00  0.116869E+03  0.165211E+01
  0.219388E+00  0.114994E+03  0.162599E+01
  0.221703E+00  0.114049E+03  0.158667E+01
  0.224018E+00  0.112182E+03  0.159749E+01
  0.226333E+00  0.112736E+03  0.154033E+01
  0.228648E+00  0.110498E+03  0.153947E+01
  0.230963E+00  0.109384E+03  0.149032E+01
  0.233278E+00  0.108867E+03  0.148874E+01
  0.235593E+00  0.107750E+03  0.149151E+01
  0.237908E+00  0.110837E+03  0.144223E+01
  0.240223E+00  0.109986E+03  0.143732E+01
  0.242538E+00  0.109314E+03  0.141367E+01
  0.244853E+00  0.109250E+03  0.141934E+01
  0.247168E+00  0.110166E+03  0.140764E+01
