 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  0.671010E-01  0.428507E+02  0.150206E+02
  0.698361E-01  0.371583E+02  0.120745E+02
  0.725712E-01  0.408993E+02  0.103735E+02
  0.753062E-01  0.408354E+02  0.888490E+01
  0.780413E-01  0.392302E+02  0.788737E+01
  0.807764E-01  0.410333E+02  0.701864E+01
  0.835115E-01  0.405198E+02  0.626226E+01
  0.862466E-01  0.398327E+02  0.557680E+01
  0.889817E-01  0.376583E+02  0.493428E+01
  0.917168E-01  0.426385E+02  0.448822E+01
  0.944518E-01  0.394002E+02  0.405763E+01
  0.971869E-01  0.409577E+02  0.362839E+01
  0.999220E-01  0.427176E+02  0.330045E+01
  0.102657E+00  0.424092E+02  0.301421E+01
  0.105392E+00  0.388327E+02  0.268213E+01
  0.108127E+00  0.414397E+02  0.248770E+01
  0.110862E+00  0.407536E+02  0.224936E+01
  0.113597E+00  0.399541E+02  0.208821E+01
  0.116333E+00  0.429281E+02  0.196225E+01
  0.119068E+00  0.399829E+02  0.174270E+01
  0.121803E+00  0.408174E+02  0.167163E+01
  0.124538E+00  0.405459E+02  0.151786E+01
  0.127273E+00  0.396763E+02  0.143743E+01
  0.130008E+00  0.403885E+02  0.134458E+01
  0.132743E+00  0.415046E+02  0.122535E+01
  0.135478E+00  0.422104E+02  0.119278E+01
  0.138213E+00  0.407036E+02  0.108994E+01
  0.140948E+00  0.399007E+02  0.103948E+01
  0.143683E+00  0.407574E+02  0.985501E+00
  0.146418E+00  0.402654E+02  0.914917E+00
  0.149154E+00  0.412751E+02  0.910014E+00
  0.151889E+00  0.407122E+02  0.838351E+00
  0.154624E+00  0.402344E+02  0.786370E+00
  0.157359E+00  0.404497E+02  0.754892E+00
  0.160094E+00  0.402723E+02  0.723288E+00
  0.162829E+00  0.399225E+02  0.713943E+00
  0.165564E+00  0.393617E+02  0.654925E+00
  0.168299E+00  0.400140E+02  0.638461E+00
  0.171034E+00  0.393702E+02  0.610038E+00
  0.173769E+00  0.393912E+02  0.592541E+00
  0.176504E+00  0.389514E+02  0.578000E+00
  0.179240E+00  0.384298E+02  0.534857E+00
  0.181975E+00  0.393363E+02  0.540859E+00
  0.184710E+00  0.389136E+02  0.516428E+00
  0.187445E+00  0.385932E+02  0.504028E+00
  0.190180E+00  0.384952E+02  0.477458E+00
  0.192915E+00  0.382998E+02  0.469140E+00
  0.195650E+00  0.384458E+02  0.467930E+00
  0.198385E+00  0.384194E+02  0.446625E+00
  0.201120E+00  0.377923E+02  0.430574E+00
  0.203855E+00  0.377878E+02  0.425662E+00
  0.206590E+00  0.382985E+02  0.411135E+00
  0.209325E+00  0.375247E+02  0.399140E+00
  0.212061E+00  0.375944E+02  0.381090E+00
  0.214796E+00  0.373182E+02  0.374032E+00
  0.217531E+00  0.370178E+02  0.364447E+00
  0.220266E+00  0.370336E+02  0.360924E+00
  0.223001E+00  0.370248E+02  0.352106E+00
  0.225736E+00  0.365638E+02  0.344571E+00
  0.228471E+00  0.372013E+02  0.346449E+00
  0.231206E+00  0.370400E+02  0.338351E+00
  0.233941E+00  0.368628E+02  0.336675E+00
  0.236676E+00  0.368292E+02  0.327488E+00
  0.239411E+00  0.366018E+02  0.328710E+00
  0.242146E+00  0.362092E+02  0.325465E+00
  0.244882E+00  0.362865E+02  0.318498E+00
  0.247617E+00  0.359637E+02  0.318900E+00
  0.250352E+00  0.358153E+02  0.311969E+00
  0.253087E+00  0.356938E+02  0.314075E+00
  0.255822E+00  0.351789E+02  0.306066E+00
