 18-Jun-2007       (jari_010.dat - 1.0*jari_011.dat) /  7.8000
jari_010.dat  Conc = .78E+01  N1 =    1  N2 = 2154
jari_011.dat  Conc = 0.0d+0   N1 =    1  N2 = 2154
  0.200268E+00  0.900050E+02  0.886861E+00
  0.202585E+00  0.904440E+02  0.895913E+00
  0.204902E+00  0.927142E+02  0.852508E+00
  0.207219E+00  0.918183E+02  0.853290E+00
  0.209536E+00  0.928014E+02  0.844133E+00
  0.211853E+00  0.922997E+02  0.819977E+00
  0.214170E+00  0.915412E+02  0.819208E+00
  0.216487E+00  0.919687E+02  0.781883E+00
  0.218804E+00  0.922796E+02  0.792296E+00
  0.221121E+00  0.921745E+02  0.777841E+00
  0.223438E+00  0.910271E+02  0.766584E+00
  0.225755E+00  0.913782E+02  0.758410E+00
  0.228072E+00  0.898482E+02  0.735699E+00
  0.230389E+00  0.897451E+02  0.747852E+00
  0.232706E+00  0.895537E+02  0.724553E+00
  0.235023E+00  0.910373E+02  0.720306E+00
  0.237341E+00  0.898781E+02  0.710538E+00
  0.239658E+00  0.878267E+02  0.686839E+00
  0.241975E+00  0.911012E+02  0.707906E+00
  0.244292E+00  0.883638E+02  0.675363E+00
  0.246609E+00  0.890338E+02  0.681336E+00
  0.248926E+00  0.888846E+02  0.675743E+00
  0.251243E+00  0.889094E+02  0.656256E+00
  0.253560E+00  0.899038E+02  0.660727E+00
  0.255877E+00  0.893877E+02  0.642717E+00
  0.258194E+00  0.903799E+02  0.643893E+00
  0.260511E+00  0.884912E+02  0.633322E+00
  0.262828E+00  0.892346E+02  0.634613E+00
  0.265145E+00  0.885172E+02  0.620983E+00
  0.267462E+00  0.877205E+02  0.611382E+00
  0.269779E+00  0.878805E+02  0.617540E+00
  0.272096E+00  0.882163E+02  0.611375E+00
  0.274413E+00  0.882812E+02  0.603051E+00
  0.276730E+00  0.884056E+02  0.598355E+00
  0.279047E+00  0.871528E+02  0.587675E+00
  0.281364E+00  0.867087E+02  0.592156E+00
  0.283681E+00  0.866183E+02  0.575047E+00
  0.285998E+00  0.871733E+02  0.581800E+00
  0.288315E+00  0.873251E+02  0.570905E+00
  0.290632E+00  0.879105E+02  0.567638E+00
  0.292949E+00  0.880526E+02  0.563007E+00
  0.295266E+00  0.867068E+02  0.552997E+00
  0.297583E+00  0.878206E+02  0.558016E+00
  0.299900E+00  0.851872E+02  0.545417E+00
  0.302217E+00  0.850655E+02  0.546125E+00
  0.304534E+00  0.874432E+02  0.543702E+00
  0.306851E+00  0.870690E+02  0.536707E+00
  0.309168E+00  0.853345E+02  0.536409E+00
  0.311485E+00  0.853250E+02  0.524381E+00
  0.313802E+00  0.853737E+02  0.526862E+00
  0.316119E+00  0.858792E+02  0.518779E+00
  0.318436E+00  0.860119E+02  0.517712E+00
  0.320753E+00  0.854406E+02  0.520240E+00
  0.323070E+00  0.846926E+02  0.504087E+00
  0.325387E+00  0.855560E+02  0.513781E+00
  0.327704E+00  0.849868E+02  0.499276E+00
  0.330021E+00  0.843942E+02  0.502917E+00
  0.332338E+00  0.838590E+02  0.499961E+00
  0.334655E+00  0.849036E+02  0.492784E+00
  0.336972E+00  0.850114E+02  0.496041E+00
  0.339289E+00  0.843701E+02  0.483873E+00
  0.341606E+00  0.837400E+02  0.486783E+00
  0.343923E+00  0.836768E+02  0.480675E+00
  0.346241E+00  0.828554E+02  0.475414E+00
  0.348558E+00  0.823872E+02  0.482706E+00
  0.350875E+00  0.835274E+02  0.468670E+00
  0.353192E+00  0.832128E+02  0.472712E+00
  0.355509E+00  0.824067E+02  0.463865E+00
  0.357826E+00  0.815250E+02  0.462452E+00
  0.360143E+00  0.817804E+02  0.465837E+00
  0.362460E+00  0.814387E+02  0.456126E+00
  0.364777E+00  0.808567E+02  0.458368E+00
  0.367094E+00  0.814614E+02  0.452279E+00
  0.369411E+00  0.810978E+02  0.448878E+00
  0.371728E+00  0.810365E+02  0.448999E+00
  0.374045E+00  0.816623E+02  0.443131E+00
  0.376362E+00  0.800351E+02  0.449090E+00
  0.378679E+00  0.803704E+02  0.439319E+00
  0.380996E+00  0.799641E+02  0.439869E+00
  0.383313E+00  0.799438E+02  0.436115E+00
  0.385630E+00  0.792571E+02  0.432718E+00
  0.387947E+00  0.785762E+02  0.433206E+00
  0.390264E+00  0.792685E+02  0.427139E+00
  0.392581E+00  0.787491E+02  0.426858E+00
  0.394898E+00  0.783590E+02  0.423192E+00
  0.397215E+00  0.784859E+02  0.422927E+00
  0.399532E+00  0.793317E+02  0.424580E+00
  0.401849E+00  0.784974E+02  0.415789E+00
  0.404166E+00  0.777397E+02  0.421004E+00
  0.406483E+00  0.776641E+02  0.413501E+00
  0.408800E+00  0.778891E+02  0.415001E+00
  0.411117E+00  0.771667E+02  0.410507E+00
  0.413434E+00  0.769487E+02  0.406822E+00
  0.415751E+00  0.761531E+02  0.407057E+00
  0.418068E+00  0.757890E+02  0.404136E+00
  0.420385E+00  0.764494E+02  0.405186E+00
  0.422702E+00  0.758633E+02  0.399333E+00
  0.425019E+00  0.765455E+02  0.398238E+00
  0.427336E+00  0.755077E+02  0.396509E+00
  0.429653E+00  0.759510E+02  0.395467E+00
  0.431970E+00  0.755208E+02  0.392948E+00
  0.434287E+00  0.751779E+02  0.391899E+00
  0.436604E+00  0.751372E+02  0.391811E+00
  0.438921E+00  0.752095E+02  0.389601E+00
  0.441238E+00  0.755504E+02  0.385776E+00
  0.443555E+00  0.747168E+02  0.388813E+00
  0.445872E+00  0.741760E+02  0.378851E+00
  0.448189E+00  0.741803E+02  0.386649E+00
  0.450506E+00  0.735914E+02  0.377336E+00
  0.452823E+00  0.737737E+02  0.378204E+00
  0.455140E+00  0.733147E+02  0.378591E+00
  0.457458E+00  0.728423E+02  0.373857E+00
  0.459775E+00  0.728765E+02  0.375803E+00
  0.462092E+00  0.726169E+02  0.368773E+00
  0.464409E+00  0.721395E+02  0.372662E+00
  0.466726E+00  0.723653E+02  0.371842E+00
  0.469043E+00  0.719622E+02  0.364396E+00
