 22-Oct-2005       (fran2_080.d - 1.000 *Avrag05.dat) /  5.5000
fran2_080.da  Conc = .55E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 Avrag05.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.113461E+00  0.111055E+07  0.290698E+05
  0.115711E+00  0.110345E+07  0.289618E+05
  0.117961E+00  0.109291E+07  0.256061E+05
  0.120211E+00  0.110005E+07  0.247807E+05
  0.122460E+00  0.109653E+07  0.223683E+05
  0.124710E+00  0.107973E+07  0.212278E+05
  0.126960E+00  0.107493E+07  0.195863E+05
  0.129209E+00  0.107258E+07  0.176461E+05
  0.131459E+00  0.110942E+07  0.174194E+05
  0.133709E+00  0.111833E+07  0.161543E+05
  0.135958E+00  0.110695E+07  0.158419E+05
  0.138208E+00  0.110100E+07  0.150686E+05
  0.140458E+00  0.108002E+07  0.141184E+05
  0.142708E+00  0.107096E+07  0.134493E+05
  0.144957E+00  0.105131E+07  0.124536E+05
  0.147207E+00  0.103229E+07  0.122274E+05
  0.149457E+00  0.106364E+07  0.115799E+05
  0.151706E+00  0.107731E+07  0.113816E+05
  0.153956E+00  0.110180E+07  0.111772E+05
  0.156206E+00  0.105171E+07  0.104713E+05
  0.158455E+00  0.105556E+07  0.103763E+05
  0.160705E+00  0.106767E+07  0.991575E+04
  0.162955E+00  0.106238E+07  0.980911E+04
  0.165205E+00  0.103689E+07  0.942628E+04
  0.167454E+00  0.106469E+07  0.896944E+04
  0.169704E+00  0.106622E+07  0.907619E+04
  0.171954E+00  0.106131E+07  0.863153E+04
  0.174203E+00  0.105333E+07  0.847349E+04
  0.176453E+00  0.102575E+07  0.816579E+04
  0.178703E+00  0.103742E+07  0.790570E+04
  0.180952E+00  0.103804E+07  0.796151E+04
  0.183202E+00  0.105424E+07  0.754658E+04
  0.185452E+00  0.103844E+07  0.749464E+04
  0.187701E+00  0.104367E+07  0.722608E+04
  0.189951E+00  0.104956E+07  0.712429E+04
  0.192201E+00  0.103727E+07  0.708663E+04
  0.194451E+00  0.103073E+07  0.669069E+04
  0.196700E+00  0.101856E+07  0.671195E+04
  0.198950E+00  0.101175E+07  0.652963E+04
  0.201200E+00  0.101980E+07  0.645835E+04
  0.203449E+00  0.102578E+07  0.628794E+04
  0.205699E+00  0.101738E+07  0.603568E+04
  0.207949E+00  0.100004E+07  0.611859E+04
  0.210198E+00  0.998800E+06  0.592163E+04
  0.212448E+00  0.100065E+07  0.584583E+04
  0.214698E+00  0.100136E+07  0.567742E+04
  0.216948E+00  0.100435E+07  0.559330E+04
  0.219197E+00  0.990200E+06  0.558964E+04
  0.221447E+00  0.100367E+07  0.539791E+04
  0.223697E+00  0.987091E+06  0.536452E+04
  0.225946E+00  0.987400E+06  0.520158E+04
  0.228196E+00  0.976564E+06  0.521670E+04
  0.230446E+00  0.985982E+06  0.516244E+04
  0.232695E+00  0.982073E+06  0.495489E+04
  0.234945E+00  0.963564E+06  0.496990E+04
  0.237195E+00  0.956982E+06  0.482218E+04
  0.239445E+00  0.957909E+06  0.487047E+04
  0.241694E+00  0.950073E+06  0.472104E+04
  0.243944E+00  0.955265E+06  0.462255E+04
  0.246194E+00  0.939969E+06  0.467383E+04
  0.248443E+00  0.945469E+06  0.449615E+04
  0.250693E+00  0.944804E+06  0.453134E+04
  0.252943E+00  0.940345E+06  0.437991E+04
  0.255192E+00  0.939393E+06  0.439114E+04
  0.257442E+00  0.934065E+06  0.437810E+04
  0.259692E+00  0.936076E+06  0.422738E+04
  0.261942E+00  0.940978E+06  0.422284E+04
  0.264191E+00  0.932775E+06  0.413461E+04
  0.266441E+00  0.924389E+06  0.415096E+04
  0.268691E+00  0.920131E+06  0.410968E+04
  0.270940E+00  0.912991E+06  0.398465E+04
  0.273190E+00  0.908533E+06  0.399351E+04
  0.275440E+00  0.910836E+06  0.393414E+04
  0.277689E+00  0.907658E+06  0.401381E+04
  0.279939E+00  0.908007E+06  0.394763E+04
  0.282189E+00  0.905771E+06  0.390778E+04
  0.284439E+00  0.900125E+06  0.395494E+04
  0.286688E+00  0.899549E+06  0.389122E+04
  0.288938E+00  0.889815E+06  0.390853E+04
  0.291188E+00  0.887640E+06  0.382498E+04
  0.293437E+00  0.882491E+06  0.387121E+04
  0.295687E+00  0.884233E+06  0.385208E+04
  0.297937E+00  0.868325E+06  0.376992E+04
  0.300186E+00  0.874811E+06  0.380079E+04
  0.302436E+00  0.868993E+06  0.371683E+04
  0.304686E+00  0.860985E+06  0.376102E+04
  0.306935E+00  0.859589E+06  0.372725E+04
  0.309185E+00  0.853171E+06  0.367108E+04
  0.311435E+00  0.846875E+06  0.368716E+04
  0.313685E+00  0.847127E+06  0.361575E+04
  0.315934E+00  0.846887E+06  0.368003E+04
  0.318184E+00  0.848195E+06  0.359982E+04
  0.320434E+00  0.844756E+06  0.358532E+04
  0.322683E+00  0.839805E+06  0.362732E+04
  0.324933E+00  0.837369E+06  0.354503E+04
  0.327183E+00  0.841647E+06  0.356926E+04
  0.329432E+00  0.837036E+06  0.349208E+04
  0.331682E+00  0.819715E+06  0.351352E+04
  0.333932E+00  0.815644E+06  0.352438E+04
  0.336182E+00  0.820616E+06  0.345566E+04
  0.338431E+00  0.823515E+06  0.347325E+04
  0.340681E+00  0.813835E+06  0.339392E+04
  0.342931E+00  0.810549E+06  0.345877E+04
  0.345180E+00  0.811915E+06  0.339039E+04
  0.347430E+00  0.803964E+06  0.338984E+04
  0.349680E+00  0.797604E+06  0.339125E+04
  0.351929E+00  0.802704E+06  0.333534E+04
  0.354179E+00  0.795960E+06  0.337683E+04
  0.356429E+00  0.790567E+06  0.329708E+04
  0.358679E+00  0.777427E+06  0.329197E+04
  0.360928E+00  0.768000E+06  0.330490E+04
  0.363178E+00  0.767867E+06  0.326856E+04
  0.365428E+00  0.769875E+06  0.326299E+04
  0.367677E+00  0.768640E+06  0.320639E+04
  0.369927E+00  0.759116E+06  0.323932E+04
  0.372177E+00  0.756956E+06  0.321884E+04
  0.374426E+00  0.753065E+06  0.321040E+04
  0.376676E+00  0.747660E+06  0.319031E+04
  0.378926E+00  0.747153E+06  0.314169E+04
  0.381176E+00  0.747305E+06  0.318141E+04
  0.383425E+00  0.734956E+06  0.314236E+04
  0.385675E+00  0.729771E+06  0.312264E+04
  0.387925E+00  0.730713E+06  0.310625E+04
  0.390174E+00  0.731513E+06  0.309464E+04
  0.392424E+00  0.723131E+06  0.312550E+04
  0.394674E+00  0.718527E+06  0.304883E+04
  0.396923E+00  0.722304E+06  0.307040E+04
  0.399173E+00  0.717649E+06  0.306493E+04
  0.401423E+00  0.712265E+06  0.304101E+04
  0.403673E+00  0.704707E+06  0.302573E+04
  0.405922E+00  0.711445E+06  0.298480E+04
  0.408172E+00  0.700480E+06  0.300928E+04
  0.410422E+00  0.700224E+06  0.298539E+04
  0.412671E+00  0.692891E+06  0.297825E+04
  0.414921E+00  0.691660E+06  0.296537E+04
  0.417171E+00  0.687878E+06  0.293156E+04
  0.419420E+00  0.684467E+06  0.295995E+04
  0.421670E+00  0.683567E+06  0.292884E+04
  0.423920E+00  0.681427E+06  0.291590E+04
  0.426169E+00  0.672444E+06  0.290142E+04
  0.428419E+00  0.666667E+06  0.288852E+04
  0.430669E+00  0.667060E+06  0.289214E+04
  0.432919E+00  0.661747E+06  0.286678E+04
  0.435168E+00  0.659356E+06  0.284888E+04
  0.437418E+00  0.655156E+06  0.286425E+04
  0.439668E+00  0.657169E+06  0.285450E+04
  0.441917E+00  0.652073E+06  0.283135E+04
  0.444167E+00  0.646487E+06  0.278749E+04
  0.446417E+00  0.639838E+06  0.283167E+04
  0.448666E+00  0.640300E+06  0.280701E+04
  0.450916E+00  0.636458E+06  0.278021E+04
  0.453166E+00  0.635835E+06  0.277914E+04
  0.455416E+00  0.633931E+06  0.275723E+04
  0.457665E+00  0.626640E+06  0.278847E+04
  0.459915E+00  0.625318E+06  0.273489E+04
  0.462165E+00  0.616029E+06  0.273395E+04
  0.464414E+00  0.618678E+06  0.272480E+04
  0.466664E+00  0.612987E+06  0.271883E+04
  0.468914E+00  0.607818E+06  0.273853E+04
  0.471163E+00  0.604122E+06  0.267666E+04
  0.473413E+00  0.601038E+06  0.268280E+04
  0.475663E+00  0.594400E+06  0.267369E+04
  0.477913E+00  0.598576E+06  0.267647E+04
  0.480162E+00  0.587642E+06  0.267914E+04
  0.482412E+00  0.589371E+06  0.262914E+04
  0.484662E+00  0.587262E+06  0.265732E+04
  0.486911E+00  0.583920E+06  0.263222E+04
  0.489161E+00  0.583567E+06  0.263802E+04
  0.491411E+00  0.579971E+06  0.261501E+04
  0.493660E+00  0.577042E+06  0.260217E+04
  0.495910E+00  0.577215E+06  0.263245E+04
  0.498160E+00  0.573204E+06  0.257551E+04
  0.500410E+00  0.563736E+06  0.257616E+04
  0.502659E+00  0.561073E+06  0.257822E+04
  0.504909E+00  0.560309E+06  0.256949E+04
  0.507159E+00  0.557353E+06  0.258081E+04
  0.509408E+00  0.554804E+06  0.254663E+04
  0.511658E+00  0.553102E+06  0.252998E+04
  0.513908E+00  0.553578E+06  0.254325E+04
  0.516157E+00  0.544702E+06  0.254452E+04
  0.518407E+00  0.542700E+06  0.252390E+04
  0.520657E+00  0.543165E+06  0.249874E+04
  0.522907E+00  0.538009E+06  0.250064E+04
  0.525156E+00  0.533431E+06  0.248965E+04
  0.527406E+00  0.524251E+06  0.249158E+04
  0.529656E+00  0.526862E+06  0.247368E+04
  0.531905E+00  0.518925E+06  0.247004E+04
  0.534155E+00  0.517733E+06  0.247614E+04
  0.536405E+00  0.518084E+06  0.245058E+04
  0.538654E+00  0.515627E+06  0.245194E+04
  0.540904E+00  0.517722E+06  0.244081E+04
  0.543154E+00  0.508729E+06  0.244923E+04
  0.545404E+00  0.501922E+06  0.244316E+04
  0.547653E+00  0.507871E+06  0.240951E+04
  0.549903E+00  0.499689E+06  0.242229E+04
  0.552153E+00  0.499409E+06  0.239512E+04
  0.554402E+00  0.498969E+06  0.241503E+04
  0.556652E+00  0.494622E+06  0.239539E+04
  0.558902E+00  0.494307E+06  0.238190E+04
  0.561151E+00  0.492745E+06  0.240032E+04
  0.563401E+00  0.485318E+06  0.235966E+04
  0.565651E+00  0.481144E+06  0.237659E+04
  0.567900E+00  0.472767E+06  0.234016E+04
  0.570150E+00  0.472642E+06  0.235200E+04
  0.572400E+00  0.468418E+06  0.236370E+04
  0.574650E+00  0.469671E+06  0.233275E+04
  0.576899E+00  0.471055E+06  0.235455E+04
