 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.151706E+00  0.193180E+07  0.302481E+05
  0.153956E+00  0.191944E+07  0.296838E+05
  0.156206E+00  0.193444E+07  0.278308E+05
  0.158455E+00  0.192572E+07  0.275185E+05
  0.160705E+00  0.197148E+07  0.262709E+05
  0.162955E+00  0.194496E+07  0.260108E+05
  0.165205E+00  0.192772E+07  0.249764E+05
  0.167454E+00  0.186984E+07  0.237243E+05
  0.169704E+00  0.193576E+07  0.239681E+05
  0.171954E+00  0.198432E+07  0.227886E+05
  0.174203E+00  0.194088E+07  0.223785E+05
  0.176453E+00  0.194572E+07  0.215757E+05
  0.178703E+00  0.195116E+07  0.208660E+05
  0.180952E+00  0.189440E+07  0.209641E+05
  0.183202E+00  0.190372E+07  0.198495E+05
  0.185452E+00  0.193492E+07  0.197112E+05
  0.187701E+00  0.192792E+07  0.189700E+05
  0.189951E+00  0.188764E+07  0.186322E+05
  0.192201E+00  0.187020E+07  0.185498E+05
  0.194451E+00  0.188108E+07  0.175218E+05
  0.196700E+00  0.186016E+07  0.175482E+05
  0.198950E+00  0.186928E+07  0.170682E+05
  0.201200E+00  0.185032E+07  0.168862E+05
  0.203449E+00  0.187336E+07  0.163990E+05
  0.205699E+00  0.186852E+07  0.157117E+05
  0.207949E+00  0.184520E+07  0.159248E+05
  0.210198E+00  0.180816E+07  0.154163E+05
  0.212448E+00  0.178804E+07  0.151784E+05
  0.214698E+00  0.180244E+07  0.147167E+05
  0.216948E+00  0.177612E+07  0.144800E+05
  0.219197E+00  0.177692E+07  0.144718E+05
  0.221447E+00  0.177684E+07  0.139567E+05
  0.223697E+00  0.177560E+07  0.138657E+05
  0.225946E+00  0.175668E+07  0.134369E+05
  0.228196E+00  0.173508E+07  0.134763E+05
  0.230446E+00  0.176576E+07  0.132907E+05
  0.232695E+00  0.176212E+07  0.127787E+05
  0.234945E+00  0.171976E+07  0.128087E+05
  0.237195E+00  0.169928E+07  0.124169E+05
  0.239445E+00  0.168036E+07  0.124994E+05
  0.241694E+00  0.167495E+07  0.121282E+05
  0.243944E+00  0.167260E+07  0.118425E+05
  0.246194E+00  0.167558E+07  0.119656E+05
  0.248443E+00  0.167533E+07  0.115071E+05
  0.250693E+00  0.164786E+07  0.115805E+05
  0.252943E+00  0.163664E+07  0.111833E+05
  0.255192E+00  0.161618E+07  0.111625E+05
  0.257442E+00  0.162256E+07  0.111458E+05
  0.259692E+00  0.160214E+07  0.107425E+05
  0.261942E+00  0.161184E+07  0.107295E+05
  0.264191E+00  0.158192E+07  0.104970E+05
  0.266441E+00  0.157107E+07  0.105345E+05
  0.268691E+00  0.157331E+07  0.104211E+05
  0.270940E+00  0.155622E+07  0.100862E+05
  0.273190E+00  0.155196E+07  0.100914E+05
  0.275440E+00  0.155251E+07  0.993508E+04
  0.277689E+00  0.153281E+07  0.101432E+05
  0.279939E+00  0.150101E+07  0.994961E+04
  0.282189E+00  0.150140E+07  0.984252E+04
  0.284439E+00  0.151865E+07  0.995458E+04
  0.286688E+00  0.149953E+07  0.975851E+04
  0.288938E+00  0.148628E+07  0.980287E+04
  0.291188E+00  0.150294E+07  0.959405E+04
  0.293437E+00  0.147311E+07  0.971966E+04
  0.295687E+00  0.146481E+07  0.965071E+04
  0.297937E+00  0.143442E+07  0.944645E+04
  0.300186E+00  0.144054E+07  0.952516E+04
  0.302436E+00  0.142748E+07  0.928875E+04
  0.304686E+00  0.141908E+07  0.940329E+04
  0.306935E+00  0.141166E+07  0.930645E+04
  0.309185E+00  0.138808E+07  0.916622E+04
  0.311435E+00  0.140418E+07  0.922026E+04
  0.313685E+00  0.138480E+07  0.902453E+04
  0.315934E+00  0.135503E+07  0.915627E+04
  0.318184E+00  0.134760E+07  0.893876E+04
  0.320434E+00  0.136802E+07  0.890655E+04
  0.322683E+00  0.134120E+07  0.899317E+04
  0.324933E+00  0.133400E+07  0.879767E+04
  0.327183E+00  0.134162E+07  0.884920E+04
  0.329432E+00  0.132882E+07  0.864639E+04
  0.331682E+00  0.131101E+07  0.870588E+04
  0.333932E+00  0.131726E+07  0.874866E+04
  0.336182E+00  0.129290E+07  0.854569E+04
  0.338431E+00  0.127914E+07  0.857073E+04
  0.340681E+00  0.125958E+07  0.838328E+04
  0.342931E+00  0.125692E+07  0.854154E+04
  0.345180E+00  0.124387E+07  0.834821E+04
  0.347430E+00  0.124271E+07  0.835676E+04
  0.349680E+00  0.123755E+07  0.835337E+04
  0.351929E+00  0.123616E+07  0.822347E+04
  0.354179E+00  0.120568E+07  0.832035E+04
  0.356429E+00  0.122379E+07  0.812381E+04
  0.358679E+00  0.121715E+07  0.812808E+04
  0.360928E+00  0.121084E+07  0.816181E+04
  0.363178E+00  0.119057E+07  0.805481E+04
  0.365428E+00  0.119713E+07  0.802408E+04
  0.367677E+00  0.118553E+07  0.786155E+04
  0.369927E+00  0.114882E+07  0.794233E+04
  0.372177E+00  0.115849E+07  0.791288E+04
  0.374426E+00  0.115225E+07  0.787219E+04
  0.376676E+00  0.112468E+07  0.779576E+04
  0.378926E+00  0.111775E+07  0.769142E+04
  0.381176E+00  0.111584E+07  0.778625E+04
  0.383425E+00  0.112572E+07  0.769812E+04
  0.385675E+00  0.111129E+07  0.765445E+04
  0.387925E+00  0.111000E+07  0.760317E+04
  0.390174E+00  0.109428E+07  0.755495E+04
  0.392424E+00  0.109020E+07  0.763227E+04
  0.394674E+00  0.107077E+07  0.745093E+04
  0.396923E+00  0.106789E+07  0.750205E+04
  0.399173E+00  0.105760E+07  0.749380E+04
  0.401423E+00  0.103865E+07  0.741396E+04
  0.403673E+00  0.104368E+07  0.740262E+04
  0.405922E+00  0.102796E+07  0.726782E+04
  0.408172E+00  0.102035E+07  0.733735E+04
