 08-Dec-2011       (ela_006.dat - 1.0*Aver(ela_005.dat,ela_007.dat) /  1.8000 
 ela_006.dat  Conc = .18E+01  N1 =    1  N2 = 2170
 ela_005.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
 ela_007.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
  0.854979E-01  0.375389E+02  0.423709E+02
  0.882382E-01  0.481111E+02  0.141227E+02
  0.909785E-01  0.357583E+02  0.114191E+02
  0.937188E-01  0.368806E+02  0.977430E+01
  0.964591E-01  0.414472E+02  0.867689E+01
  0.991995E-01  0.384944E+02  0.763155E+01
  0.101940E+00  0.446000E+02  0.700423E+01
  0.104680E+00  0.448278E+02  0.619972E+01
  0.107420E+00  0.467056E+02  0.565042E+01
  0.110161E+00  0.436917E+02  0.494804E+01
  0.112901E+00  0.427417E+02  0.452559E+01
  0.115641E+00  0.367806E+02  0.418419E+01
  0.118382E+00  0.415111E+02  0.383010E+01
  0.121122E+00  0.405147E+02  0.351061E+01
  0.123862E+00  0.405758E+02  0.320897E+01
  0.126603E+00  0.417653E+02  0.298010E+01
  0.129343E+00  0.412353E+02  0.284541E+01
  0.132083E+00  0.400203E+02  0.259106E+01
  0.134823E+00  0.393789E+02  0.243722E+01
  0.137564E+00  0.371811E+02  0.225298E+01
  0.140304E+00  0.400567E+02  0.210440E+01
  0.143044E+00  0.410436E+02  0.195986E+01
  0.145785E+00  0.417056E+02  0.186126E+01
  0.148525E+00  0.439189E+02  0.179502E+01
  0.151265E+00  0.399283E+02  0.165989E+01
  0.154006E+00  0.403972E+02  0.159132E+01
  0.156746E+00  0.391844E+02  0.146870E+01
  0.159486E+00  0.383514E+02  0.143643E+01
  0.162227E+00  0.390014E+02  0.134053E+01
  0.164967E+00  0.379900E+02  0.130221E+01
  0.167707E+00  0.380447E+02  0.123216E+01
  0.170447E+00  0.396239E+02  0.117184E+01
  0.173188E+00  0.384492E+02  0.113858E+01
  0.175928E+00  0.395308E+02  0.109234E+01
  0.178668E+00  0.379697E+02  0.104108E+01
  0.181409E+00  0.399642E+02  0.996439E+00
  0.184149E+00  0.396586E+02  0.980247E+00
  0.186889E+00  0.363358E+02  0.947126E+00
  0.189630E+00  0.371592E+02  0.896454E+00
  0.192370E+00  0.368492E+02  0.860476E+00
  0.195110E+00  0.379164E+02  0.853562E+00
  0.197851E+00  0.367061E+02  0.818804E+00
  0.200591E+00  0.361711E+02  0.807644E+00
  0.203331E+00  0.371561E+02  0.753400E+00
  0.206071E+00  0.361725E+02  0.751198E+00
  0.208812E+00  0.357131E+02  0.726139E+00
  0.211552E+00  0.354675E+02  0.716278E+00
  0.214292E+00  0.348947E+02  0.691624E+00
  0.217033E+00  0.357556E+02  0.664151E+00
  0.219773E+00  0.353834E+02  0.675911E+00
  0.222513E+00  0.353084E+02  0.642537E+00
  0.225254E+00  0.354013E+02  0.632018E+00
  0.227994E+00  0.352800E+02  0.622954E+00
  0.230734E+00  0.347675E+02  0.602471E+00
  0.233475E+00  0.349252E+02  0.609545E+00
  0.236215E+00  0.343622E+02  0.570121E+00
  0.238955E+00  0.345396E+02  0.586691E+00
  0.241696E+00  0.350734E+02  0.567010E+00
  0.244436E+00  0.340268E+02  0.558304E+00
  0.247176E+00  0.332190E+02  0.558850E+00
  0.249916E+00  0.332247E+02  0.525876E+00
  0.252657E+00  0.319910E+02  0.540757E+00
  0.255397E+00  0.325420E+02  0.529145E+00
  0.258137E+00  0.321800E+02  0.517749E+00
  0.260878E+00  0.320856E+02  0.516438E+00
  0.263618E+00  0.318633E+02  0.494316E+00
  0.266358E+00  0.312544E+02  0.509600E+00
  0.269099E+00  0.316786E+02  0.495065E+00
  0.271839E+00  0.313400E+02  0.488380E+00
  0.274579E+00  0.304404E+02  0.490126E+00
  0.277320E+00  0.309886E+02  0.470346E+00
  0.280060E+00  0.300583E+02  0.486267E+00
  0.282800E+00  0.302476E+02  0.462233E+00
  0.285540E+00  0.305270E+02  0.472846E+00
  0.288281E+00  0.296889E+02  0.470437E+00
  0.291021E+00  0.292986E+02  0.451509E+00
  0.293761E+00  0.288279E+02  0.460458E+00
  0.296502E+00  0.285962E+02  0.440536E+00
  0.299242E+00  0.285314E+02  0.445725E+00
  0.301982E+00  0.287068E+02  0.442506E+00
  0.304723E+00  0.285373E+02  0.439315E+00
  0.307463E+00  0.281354E+02  0.432824E+00
  0.310203E+00  0.275130E+02  0.424205E+00
  0.312944E+00  0.276974E+02  0.424077E+00
  0.315684E+00  0.270952E+02  0.421184E+00
  0.318424E+00  0.270579E+02  0.407559E+00
  0.321164E+00  0.267889E+02  0.413239E+00
  0.323905E+00  0.264713E+02  0.411347E+00
  0.326645E+00  0.268271E+02  0.408340E+00
  0.329385E+00  0.263102E+02  0.402047E+00
  0.332126E+00  0.259214E+02  0.399580E+00
  0.334866E+00  0.262439E+02  0.405048E+00
  0.337606E+00  0.247939E+02  0.400534E+00
  0.340347E+00  0.257481E+02  0.394636E+00
  0.343087E+00  0.253684E+02  0.387156E+00
  0.345827E+00  0.253918E+02  0.395274E+00
  0.348568E+00  0.251918E+02  0.393009E+00
  0.351308E+00  0.250984E+02  0.396520E+00
  0.354048E+00  0.244754E+02  0.382545E+00
  0.356788E+00  0.247656E+02  0.384824E+00
  0.359529E+00  0.244588E+02  0.381328E+00
  0.362269E+00  0.239088E+02  0.384947E+00
  0.365009E+00  0.235579E+02  0.382714E+00
  0.367750E+00  0.234165E+02  0.372980E+00
  0.370490E+00  0.231284E+02  0.372734E+00
  0.373230E+00  0.225501E+02  0.379293E+00
  0.375971E+00  0.231605E+02  0.367881E+00
  0.378711E+00  0.229317E+02  0.372802E+00
  0.381451E+00  0.231374E+02  0.369597E+00
  0.384192E+00  0.221006E+02  0.367213E+00
  0.386932E+00  0.222674E+02  0.369557E+00
  0.389672E+00  0.215789E+02  0.356939E+00
  0.392413E+00  0.218676E+02  0.365783E+00
  0.395153E+00  0.212946E+02  0.357314E+00
  0.397893E+00  0.214604E+02  0.360836E+00
  0.400633E+00  0.211305E+02  0.350626E+00
  0.403374E+00  0.211479E+02  0.356548E+00
  0.406114E+00  0.205818E+02  0.357213E+00
  0.408854E+00  0.206737E+02  0.352323E+00
  0.411595E+00  0.202901E+02  0.347821E+00
  0.414335E+00  0.202239E+02  0.346581E+00
  0.417075E+00  0.201045E+02  0.348138E+00
  0.419816E+00  0.198984E+02  0.352804E+00
  0.422556E+00  0.193584E+02  0.337266E+00
  0.425296E+00  0.191011E+02  0.345968E+00
  0.428037E+00  0.189779E+02  0.333721E+00
  0.430777E+00  0.185767E+02  0.340847E+00
  0.433517E+00  0.192231E+02  0.339908E+00
  0.436257E+00  0.185760E+02  0.333389E+00
  0.438998E+00  0.183986E+02  0.338839E+00
  0.441738E+00  0.184911E+02  0.333701E+00
  0.444478E+00  0.183601E+02  0.334221E+00
  0.447219E+00  0.176363E+02  0.324877E+00
  0.449959E+00  0.177372E+02  0.326710E+00
  0.452699E+00  0.174324E+02  0.330285E+00
  0.455440E+00  0.175007E+02  0.323949E+00
  0.458180E+00  0.174252E+02  0.326845E+00
  0.460920E+00  0.173398E+02  0.320085E+00
  0.463661E+00  0.165366E+02  0.321871E+00
  0.466401E+00  0.170331E+02  0.324851E+00
  0.469141E+00  0.165517E+02  0.313701E+00
  0.471881E+00  0.162198E+02  0.319409E+00
  0.474622E+00  0.161603E+02  0.317931E+00
  0.477362E+00  0.161750E+02  0.318438E+00
  0.480102E+00  0.162155E+02  0.313131E+00
  0.482843E+00  0.162123E+02  0.313468E+00
  0.485583E+00  0.158297E+02  0.323552E+00
  0.488323E+00  0.154798E+02  0.313601E+00
  0.491064E+00  0.158209E+02  0.315031E+00
  0.493804E+00  0.155792E+02  0.308885E+00
  0.496544E+00  0.155150E+02  0.306263E+00
  0.499285E+00  0.145049E+02  0.309377E+00
  0.502025E+00  0.149356E+02  0.305427E+00
  0.504765E+00  0.150381E+02  0.304690E+00
  0.507505E+00  0.149200E+02  0.305507E+00
  0.510246E+00  0.148035E+02  0.307682E+00
  0.512986E+00  0.142738E+02  0.306803E+00
  0.515726E+00  0.142248E+02  0.298550E+00
  0.518467E+00  0.139318E+02  0.304261E+00
  0.521207E+00  0.142102E+02  0.301658E+00
  0.523947E+00  0.142062E+02  0.302310E+00
  0.526688E+00  0.142764E+02  0.299816E+00
  0.529428E+00  0.132992E+02  0.297905E+00
  0.532168E+00  0.135116E+02  0.297893E+00
  0.534909E+00  0.131097E+02  0.294000E+00
  0.537649E+00  0.132367E+02  0.299657E+00
  0.540389E+00  0.130698E+02  0.296312E+00
  0.543129E+00  0.131556E+02  0.293716E+00
  0.545870E+00  0.129986E+02  0.295886E+00
  0.548610E+00  0.128639E+02  0.293364E+00
  0.551350E+00  0.125000E+02  0.290543E+00
  0.554091E+00  0.128854E+02  0.291502E+00
  0.556831E+00  0.129074E+02  0.294486E+00
  0.559571E+00  0.123749E+02  0.294107E+00
  0.562312E+00  0.121415E+02  0.282916E+00
  0.565052E+00  0.120763E+02  0.286451E+00
  0.567792E+00  0.118150E+02  0.283727E+00
  0.570533E+00  0.119462E+02  0.285256E+00
  0.573273E+00  0.113698E+02  0.283459E+00
