Sample description: ThiM
Sample: primus/qt tempo  c= 5.5900 mg/ml  Code: ThiM
Parent(s): C:/Users/plmnnk/AppData/Local/Temp/qt_temp.xCs128 C:/Users/plmnnk/App
 1.820630e-001  4.359332e+001  5.238853e+000
 1.847950e-001  4.362152e+001  1.963805e+000
 1.875280e-001  4.400391e+001  1.756904e+000
 1.902600e-001  4.512793e+001  1.693772e+000
 1.929920e-001  4.380346e+001  1.621505e+000
 1.957250e-001  4.543977e+001  1.567509e+000
 1.984570e-001  4.307740e+001  1.496716e+000
 2.011890e-001  4.315755e+001  1.457098e+000
 2.039220e-001  4.236520e+001  1.399636e+000
 2.066540e-001  4.324204e+001  1.357667e+000
 2.093860e-001  4.292569e+001  1.300094e+000
 2.121190e-001  4.361598e+001  1.264617e+000
 2.148510e-001  4.274787e+001  1.235415e+000
 2.175830e-001  4.156484e+001  1.194242e+000
 2.203150e-001  4.174240e+001  1.146112e+000
 2.230480e-001  4.184699e+001  1.114221e+000
 2.257800e-001  4.143032e+001  1.079346e+000
 2.285120e-001  4.079862e+001  1.049601e+000
 2.312450e-001  4.058503e+001  1.023226e+000
 2.339770e-001  4.120102e+001  9.928920e-001
 2.367090e-001  4.111805e+001  9.729120e-001
 2.394420e-001  4.237698e+001  9.555366e-001
 2.421740e-001  4.162719e+001  9.302454e-001
 2.449060e-001  4.039036e+001  9.003487e-001
 2.476390e-001  3.921788e+001  8.900330e-001
 2.503710e-001  3.979485e+001  8.690264e-001
 2.531030e-001  3.995687e+001  8.537177e-001
 2.558350e-001  3.998231e+001  8.408578e-001
 2.585680e-001  4.078310e+001  8.287954e-001
 2.613000e-001  3.964436e+001  8.108229e-001
 2.640320e-001  3.900783e+001  7.952741e-001
 2.667650e-001  3.843153e+001  7.856538e-001
 2.694970e-001  3.837876e+001  7.770076e-001
 2.722290e-001  3.828327e+001  7.645597e-001
 2.749620e-001  3.816074e+001  7.544430e-001
 2.776940e-001  3.819609e+001  7.476070e-001
 2.804260e-001  3.747342e+001  7.411236e-001
 2.831590e-001  3.797082e+001  7.286210e-001
 2.858910e-001  3.751671e+001  7.135418e-001
 2.886230e-001  3.672449e+001  7.102591e-001
 2.913550e-001  3.713109e+001  6.978696e-001
 2.940880e-001  3.653537e+001  6.893768e-001
 2.968200e-001  3.625103e+001  6.829963e-001
 2.995520e-001  3.591554e+001  6.686179e-001
 3.022850e-001  3.561876e+001  6.607096e-001
 3.050170e-001  3.549859e+001  6.608498e-001
 3.077490e-001  3.518922e+001  6.498967e-001
 3.104820e-001  3.509639e+001  6.432935e-001
 3.132140e-001  3.600088e+001  6.399201e-001
 3.159460e-001  3.562849e+001  6.295609e-001
 3.186790e-001  3.481543e+001  6.250052e-001
 3.214110e-001  3.485098e+001  6.138847e-001
 3.241430e-001  3.520610e+001  6.166345e-001
 3.268760e-001  3.468219e+001  6.119101e-001
 3.296080e-001  3.457254e+001  6.049806e-001
 3.323400e-001  3.421338e+001  6.016605e-001
 3.350720e-001  3.346580e+001  5.939075e-001
 3.378050e-001  3.417265e+001  5.984697e-001
 3.405370e-001  3.283750e+001  5.890509e-001
 3.432690e-001  3.247083e+001  5.822880e-001
 3.460020e-001  3.254399e+001  5.833951e-001
 3.487340e-001  3.283569e+001  5.765609e-001
 3.514660e-001  3.322949e+001  5.828212e-001
 3.541990e-001  3.259654e+001  5.719896e-001
 3.569310e-001  3.290257e+001  5.716092e-001
 3.596630e-001  3.209861e+001  5.698926e-001
 3.623960e-001  3.156527e+001  5.625933e-001
 3.651280e-001  3.156741e+001  5.632956e-001
 3.678600e-001  3.172184e+001  5.584445e-001
 3.705920e-001  3.185879e+001  5.580033e-001
 3.733250e-001  3.150528e+001  5.598114e-001
 3.760570e-001  3.178814e+001  5.546302e-001
 3.787890e-001  3.136593e+001  5.514473e-001
 3.815220e-001  3.063255e+001  5.475269e-001
 3.842540e-001  3.013575e+001  5.438291e-001
 3.869860e-001  3.074553e+001  5.437316e-001
 3.897190e-001  3.033460e+001  5.397833e-001
 3.924510e-001  3.048877e+001  5.411231e-001
 3.951830e-001  3.014993e+001  5.370783e-001
 3.979160e-001  2.955408e+001  5.325794e-001
 4.006480e-001  2.940461e+001  5.348434e-001
 4.033800e-001  2.956160e+001  5.324858e-001
 4.061120e-001  2.848377e+001  5.295292e-001
 4.088450e-001  2.878523e+001  5.290080e-001
 4.115770e-001  2.869713e+001  5.231225e-001
 4.143090e-001  2.888341e+001  5.229671e-001
 4.170420e-001  2.831524e+001  5.187379e-001
 4.197740e-001  2.807001e+001  5.186992e-001
 4.225060e-001  2.810782e+001  5.187174e-001
 4.252390e-001  2.803839e+001  5.169473e-001
 4.279710e-001  2.717607e+001  5.110741e-001
 4.307030e-001  2.697777e+001  5.083368e-001
 4.334360e-001  2.725962e+001  5.094878e-001
 4.361680e-001  2.691831e+001  5.069557e-001
 4.389000e-001  2.710890e+001  5.044472e-001
 4.416320e-001  2.699015e+001  5.058400e-001
 4.443650e-001  2.674757e+001  5.028371e-001
 4.470970e-001  2.559889e+001  4.968425e-001
 4.498290e-001  2.636068e+001  4.964713e-001
 4.525620e-001  2.643678e+001  4.982631e-001
 4.552940e-001  2.576052e+001  4.965062e-001
 4.580260e-001  2.554168e+001  4.910927e-001
 4.607590e-001  2.528656e+001  4.911375e-001
 4.634910e-001  2.429198e+001  4.861911e-001
 4.662230e-001  2.395359e+001  4.867584e-001
 4.689560e-001  2.419236e+001  4.853222e-001
 4.716880e-001  2.426529e+001  4.860093e-001
 4.744200e-001  2.414144e+001  4.888204e-001
 4.771520e-001  2.428013e+001  3.246511e-001
 4.798850e-001  2.428660e+001  2.557145e-001
 4.826170e-001  2.417090e+001  2.535969e-001
 4.853490e-001  2.360827e+001  2.508322e-001
 4.880820e-001  2.357564e+001  2.513050e-001
 4.908140e-001  2.346022e+001  2.524214e-001
 4.935460e-001  2.336520e+001  2.508893e-001
 4.962790e-001  2.303477e+001  2.463300e-001
 4.990110e-001  2.289300e+001  2.495728e-001
 5.017430e-001  2.219078e+001  2.463563e-001
 5.044760e-001  2.226390e+001  2.450544e-001
 5.072080e-001  2.215989e+001  2.450848e-001
 5.099400e-001  2.224115e+001  2.438063e-001
 5.126720e-001  2.211728e+001  2.449688e-001
 5.154050e-001  2.204248e+001  2.447036e-001
 5.181370e-001  2.168243e+001  2.423636e-001
 5.208690e-001  2.187864e+001  2.460476e-001
 5.236020e-001  2.176593e+001  2.450698e-001
 5.263340e-001  2.148517e+001  2.431799e-001
 5.290660e-001  2.097416e+001  2.399304e-001
 5.317990e-001  2.101333e+001  2.412903e-001
 5.345310e-001  2.101560e+001  2.419801e-001
 5.372630e-001  2.047784e+001  2.375624e-001
 5.399960e-001  2.056640e+001  2.412639e-001
 5.427280e-001  2.009583e+001  2.351125e-001
 5.454600e-001  2.024851e+001  2.363762e-001
 5.481920e-001  2.002596e+001  2.358587e-001
 5.509250e-001  1.996561e+001  2.363909e-001
 5.536570e-001  1.956569e+001  2.347963e-001
 5.563890e-001  1.919617e+001  2.316756e-001
 5.591220e-001  1.906255e+001  2.334499e-001
 5.618540e-001  1.930250e+001  2.325806e-001
 5.645860e-001  1.886875e+001  2.298391e-001
 5.673190e-001  1.879592e+001  2.321842e-001
 5.700510e-001  1.873738e+001  2.325086e-001
 5.727830e-001  1.850774e+001  2.317125e-001
 5.755160e-001  1.833842e+001  2.284422e-001
 5.782480e-001  1.813347e+001  2.287190e-001
 5.809800e-001  1.777185e+001  2.279553e-001
 5.837130e-001  1.741588e+001  2.243422e-001
 5.864450e-001  1.776398e+001  2.280438e-001
 5.891770e-001  1.752915e+001  2.263849e-001
 5.919090e-001  1.741318e+001  2.262782e-001
 5.946420e-001  1.706381e+001  2.248550e-001
 5.973740e-001  1.698847e+001  2.231850e-001
 6.001060e-001  1.693438e+001  2.247759e-001
 6.028390e-001  1.674557e+001  2.236581e-001
 6.055710e-001  1.656075e+001  2.226415e-001
 6.083030e-001  1.617771e+001  2.221753e-001
 6.110360e-001  1.626064e+001  2.209898e-001
 6.137680e-001  1.585400e+001  2.185225e-001
 6.165000e-001  1.579419e+001  2.200134e-001
 6.192330e-001  1.554488e+001  2.187716e-001
 6.219650e-001  1.552828e+001  2.170496e-001
 6.246970e-001  1.548845e+001  2.200376e-001
 6.274290e-001  1.511781e+001  2.235022e-001
 6.301620e-001  1.514222e+001  2.184524e-001
 6.328940e-001  1.479406e+001  2.153998e-001
 6.356260e-001  1.465988e+001  2.145520e-001
 6.383590e-001  1.443171e+001  2.153232e-001
 6.410910e-001  1.469631e+001  2.163370e-001
 6.438230e-001  1.438122e+001  2.148873e-001
 6.465560e-001  1.430275e+001  2.136851e-001
 6.492880e-001  1.406798e+001  2.133680e-001
 6.520200e-001  1.383579e+001  2.130739e-001
 6.547530e-001  1.416415e+001  2.145992e-001
 6.574850e-001  1.396787e+001  2.132638e-001
 6.602170e-001  1.351253e+001  2.103904e-001
 6.629490e-001  1.337012e+001  2.094962e-001
 6.656820e-001  1.308124e+001  2.095256e-001
 6.684140e-001  1.285082e+001  2.087226e-001
 6.711460e-001  1.308205e+001  2.090081e-001
 6.738790e-001  1.289561e+001  2.097606e-001
 6.766110e-001  1.281756e+001  2.090004e-001
 6.793430e-001  1.262908e+001  2.075970e-001
 6.820760e-001  1.259239e+001  2.068021e-001
 6.848080e-001  1.224244e+001  2.059074e-001
 6.875400e-001  1.193331e+001  2.042092e-001
 6.902730e-001  1.189023e+001  2.047695e-001
 6.930050e-001  1.193819e+001  2.031195e-001
 6.957370e-001  1.195387e+001  2.051458e-001
 6.984690e-001  1.194730e+001  2.064441e-001
 7.012020e-001  1.170547e+001  2.036862e-001
 7.039340e-001  1.157300e+001  2.027603e-001
 7.066660e-001  1.131305e+001  2.012829e-001
 7.093990e-001  1.080334e+001  2.002842e-001
 7.121310e-001  1.076320e+001  2.015735e-001
 7.148630e-001  1.078829e+001  1.977420e-001
 7.175960e-001  1.062928e+001  2.002982e-001
 7.203280e-001  1.074546e+001  1.993861e-001
 7.230600e-001  1.062462e+001  1.992161e-001
 7.257930e-001  1.028236e+001  1.998809e-001
 7.285250e-001  1.011388e+001  1.991743e-001
