Sample description: N11 200mM AMS
Sample: N11 200mM AMS  c= .6000 mg/ml  Code: N11AMS
Parent(s): /tmp/qt_temp.n22813
  5.163230e-02   4.019488e+03   8.022802e+02
  5.362830e-02   3.079492e+03   5.724681e+02
  5.562430e-02   2.786572e+03   5.056465e+02
  5.762040e-02   3.556321e+03   4.401995e+02
  5.961640e-02   3.533945e+03   3.769760e+02
  6.161240e-02   3.927206e+03   3.426607e+02
  6.360840e-02   3.844149e+03   2.864449e+02
  6.560450e-02   3.894160e+03   2.657155e+02
  6.760050e-02   3.677865e+03   2.495792e+02
  6.959650e-02   3.933162e+03   2.383406e+02
  7.159250e-02   3.668577e+03   2.223397e+02
  7.358850e-02   3.161954e+03   2.076257e+02
  7.558460e-02   3.414812e+03   2.014157e+02
  7.758060e-02   3.604034e+03   1.927204e+02
  7.957660e-02   3.725851e+03   1.853774e+02
  8.157260e-02   3.602487e+03   1.745145e+02
  8.356870e-02   3.596938e+03   1.707250e+02
  8.556470e-02   3.432863e+03   1.622546e+02
  8.756070e-02   3.534962e+03   1.575991e+02
  8.955670e-02   3.614379e+03   1.522885e+02
  9.155280e-02   3.509457e+03   1.450494e+02
  9.354880e-02   3.494034e+03   1.433260e+02
  9.554480e-02   3.643574e+03   1.377771e+02
  9.754080e-02   3.567590e+03   1.326875e+02
  9.953680e-02   3.695903e+03   1.304235e+02
  1.015330e-01   3.515299e+03   1.260323e+02
  1.035290e-01   3.430788e+03   1.239388e+02
  1.055250e-01   3.464471e+03   1.199072e+02
  1.075210e-01   3.559019e+03   1.171705e+02
  1.095170e-01   3.487677e+03   1.135851e+02
  1.115130e-01   3.400490e+03   1.114305e+02
  1.135090e-01   3.480013e+03   1.097105e+02
  1.155050e-01   3.328454e+03   1.061415e+02
  1.175010e-01   3.448258e+03   1.051070e+02
  1.194970e-01   3.521190e+03   1.042861e+02
  1.214930e-01   3.284773e+03   1.004042e+02
  1.234890e-01   3.302125e+03   9.880759e+01
  1.254850e-01   3.268946e+03   9.829760e+01
  1.274810e-01   3.303351e+03   9.534048e+01
  1.294770e-01   3.301312e+03   9.550332e+01
  1.314730e-01   3.270963e+03   9.158741e+01
  1.334690e-01   3.276043e+03   9.179740e+01
  1.354650e-01   3.361560e+03   9.010343e+01
  1.374610e-01   3.274393e+03   8.915257e+01
  1.394570e-01   3.183004e+03   8.810967e+01
  1.414530e-01   3.378503e+03   8.653765e+01
  1.434490e-01   3.243873e+03   8.552908e+01
  1.454450e-01   3.241767e+03   8.461867e+01
  1.474410e-01   3.235693e+03   8.417625e+01
  1.494370e-01   3.265505e+03   8.177623e+01
  1.514330e-01   3.146687e+03   8.215552e+01
  1.534290e-01   3.324930e+03   8.095037e+01
  1.554250e-01   3.211078e+03   8.031282e+01
  1.574220e-01   3.211933e+03   7.961484e+01
  1.594180e-01   3.078743e+03   7.726443e+01
  1.614140e-01   3.189081e+03   7.777650e+01
  1.634100e-01   3.139796e+03   7.641686e+01
  1.654060e-01   3.204039e+03   7.560945e+01
  1.674020e-01   3.177425e+03   7.539142e+01
  1.693980e-01   3.031985e+03   7.371686e+01
  1.713940e-01   2.947138e+03   7.334087e+01
  1.733900e-01   3.078437e+03   7.263419e+01
  1.753860e-01   3.056540e+03   7.196775e+01
  1.773820e-01   3.088155e+03   7.137393e+01
  1.793780e-01   3.096278e+03   7.148060e+01
  1.813740e-01   3.105655e+03   7.063427e+01
  1.833700e-01   3.075437e+03   7.027331e+01
  1.853660e-01   3.084485e+03   7.145137e+01
  1.873620e-01   3.021276e+03   7.087454e+01
  1.893580e-01   2.896957e+03   7.159359e+01
  1.913540e-01   2.960429e+03   7.115314e+01
  1.933500e-01   3.065039e+03   7.119612e+01
  1.953460e-01   3.064485e+03   7.029873e+01
  1.973420e-01   2.888722e+03   7.015590e+01
  1.993380e-01   2.963534e+03   7.050137e+01
  2.013340e-01   2.825778e+03   7.013315e+01
  2.033300e-01   3.014287e+03   7.015535e+01
  2.053260e-01   3.033756e+03   7.068139e+01
  2.073220e-01   2.884863e+03   6.932489e+01
  2.093180e-01   2.917557e+03   6.875294e+01
  2.113140e-01   2.800305e+03   6.894327e+01
  2.133100e-01   2.964667e+03   6.853434e+01
  2.153060e-01   2.880716e+03   6.907157e+01
  2.173020e-01   2.721251e+03   6.930028e+01
  2.192980e-01   2.763472e+03   7.060321e+01
  2.212940e-01   2.919390e+03   7.056926e+01
  2.232900e-01   2.782105e+03   7.161839e+01
  2.252860e-01   2.743657e+03   7.100121e+01
  2.272820e-01   2.763161e+03   7.136231e+01
  2.292780e-01   2.871966e+03   7.264374e+01
  2.312740e-01   2.655640e+03   7.172414e+01
  2.332700e-01   2.683988e+03   7.154636e+01
  2.352660e-01   2.748274e+03   7.242836e+01
  2.372620e-01   2.740797e+03   7.201128e+01
  2.392580e-01   2.661883e+03   7.303305e+01
  2.412540e-01   2.723590e+03   7.173336e+01
  2.432500e-01   2.491035e+03   7.278424e+01
  2.452470e-01   2.632893e+03   7.270749e+01
  2.472430e-01   2.575963e+03   7.279873e+01
  2.492390e-01   2.668770e+03   7.296325e+01
  2.512350e-01   2.684011e+03   7.068155e+01
  2.532310e-01   2.620725e+03   7.050286e+01
  2.552270e-01   2.629369e+03   6.892543e+01
  2.572230e-01   2.614108e+03   6.851362e+01
  2.592190e-01   2.605634e+03   6.850055e+01
  2.612150e-01   2.631622e+03   6.748800e+01
  2.632110e-01   2.519150e+03   6.722201e+01
  2.652070e-01   2.454712e+03   6.660688e+01
  2.672030e-01   2.504936e+03   6.663030e+01
  2.691990e-01   2.559391e+03   6.549764e+01
  2.711950e-01   2.465733e+03   6.554824e+01
  2.731910e-01   2.463234e+03   6.563689e+01
  2.751870e-01   2.352336e+03   6.461065e+01
  2.771830e-01   2.438709e+03   6.467213e+01
  2.791790e-01   2.375392e+03   6.427320e+01
  2.811750e-01   2.401274e+03   6.398686e+01
  2.831710e-01   2.381967e+03   6.328727e+01
  2.851670e-01   2.284975e+03   6.346263e+01
  2.871630e-01   2.355180e+03   6.289099e+01
  2.891590e-01   2.334675e+03   6.284066e+01
  2.911550e-01   2.306720e+03   6.342350e+01
  2.931510e-01   2.349928e+03   6.161340e+01
  2.951470e-01   2.330613e+03   6.239261e+01
  2.971430e-01   2.285445e+03   6.141116e+01
  2.991390e-01   2.335172e+03   6.173433e+01
  3.011350e-01   2.371979e+03   6.140738e+01
  3.031310e-01   2.345876e+03   6.086445e+01
  3.051270e-01   2.318900e+03   6.095447e+01
  3.071230e-01   2.338833e+03   6.093830e+01
  3.091190e-01   2.221288e+03   6.021104e+01
  3.111150e-01   2.294436e+03   6.066376e+01
  3.131110e-01   2.235649e+03   5.960686e+01
  3.151070e-01   2.291269e+03   6.024712e+01
  3.171030e-01   2.216702e+03   5.969170e+01
  3.190990e-01   2.284202e+03   5.925767e+01
  3.210950e-01   2.200030e+03   5.918867e+01
  3.230910e-01   2.161538e+03   5.858067e+01
  3.250870e-01   2.189341e+03   5.877350e+01
  3.270830e-01   2.117557e+03   5.787187e+01
  3.290790e-01   2.158965e+03   5.817066e+01
  3.310760e-01   2.097966e+03   5.745085e+01
  3.330720e-01   2.130826e+03   5.836853e+01
  3.350680e-01   2.102831e+03   5.724302e+01
  3.370640e-01   2.005111e+03   5.714632e+01
  3.390600e-01   2.040528e+03   5.724756e+01
  3.410560e-01   1.945577e+03   5.678015e+01
  3.430520e-01   2.043850e+03   5.641522e+01
  3.450480e-01   2.092568e+03   5.705423e+01
  3.470440e-01   1.975668e+03   5.589186e+01
  3.490400e-01   1.991947e+03   5.654361e+01
  3.510360e-01   2.062995e+03   5.599558e+01
  3.530320e-01   1.908864e+03   5.541602e+01
  3.550280e-01   1.956091e+03   5.558845e+01
  3.570240e-01   2.104072e+03   5.575301e+01
  3.590200e-01   1.889307e+03   5.627141e+01
  3.610160e-01   1.878261e+03   5.521161e+01
  3.630120e-01   1.965184e+03   5.719509e+01
  3.650080e-01   1.986825e+03   5.680987e+01
  3.670040e-01   1.948967e+03   5.747742e+01
  3.690000e-01   1.997246e+03   5.790063e+01
  3.709960e-01   1.912527e+03   5.737654e+01
  3.729920e-01   1.913645e+03   5.808061e+01
  3.749880e-01   1.877230e+03   5.677416e+01
  3.769840e-01   1.893275e+03   5.631221e+01
  3.789800e-01   1.817151e+03   5.582290e+01
  3.809760e-01   1.753693e+03   5.455823e+01
  3.829720e-01   1.817651e+03   5.604619e+01
  3.849680e-01   1.752148e+03   5.517630e+01
  3.869640e-01   1.754746e+03   5.426545e+01
  3.889600e-01   1.868918e+03   5.415464e+01
  3.909560e-01   1.699394e+03   5.410995e+01
  3.929520e-01   1.915990e+03   5.488251e+01
  3.949480e-01   1.746309e+03   5.338319e+01
  3.969440e-01   1.748565e+03   5.374686e+01
  3.989400e-01   1.729894e+03   5.314883e+01
  4.009360e-01   1.714119e+03   5.314036e+01
  4.029320e-01   1.736530e+03   5.279015e+01
  4.049280e-01   1.658916e+03   5.208000e+01
  4.069240e-01   1.649303e+03   5.242492e+01
  4.089200e-01   1.747990e+03   5.199259e+01
  4.109160e-01   1.689129e+03   5.173587e+01
  4.129120e-01   1.662521e+03   5.127550e+01
  4.149080e-01   1.661930e+03   5.155154e+01
  4.169040e-01   1.650999e+03   5.139749e+01
  4.189010e-01   1.609080e+03   5.075835e+01
  4.208970e-01   1.627960e+03   5.069494e+01
  4.228930e-01   1.638035e+03   5.038735e+01
  4.248890e-01   1.546682e+03   5.054100e+01
  4.268850e-01   1.558873e+03   4.987379e+01
  4.288810e-01   1.689756e+03   4.979907e+01
  4.308770e-01   1.586158e+03   4.957594e+01
  4.328730e-01   1.511189e+03   4.911188e+01
  4.348690e-01   1.454692e+03   4.960932e+01
  4.368650e-01   1.598122e+03   4.907538e+01
  4.388610e-01   1.582942e+03   4.903342e+01
  4.408570e-01   1.484749e+03   4.928944e+01
  4.428530e-01   1.460860e+03   4.860811e+01
  4.448490e-01   1.453210e+03   4.911567e+01
  4.468450e-01   1.485666e+03   4.861799e+01
  4.488410e-01   1.400616e+03   4.869930e+01
  4.508370e-01   1.411042e+03   4.859862e+01
  4.528330e-01   1.485349e+03   4.825685e+01
  4.548290e-01   1.488329e+03   4.860871e+01
  4.568250e-01   1.521247e+03   4.845674e+01
  4.588210e-01   1.469986e+03   4.824225e+01
  4.608170e-01   1.353814e+03   4.823953e+01
  4.628130e-01   1.355417e+03   4.733174e+01
  4.648090e-01   1.351462e+03   4.814942e+01
  4.668050e-01   1.289657e+03   4.719289e+01
  4.688010e-01   1.359026e+03   4.797493e+01
  4.707970e-01   1.329655e+03   4.727875e+01
  4.727930e-01   1.449162e+03   4.762193e+01
  4.747890e-01   1.428863e+03   4.760538e+01
  4.767850e-01   1.379396e+03   4.697250e+01
  4.787810e-01   1.340845e+03   4.701061e+01
  4.807770e-01   1.345900e+03   4.659708e+01
  4.827730e-01   1.391701e+03   4.713104e+01
  4.847690e-01   1.339275e+03   4.687954e+01
  4.867650e-01   1.333459e+03   4.634243e+01
  4.887610e-01   1.311004e+03   4.654412e+01
  4.907570e-01   1.358698e+03   4.609790e+01
  4.927530e-01   1.301001e+03   4.651485e+01
  4.947490e-01   1.252397e+03   4.593554e+01
  4.967450e-01   1.282763e+03   4.586156e+01
  4.987410e-01   1.289496e+03   4.608771e+01
  5.007370e-01   1.274282e+03   4.590006e+01
  5.027330e-01   1.260068e+03   4.573131e+01
  5.047290e-01   1.217649e+03   4.506920e+01
  5.067260e-01   1.236546e+03   4.522803e+01
  5.087220e-01   1.243491e+03   4.548892e+01
  5.107180e-01   1.136028e+03   4.470583e+01
  5.127140e-01   1.164608e+03   4.522165e+01
  5.147100e-01   1.213968e+03   4.452715e+01
  5.167060e-01   1.161402e+03   4.469274e+01
  5.187020e-01   1.186142e+03   4.521540e+01
  5.206980e-01   1.181296e+03   4.428909e+01
  5.226940e-01   1.205427e+03   4.477669e+01
  5.246900e-01   1.229801e+03   4.439456e+01
  5.266860e-01   1.162356e+03   4.444698e+01
  5.286820e-01   1.192320e+03   4.433725e+01
  5.306780e-01   1.077227e+03   4.385074e+01
  5.326740e-01   1.105870e+03   4.420453e+01
  5.346700e-01   1.111541e+03   4.379828e+01
  5.366660e-01   1.171879e+03   4.427943e+01
  5.386620e-01   1.151724e+03   4.375013e+01
  5.406580e-01   1.110805e+03   4.371150e+01
  5.426540e-01   9.991037e+02   4.348384e+01
  5.446500e-01   1.096132e+03   4.344358e+01
  5.466460e-01   1.162949e+03   4.391451e+01
  5.486420e-01   1.052749e+03   4.300015e+01
  5.506380e-01   1.110912e+03   4.336427e+01
  5.526340e-01   1.065402e+03   4.297772e+01
  5.546300e-01   1.108030e+03   4.290074e+01
  5.566260e-01   1.092809e+03   4.312511e+01
  5.586220e-01   1.037391e+03   4.252844e+01
  5.606180e-01   1.029876e+03   4.308718e+01
  5.626140e-01   1.033670e+03   4.294294e+01
  5.646100e-01   1.053240e+03   4.249968e+01
  5.666060e-01   1.035928e+03   4.250046e+01
  5.686020e-01   1.051885e+03   4.251028e+01
  5.705980e-01   9.856952e+02   4.267226e+01
  5.725940e-01   1.003913e+03   4.208233e+01
  5.745900e-01   9.088411e+02   4.198220e+01
  5.765860e-01   1.035168e+03   4.205114e+01
  5.785820e-01   1.002248e+03   4.200149e+01
  5.805780e-01   1.006769e+03   4.206542e+01
  5.825740e-01   1.052041e+03   4.194681e+01
  5.845700e-01   9.167485e+02   4.153633e+01
  5.865660e-01   9.464836e+02   4.167073e+01
  5.885620e-01   8.405268e+02   4.137451e+01
  5.905580e-01   9.580954e+02   4.143574e+01
  5.925550e-01   9.857763e+02   4.138687e+01
  5.945510e-01   8.224743e+02   4.145373e+01
  5.965470e-01   9.342944e+02   4.129248e+01
  5.985430e-01   9.239219e+02   4.111383e+01
  6.005390e-01   9.009154e+02   4.102580e+01
  6.025350e-01   9.272636e+02   4.104585e+01
  6.045310e-01   8.770945e+02   4.105270e+01
  6.065270e-01   9.066799e+02   4.060907e+01
  6.085230e-01   8.606553e+02   4.098797e+01
  6.105190e-01   8.921367e+02   4.081249e+01
  6.125150e-01   8.775745e+02   4.070753e+01
  6.145110e-01   8.613743e+02   4.040021e+01
  6.165070e-01   8.838639e+02   4.037773e+01
  6.185030e-01   8.994703e+02   4.056849e+01
  6.204990e-01   8.766382e+02   4.032646e+01
  6.224950e-01   8.487525e+02   4.023079e+01
  6.244910e-01   8.934139e+02   4.084578e+01
  6.264870e-01   8.261245e+02   4.119586e+01
  6.284830e-01   8.392712e+02   4.202652e+01
  6.304790e-01   8.425477e+02   4.173248e+01
  6.324750e-01   8.096677e+02   4.200149e+01
  6.344710e-01   7.580596e+02   4.207253e+01
  6.364670e-01   7.042632e+02   4.230725e+01
  6.384630e-01   8.525540e+02   4.259606e+01
  6.404590e-01   8.096951e+02   4.190075e+01
  6.424550e-01   8.891782e+02   4.303827e+01
  6.444510e-01   7.834980e+02   4.268039e+01
