Sample description: DAPK2o6768
Sample: DAPK2o6768  c= 2.0000 mg/ml  Code: DAPKB
Parent(s): processed/subtracted/DAPKB_0036_sub.dat
  2.754300e-02  -1.746200e+03   9.862020e+02
  3.017410e-02  -3.456150e+02   5.544935e+02
  3.280520e-02   6.088500e+02   4.158141e+02
  3.543630e-02  -1.884500e+01   3.210226e+02
  3.806740e-02   2.613300e+02   2.756832e+02
  4.069850e-02   5.547400e+02   2.371712e+02
  4.332960e-02   7.211100e+02   1.881270e+02
  4.596080e-02   2.802350e+02   1.697901e+02
  4.859190e-02   7.479500e+02   1.397308e+02
  5.122300e-02   4.551700e+02   1.216090e+02
  5.385410e-02   7.133625e+02   1.105402e+02
  5.648520e-02   6.945035e+02   9.490210e+01
  5.911630e-02   5.977160e+02   8.683010e+01
  6.174740e-02   5.270895e+02   7.767215e+01
  6.437850e-02   6.139285e+02   7.167375e+01
  6.700960e-02   6.087685e+02   6.663880e+01
  6.964070e-02   7.000870e+02   6.084340e+01
  7.227180e-02   5.469485e+02   5.765490e+01
  7.490290e-02   6.137285e+02   5.221395e+01
  7.753400e-02   6.092220e+02   5.129605e+01
  8.016510e-02   6.618955e+02   4.763976e+01
  8.279630e-02   6.519360e+02   4.527274e+01
  8.542740e-02   5.976120e+02   4.433382e+01
  8.805850e-02   5.708380e+02   4.002584e+01
  9.068960e-02   5.958370e+02   4.030282e+01
  9.332070e-02   5.436930e+02   3.788970e+01
  9.595180e-02   6.511120e+02   3.724672e+01
  9.858290e-02   5.671105e+02   3.598528e+01
  1.012140e-01   5.689025e+02   3.391378e+01
  1.038450e-01   6.041405e+02   3.470365e+01
  1.064760e-01   5.735060e+02   3.293294e+01
  1.091070e-01   5.965805e+02   3.157553e+01
  1.117380e-01   5.613170e+02   3.146383e+01
  1.143700e-01   5.817805e+02   3.004052e+01
  1.170010e-01   5.654745e+02   3.046057e+01
  1.196320e-01   6.036960e+02   2.938745e+01
  1.222630e-01   6.142430e+02   2.917244e+01
  1.248940e-01   6.022955e+02   2.839168e+01
  1.275250e-01   5.628185e+02   2.733038e+01
  1.301560e-01   5.658885e+02   2.781699e+01
  1.327870e-01   6.043555e+02   2.674443e+01
  1.354180e-01   6.050450e+02   2.685717e+01
  1.380500e-01   5.742430e+02   2.626596e+01
