Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 4.6667 mg/ml  Code: tmp
Parent(s): C:/Users/PC-BIO3/AppData/Local/Temp/qt_temp.Hp2824 C:/Users/PC-BIO3/A
 3.642830e-002  3.906371e+001  1.520601e+000
 4.110700e-002  3.908530e+001  5.499010e-001
 4.578570e-002  3.921712e+001  3.650181e-001
 5.046430e-002  3.937493e+001  2.692478e-001
 5.514300e-002  3.945162e+001  2.240823e-001
 5.982170e-002  3.947523e+001  7.847774e-001
 6.450040e-002  3.938633e+001  3.044418e-001
 6.917910e-002  3.918965e+001  2.655836e-001
 7.385780e-002  3.894722e+001  2.440460e-001
 7.853650e-002  3.892229e+001  2.256161e-001
 8.321520e-002  3.875091e+001  2.115386e-001
 8.789390e-002  3.869814e+001  2.003790e-001
 9.257260e-002  3.870933e+001  1.911928e-001
 9.725130e-002  3.859981e+001  1.828753e-001
 1.019300e-001  3.849381e+001  1.759089e-001
 1.066090e-001  3.831068e+001  1.699795e-001
 1.112870e-001  3.820155e+001  1.648270e-001
 1.159660e-001  3.795637e+001  1.596024e-001
 1.206450e-001  3.786442e+001  1.555023e-001
 1.253230e-001  3.779676e+001  1.515983e-001
 1.300020e-001  3.781131e+001  1.478975e-001
 1.346810e-001  3.755045e+001  1.441377e-001
 1.393590e-001  3.750963e+001  1.411890e-001
 1.440380e-001  3.733635e+001  1.383616e-001
 1.487170e-001  3.712289e+001  1.356263e-001
 1.533960e-001  3.691784e+001  1.328429e-001
 1.580740e-001  3.682718e+001  1.302226e-001
 1.627530e-001  3.670126e+001  1.279020e-001
 1.674320e-001  3.643140e+001  1.254766e-001
 1.721100e-001  3.641518e+001  1.235063e-001
 1.767890e-001  3.637123e+001  1.214164e-001
 1.814680e-001  3.624723e+001  1.195362e-001
 1.861460e-001  3.592342e+001  1.175431e-001
 1.908250e-001  3.570828e+001  1.157380e-001
 1.955040e-001  3.561828e+001  1.140209e-001
 2.001830e-001  3.554490e+001  1.123901e-001
 2.048610e-001  3.546573e+001  1.109887e-001
 2.095400e-001  3.518722e+001  1.094049e-001
 2.142190e-001  3.503599e+001  1.079220e-001
 2.188970e-001  3.489819e+001  1.064295e-001
 2.235760e-001  3.468076e+001  1.049598e-001
 2.282550e-001  3.436374e+001  1.035920e-001
 2.329330e-001  3.419621e+001  1.024309e-001
 2.376120e-001  3.407698e+001  1.010946e-001
 2.422910e-001  3.392945e+001  9.985161e-002
 2.469690e-001  3.372488e+001  9.859706e-002
 2.516480e-001  3.351703e+001  9.745596e-002
 2.563270e-001  3.335692e+001  9.634787e-002
 2.610060e-001  3.314245e+001  9.531062e-002
 2.656840e-001  3.291191e+001  9.419987e-002
 2.703630e-001  3.275283e+001  9.326661e-002
 2.750410e-001  3.256398e+001  9.218325e-002
 2.797200e-001  3.242244e+001  9.113678e-002
 2.843990e-001  3.218552e+001  9.016992e-002
 2.890780e-001  3.198503e+001  8.928594e-002
 2.937560e-001  3.175170e+001  8.829737e-002
 2.984350e-001  3.156531e+001  8.733976e-002
 3.031140e-001  3.141951e+001  8.710569e-002
 3.077920e-001  3.122874e+001  8.787884e-002
 3.124710e-001  3.095147e+001  8.822393e-002
 3.171500e-001  3.063434e+001  8.821705e-002
 3.218280e-001  3.044825e+001  8.803767e-002
 3.265070e-001  3.027775e+001  8.796445e-002
 3.311860e-001  3.012321e+001  8.780983e-002
 3.358650e-001  2.980610e+001  8.731532e-002
 3.405430e-001  2.956666e+001  8.686595e-002
 3.452220e-001  2.938785e+001  8.651700e-002
 3.499010e-001  2.919464e+001  8.622159e-002
 3.545790e-001  2.895013e+001  8.588562e-002
 3.592580e-001  2.880360e+001  8.561049e-002
 3.639370e-001  2.860939e+001  8.582417e-002
 3.686150e-001  2.842564e+001  8.724886e-002
 3.732940e-001  2.824916e+001  8.821400e-002
 3.779730e-001  2.808423e+001  8.893073e-002
 3.826510e-001  2.771879e+001  8.930359e-002
 3.873300e-001  2.740677e+001  8.949321e-002
 3.920090e-001  2.720643e+001  8.973140e-002
 3.966880e-001  2.697643e+001  8.976360e-002
 4.013660e-001  2.675912e+001  8.980007e-002
 4.060450e-001  2.650875e+001  8.981635e-002
 4.107240e-001  2.633171e+001  8.991388e-002
 4.154020e-001  2.611138e+001  8.985281e-002
 4.200810e-001  2.587678e+001  8.967117e-002
 4.247600e-001  2.564849e+001  8.965735e-002
 4.294380e-001  2.537978e+001  8.983007e-002
 4.341170e-001  2.520102e+001  9.037455e-002
 4.387960e-001  2.516917e+001  9.279864e-002
 4.434740e-001  2.485748e+001  9.500649e-002
 4.481530e-001  2.458833e+001  9.676536e-002
 4.528320e-001  2.441106e+001  9.821035e-002
 4.575100e-001  2.417252e+001  9.940996e-002
 4.621890e-001  2.390118e+001  1.002546e-001
 4.668680e-001  2.370149e+001  1.009703e-001
 4.715470e-001  2.359630e+001  1.019138e-001
 4.762250e-001  2.340575e+001  1.026940e-001
 4.809040e-001  2.325776e+001  1.034530e-001
 4.855830e-001  2.288669e+001  1.039066e-001
 4.902610e-001  2.256374e+001  1.042899e-001
 4.949400e-001  2.237214e+001  1.049931e-001
 4.996190e-001  2.223175e+001  1.049130e-001
 5.042970e-001  2.221420e+001  1.016662e-001
 5.089760e-001  2.199044e+001  9.898880e-002
 5.136550e-001  2.170875e+001  9.696044e-002
 5.183340e-001  2.149248e+001  9.547604e-002
 5.230120e-001  2.127727e+001  9.430551e-002
 5.276910e-001  2.097586e+001  9.330290e-002
 5.323700e-001  2.068571e+001  9.232251e-002
 5.370480e-001  2.047961e+001  9.155159e-002
 5.417270e-001  2.028732e+001  9.072023e-002
 5.464060e-001  2.007970e+001  9.019321e-002
 5.510840e-001  1.984434e+001  8.936893e-002
 5.557630e-001  1.964574e+001  8.883959e-002
 5.604420e-001  1.947816e+001  8.819100e-002
 5.651200e-001  1.924347e+001  8.753415e-002
 5.697990e-001  1.898339e+001  8.665084e-002
 5.744780e-001  1.878959e+001  8.601781e-002
 5.791560e-001  1.856590e+001  8.513262e-002
 5.838350e-001  1.836536e+001  8.434571e-002
 5.885140e-001  1.812472e+001  8.345713e-002
 5.931930e-001  1.798160e+001  8.274053e-002
 5.978710e-001  1.779288e+001  8.209105e-002
 6.025500e-001  1.764502e+001  8.145981e-002
 6.072290e-001  1.739744e+001  8.065107e-002
 6.119070e-001  1.722612e+001  8.001122e-002
 6.165860e-001  1.705485e+001  7.944038e-002
 6.212650e-001  1.676837e+001  7.870826e-002
 6.259430e-001  1.660738e+001  7.834814e-002
 6.306220e-001  1.642288e+001  7.799722e-002
 6.353010e-001  1.627810e+001  7.761910e-002
 6.399790e-001  1.618837e+001  7.733736e-002
 6.446580e-001  1.593714e+001  7.687871e-002
 6.493370e-001  1.574917e+001  7.649729e-002
 6.540150e-001  1.555870e+001  7.619086e-002
 6.586940e-001  1.535382e+001  7.579343e-002
 6.633730e-001  1.516529e+001  7.530831e-002
 6.680520e-001  1.508152e+001  7.509079e-002
 6.727300e-001  1.493652e+001  7.471773e-002
 6.774090e-001  1.464467e+001  7.430092e-002
 6.820880e-001  1.444341e+001  7.395081e-002
 6.867660e-001  1.440183e+001  7.378757e-002
 6.914450e-001  1.419439e+001  7.335046e-002
 6.961240e-001  1.396799e+001  7.296944e-002
 7.008020e-001  1.380644e+001  7.256121e-002
 7.054810e-001  1.371743e+001  7.231515e-002
 7.101600e-001  1.351555e+001  7.194087e-002
 7.148390e-001  1.331089e+001  7.160246e-002
 7.195170e-001  1.316583e+001  7.132857e-002
 7.241960e-001  1.306521e+001  7.107769e-002
 7.288750e-001  1.291729e+001  7.080055e-002
 7.335530e-001  1.280630e+001  7.053209e-002
 7.382320e-001  1.262230e+001  7.010840e-002
 7.429110e-001  1.250871e+001  6.988050e-002
 7.475890e-001  1.239316e+001  6.959877e-002
 7.522680e-001  1.219102e+001  6.925883e-002
 7.569470e-001  1.192914e+001  6.889418e-002
 7.616250e-001  1.183196e+001  6.849264e-002
 7.663040e-001  1.175066e+001  6.827688e-002
 7.709830e-001  1.155437e+001  6.803730e-002
 7.756620e-001  1.138540e+001  6.773961e-002
 7.803400e-001  1.126535e+001  6.738003e-002
 7.850190e-001  1.111433e+001  6.701707e-002
 7.896980e-001  1.093545e+001  6.674725e-002
 7.943760e-001  1.082212e+001  6.647469e-002
 7.990550e-001  1.071030e+001  6.620222e-002
 8.037340e-001  1.057534e+001  6.594067e-002
 8.084120e-001  1.043108e+001  6.559284e-002
 8.130910e-001  1.023132e+001  6.533166e-002
 8.177700e-001  1.008143e+001  6.502869e-002
