Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 6.0000 mg/ml  Code: tmp
Parent(s): C:/Users/PC-BIO3/AppData/Local/Temp/qt_temp.Hp3196 C:/Users/PC-BIO3/A
 3.642830e-002  4.907490e+001  2.832613e+000
 4.110700e-002  4.908659e+001  1.020263e+000
 4.578570e-002  4.905413e+001  6.511207e-001
 5.046430e-002  4.842239e+001  4.961714e-001
 5.514300e-002  4.790753e+001  4.180246e-001
 5.982170e-002  4.841840e+001  3.711181e-001
 6.450040e-002  4.840522e+001  3.405915e-001
 6.917910e-002  4.861958e+001  3.167563e-001
 7.385780e-002  4.805681e+001  2.951858e-001
 7.853650e-002  4.790164e+001  2.770641e-001
 8.321520e-002  4.788797e+001  2.631512e-001
 8.789390e-002  4.785949e+001  2.518409e-001
 9.257260e-002  4.765486e+001  2.416946e-001
 9.725130e-002  4.745683e+001  2.325568e-001
 1.019300e-001  4.734619e+001  2.248354e-001
 1.066090e-001  4.737620e+001  2.184294e-001
 1.112870e-001  4.735883e+001  2.126043e-001
 1.159660e-001  4.707060e+001  2.063415e-001
 1.206450e-001  4.707081e+001  2.013471e-001
 1.253230e-001  4.715857e+001  1.969051e-001
 1.300020e-001  4.708747e+001  1.927226e-001
 1.346810e-001  4.676956e+001  1.883000e-001
 1.393590e-001  4.659185e+001  1.844007e-001
 1.440380e-001  4.650546e+001  1.809279e-001
 1.487170e-001  4.610494e+001  1.772310e-001
 1.533960e-001  4.600868e+001  1.738711e-001
 1.580740e-001  4.601170e+001  1.706923e-001
 1.627530e-001  4.583172e+001  1.676740e-001
 1.674320e-001  4.556173e+001  1.647420e-001
 1.721100e-001  4.533102e+001  1.619944e-001
 1.767890e-001  4.515600e+001  1.592469e-001
 1.814680e-001  4.496295e+001  1.567278e-001
 1.861460e-001  4.477584e+001  1.542611e-001
 1.908250e-001  4.470896e+001  1.521206e-001
 1.955040e-001  4.450489e+001  1.498291e-001
 2.001830e-001  4.415684e+001  1.474519e-001
 2.048610e-001  4.406024e+001  1.456582e-001
 2.095400e-001  4.397488e+001  1.439358e-001
 2.142190e-001  4.348627e+001  1.416715e-001
 2.188970e-001  4.307396e+001  1.393722e-001
