Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: Lytawt
Parent(s): lytawt_zc_new.dat
 1.765040e-001  6.019024e+001  6.984050e-001
 1.792400e-001  6.147766e+001  6.144870e-001
 1.819750e-001  6.204329e+001  6.098650e-001
 1.847100e-001  6.207439e+001  5.837510e-001
 1.874450e-001  5.946507e+001  5.740560e-001
 1.901800e-001  6.060455e+001  5.507390e-001
 1.929150e-001  5.726894e+001  5.418200e-001
 1.956500e-001  5.279682e+001  5.392480e-001
 1.983850e-001  5.636134e+001  5.169970e-001
 2.011200e-001  5.422831e+001  5.044550e-001
 2.038550e-001  5.610990e+001  4.974420e-001
 2.065900e-001  5.447464e+001  4.811410e-001
 2.093250e-001  5.364222e+001  4.849740e-001
 2.120610e-001  5.377317e+001  4.667070e-001
 2.147960e-001  5.635956e+001  4.608160e-001
 2.175310e-001  5.339934e+001  4.509500e-001
 2.202660e-001  5.364149e+001  4.461440e-001
 2.230010e-001  5.433735e+001  4.347610e-001
 2.257360e-001  5.207432e+001  4.271880e-001
 2.284710e-001  5.202315e+001  4.266380e-001
 2.312060e-001  5.172733e+001  4.157350e-001
 2.339410e-001  4.958578e+001  4.150410e-001
 2.366760e-001  5.110686e+001  4.005990e-001
 2.394110e-001  5.142988e+001  4.039890e-001
 2.421460e-001  4.963280e+001  3.974620e-001
 2.448820e-001  4.986434e+001  3.881580e-001
 2.476170e-001  4.765874e+001  3.879340e-001
 2.503520e-001  4.690140e+001  3.806270e-001
 2.530870e-001  4.675931e+001  3.818740e-001
 2.558220e-001  4.633320e+001  3.729240e-001
 2.585570e-001  4.528367e+001  3.664580e-001
 2.612920e-001  4.723051e+001  3.678920e-001
 2.640270e-001  4.588491e+001  3.584370e-001
 2.667620e-001  4.385391e+001  3.591950e-001
 2.694970e-001  4.461994e+001  3.496930e-001
 2.722320e-001  4.505332e+001  3.466570e-001
 2.749680e-001  4.264931e+001  3.464040e-001
 2.777030e-001  4.193247e+001  3.415020e-001
 2.804380e-001  4.250503e+001  3.430570e-001
 2.831730e-001  4.213079e+001  3.266300e-001
 2.859080e-001  4.253667e+001  3.286480e-001
 2.886430e-001  4.270726e+001  3.269580e-001
 2.913780e-001  4.117131e+001  3.160560e-001
 2.941130e-001  3.855168e+001  3.176150e-001
 2.968480e-001  4.063522e+001  3.099130e-001
 2.995830e-001  4.025253e+001  3.151650e-001
 3.023180e-001  4.081007e+001  3.105410e-001
 3.050530e-001  3.747532e+001  3.034780e-001
 3.077890e-001  3.737376e+001  3.056090e-001
 3.105240e-001  3.780949e+001  2.961630e-001
 3.132590e-001  3.591604e+001  3.005780e-001
 3.159940e-001  3.685787e+001  2.923220e-001
 3.187290e-001  3.501808e+001  2.894540e-001
 3.214640e-001  3.584832e+001  2.945390e-001
 3.241990e-001  3.534956e+001  2.825110e-001
 3.269340e-001  3.393157e+001  2.857360e-001
 3.296690e-001  3.291925e+001  2.801650e-001
 3.324040e-001  3.230975e+001  2.742300e-001
 3.351390e-001  3.339480e+001  2.791740e-001
 3.378750e-001  3.310726e+001  2.730170e-001
 3.406100e-001  3.342080e+001  2.693170e-001
 3.433450e-001  3.195089e+001  2.692730e-001
 3.460800e-001  3.055086e+001  2.661610e-001
 3.488150e-001  3.069040e+001  2.655250e-001
 3.515500e-001  3.126660e+001  2.596810e-001
 3.542850e-001  3.114050e+001  2.595400e-001
 3.570200e-001  2.922199e+001  2.573660e-001
 3.597550e-001  3.033216e+001  2.549330e-001
 3.624900e-001  2.913577e+001  2.504300e-001
 3.652250e-001  2.951787e+001  2.495350e-001
 3.679600e-001  2.765112e+001  2.493190e-001
 3.706960e-001  2.744409e+001  2.458960e-001
 3.734310e-001  2.782551e+001  2.424590e-001
 3.761660e-001  2.757819e+001  2.370400e-001
 3.789010e-001  2.764660e+001  2.414960e-001
 3.816360e-001  2.744863e+001  2.358750e-001
 3.843710e-001  2.684460e+001  2.387820e-001
 3.871060e-001  2.615120e+001  2.317960e-001
 3.898410e-001  2.577450e+001  2.292670e-001
 3.925760e-001  2.550710e+001  2.324040e-001
 3.953110e-001  2.532620e+001  2.272100e-001
 3.980460e-001  2.490080e+001  2.265370e-001
 4.007810e-001  2.457370e+001  2.253320e-001
 4.035170e-001  2.446740e+001  2.214650e-001
 4.062520e-001  2.397070e+001  2.260640e-001
 4.089870e-001  2.348760e+001  2.156690e-001
 4.117220e-001  2.357690e+001  2.180300e-001
 4.144570e-001  2.312730e+001  2.165440e-001
 4.171920e-001  2.305980e+001  2.146680e-001
 4.199270e-001  2.238580e+001  2.143750e-001
 4.226620e-001  2.235390e+001  2.097780e-001
 4.253970e-001  2.178290e+001  2.098350e-001
 4.281320e-001  2.173910e+001  2.091350e-001
 4.308670e-001  2.157180e+001  2.059650e-001
 4.336030e-001  2.096320e+001  2.054660e-001
 4.363380e-001  2.068610e+001  2.022540e-001
 4.390730e-001  2.073380e+001  2.059890e-001
 4.418080e-001  2.003410e+001  1.986010e-001
 4.445430e-001  1.987190e+001  1.966210e-001
 4.472780e-001  1.985060e+001  2.011170e-001
 4.500130e-001  1.946690e+001  1.941550e-001
