Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: LytAPhA
Parent(s): phage_zc.dat
 1.354780e-001  8.170089e+001  1.182750e+000
 1.382130e-001  7.705411e+001  1.074120e+000
 1.409480e-001  8.124546e+001  1.042350e+000
 1.436830e-001  7.999627e+001  9.893380e-001
 1.464180e-001  7.694596e+001  9.199710e-001
 1.491540e-001  7.591099e+001  9.276520e-001
 1.518890e-001  7.428453e+001  8.506300e-001
 1.546240e-001  7.593536e+001  8.076130e-001
 1.573590e-001  7.396724e+001  7.809250e-001
 1.600940e-001  7.547490e+001  7.465710e-001
 1.628290e-001  7.243906e+001  7.490860e-001
 1.655640e-001  7.191794e+001  6.830110e-001
 1.682990e-001  7.260074e+001  6.683840e-001
 1.710340e-001  6.690355e+001  6.422120e-001
 1.737690e-001  6.978287e+001  6.089730e-001
 1.765040e-001  6.772140e+001  5.555430e-001
 1.792400e-001  6.689735e+001  5.083000e-001
 1.819750e-001  6.546041e+001  5.037510e-001
 1.847100e-001  6.694766e+001  4.846310e-001
 1.874450e-001  6.484822e+001  4.787590e-001
 1.901800e-001  6.584826e+001  4.605590e-001
 1.929150e-001  6.387581e+001  4.530170e-001
 1.956500e-001  6.305417e+001  4.502600e-001
 1.983850e-001  6.334639e+001  4.358730e-001
 2.011200e-001  6.067481e+001  4.265940e-001
 2.038550e-001  6.033721e+001  4.195100e-001
 2.065900e-001  6.040682e+001  4.102250e-001
 2.093250e-001  5.903553e+001  4.057720e-001
 2.120610e-001  5.841225e+001  3.950020e-001
 2.147960e-001  5.757845e+001  3.886320e-001
 2.175310e-001  5.643652e+001  3.825590e-001
 2.202660e-001  5.680077e+001  3.764930e-001
 2.230010e-001  5.545660e+001  3.672120e-001
 2.257360e-001  5.479982e+001  3.616690e-001
 2.284710e-001  5.453321e+001  3.577680e-001
 2.312060e-001  5.495784e+001  3.498410e-001
 2.339410e-001  5.329473e+001  3.483030e-001
 2.366760e-001  5.301608e+001  3.389620e-001
 2.394110e-001  5.277349e+001  3.381820e-001
 2.421460e-001  5.323652e+001  3.335860e-001
 2.448820e-001  5.168603e+001  3.244850e-001
 2.476170e-001  5.055172e+001  3.232720e-001
 2.503520e-001  4.958802e+001  3.176010e-001
 2.530870e-001  4.934317e+001  3.173550e-001
 2.558220e-001  4.774291e+001  3.100000e-001
 2.585570e-001  4.817328e+001  3.034670e-001
 2.612920e-001  4.732003e+001  3.034080e-001
 2.640270e-001  4.716375e+001  2.980210e-001
 2.667620e-001  4.588913e+001  2.945160e-001
 2.694970e-001  4.561115e+001  2.877810e-001
 2.722320e-001  4.569429e+001  2.842890e-001
 2.749680e-001  4.427481e+001  2.837830e-001
 2.777030e-001  4.421883e+001  2.787160e-001
 2.804380e-001  4.424582e+001  2.762470e-001
 2.831730e-001  4.272275e+001  2.666600e-001
 2.859080e-001  4.295133e+001  2.669430e-001
 2.886430e-001  4.217519e+001  2.643290e-001
 2.913780e-001  4.158515e+001  2.562080e-001
 2.941130e-001  4.041037e+001  2.565540e-001
 2.968480e-001  4.074117e+001  2.487680e-001
 2.995830e-001  4.055725e+001  2.494270e-001
 3.023180e-001  3.844866e+001  2.460700e-001
 3.050530e-001  3.859341e+001  2.418800e-001
 3.077890e-001  3.831589e+001  2.405420e-001
 3.105240e-001  3.702529e+001  2.350720e-001
 3.132590e-001  3.696571e+001  2.353970e-001
 3.159940e-001  3.666218e+001  2.298130e-001
 3.187290e-001  3.580270e+001  2.266740e-001
 3.214640e-001  3.501544e+001  2.285200e-001
 3.241990e-001  3.523266e+001  2.213260e-001
 3.269340e-001  3.396240e+001  2.209550e-001
 3.296690e-001  3.416566e+001  2.168990e-001
 3.324040e-001  3.325975e+001  2.133260e-001
 3.351390e-001  3.354310e+001  2.152380e-001
 3.378750e-001  3.276739e+001  2.108980e-001
 3.406100e-001  3.276767e+001  2.055890e-001
 3.433450e-001  3.162811e+001  2.055360e-001
 3.460800e-001  3.101754e+001  2.025740e-001
 3.488150e-001  3.133883e+001  2.004080e-001
 3.515500e-001  3.097970e+001  1.969600e-001
 3.542850e-001  3.023752e+001  1.960130e-001
 3.570200e-001  2.991481e+001  1.936410e-001
 3.597550e-001  2.968219e+001  1.913520e-001
 3.624900e-001  2.889370e+001  1.880120e-001
 3.652250e-001  2.924505e+001  1.876420e-001
 3.679600e-001  2.854892e+001  1.869720e-001
 3.706960e-001  2.733487e+001  1.843210e-001
 3.734310e-001  2.756052e+001  1.819850e-001
 3.761660e-001  2.649214e+001  1.776440e-001
 3.789010e-001  2.758442e+001  1.796650e-001
 3.816360e-001  2.680045e+001  1.749760e-001
 3.843710e-001  2.690853e+001  1.754060e-001
 3.871060e-001  2.534886e+001  1.723010e-001
 3.898410e-001  2.502668e+001  1.701130e-001
 3.925760e-001  2.492055e+001  1.716360e-001
 3.953110e-001  2.499536e+001  1.674950e-001
 3.980460e-001  2.408745e+001  1.663580e-001
 4.007810e-001  2.415336e+001  1.658120e-001
 4.035170e-001  2.429060e+001  1.620500e-001
 4.062520e-001  2.358754e+001  1.649350e-001
 4.089870e-001  2.338195e+001  1.587260e-001
 4.117220e-001  2.348360e+001  1.586780e-001
 4.144570e-001  2.303890e+001  1.576660e-001
 4.171920e-001  2.282130e+001  1.554860e-001
 4.199270e-001  2.268850e+001  1.562360e-001
 4.226620e-001  2.210770e+001  1.515710e-001
 4.253970e-001  2.218130e+001  1.535400e-001
 4.281320e-001  2.171650e+001  1.509140e-001
 4.308670e-001  2.137790e+001  1.485110e-001
 4.336030e-001  2.120970e+001  1.486190e-001
 4.363380e-001  2.071040e+001  1.453420e-001
 4.390730e-001  2.063310e+001  1.477200e-001
 4.418080e-001  2.035550e+001  1.438080e-001
 4.445430e-001  2.009490e+001  1.414380e-001
 4.472780e-001  1.968540e+001  1.426160e-001
 4.500130e-001  1.976640e+001  1.402390e-001
 4.527480e-001  1.928080e+001  1.404180e-001
 4.554830e-001  1.910950e+001  1.379300e-001
 4.582180e-001  1.894720e+001  1.365010e-001
 4.609530e-001  1.874330e+001  1.367970e-001
 4.636880e-001  1.852740e+001  1.357670e-001
 4.664240e-001  1.817230e+001  1.332850e-001
 4.691590e-001  1.820690e+001  1.338010e-001
