Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: null
Parent(s): sub01.dat sub02.dat sub03.dat
 1.032369e-001  6.449469e+001  3.285681e-001
 1.079403e-001  6.401468e+001  3.191157e-001
 1.126436e-001  6.412186e+001  3.082691e-001
 1.173470e-001  6.279335e+001  2.997660e-001
 1.220504e-001  6.286132e+001  2.917783e-001
 1.267537e-001  6.212383e+001  2.845907e-001
 1.314571e-001  6.151798e+001  2.766484e-001
 1.361605e-001  6.140174e+001  2.697305e-001
 1.408639e-001  6.043042e+001  2.638368e-001
 1.455672e-001  6.026810e+001  2.573542e-001
 1.502706e-001  5.976803e+001  2.511219e-001
 1.549740e-001  5.901964e+001  2.449836e-001
 1.596773e-001  5.830481e+001  2.393367e-001
 1.643807e-001  5.755983e+001  2.341207e-001
 1.690841e-001  5.694303e+001  2.286122e-001
 1.737874e-001  5.685952e+001  2.229637e-001
 1.784908e-001  5.633272e+001  2.181938e-001
 1.831942e-001  5.535509e+001  2.141923e-001
 1.878975e-001  5.517658e+001  2.098252e-001
 1.926009e-001  5.472656e+001  2.047910e-001
 1.973043e-001  5.409592e+001  2.007142e-001
 2.020076e-001  5.347203e+001  1.965964e-001
 2.067110e-001  5.260661e+001  1.933136e-001
 2.114144e-001  5.198137e+001  1.886293e-001
 2.161177e-001  5.141446e+001  1.848461e-001
 2.208211e-001  5.099139e+001  1.810132e-001
 2.255245e-001  4.995854e+001  1.776573e-001
 2.302278e-001  4.949464e+001  1.740379e-001
 2.349312e-001  4.902380e+001  1.707240e-001
 2.396346e-001  4.830216e+001  1.672240e-001
 2.443379e-001  4.794718e+001  1.640312e-001
 2.490413e-001  4.716951e+001  1.611242e-001
 2.537447e-001  4.664461e+001  1.579676e-001
 2.584480e-001  4.604703e+001  1.551135e-001
 2.631514e-001  4.517927e+001  1.521678e-001
 2.678548e-001  4.459657e+001  1.494188e-001
 2.725581e-001  4.411253e+001  1.463093e-001
 2.772615e-001  4.331818e+001  1.439292e-001
 2.819649e-001  4.277678e+001  1.411186e-001
 2.866682e-001  4.241548e+001  1.385880e-001
