Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 1.765040e-001  2.994356e+001  7.432865e-001
 1.792400e-001  3.569933e+001  6.243437e-001
 1.819750e-001  3.100413e+001  6.067837e-001
 1.847100e-001  3.317435e+001  5.706430e-001
 1.874450e-001  3.197665e+001  5.610238e-001
 1.901800e-001  3.178083e+001  5.330618e-001
 1.929150e-001  3.336838e+001  5.203663e-001
 1.956500e-001  3.338946e+001  5.166757e-001
 1.983850e-001  3.330858e+001  4.926853e-001
 2.011200e-001  3.419107e+001  4.774277e-001
 2.038550e-001  3.141214e+001  4.699140e-001
 2.065900e-001  3.234122e+001  4.512067e-001
 2.093250e-001  3.218587e+001  4.532012e-001
 2.120610e-001  2.986775e+001  4.337638e-001
 2.147960e-001  3.180294e+001  4.299642e-001
 2.175310e-001  2.844522e+001  4.196703e-001
 2.202660e-001  3.161689e+001  4.127080e-001
 2.230010e-001  3.312640e+001  4.020935e-001
 2.257360e-001  3.156113e+001  3.941065e-001
 2.284710e-001  3.305200e+001  3.912320e-001
 2.312060e-001  3.238745e+001  3.810702e-001
 2.339410e-001  3.171495e+001  3.802913e-001
 2.366760e-001  3.009504e+001  3.658057e-001
 2.394110e-001  3.034805e+001  3.673148e-001
 2.421460e-001  3.150076e+001  3.641972e-001
 2.448820e-001  2.732009e+001  3.555530e-001
 2.476170e-001  3.113624e+001  3.539768e-001
 2.503520e-001  3.045075e+001  3.470125e-001
 2.530870e-001  3.380002e+001  3.465753e-001
 2.558220e-001  2.960883e+001  3.408300e-001
 2.585570e-001  3.005355e+001  3.350002e-001
 2.612920e-001  3.052628e+001  3.364300e-001
 2.640270e-001  3.009035e+001  3.297270e-001
 2.667620e-001  2.906452e+001  3.288667e-001
 2.694970e-001  3.025605e+001  3.212167e-001
 2.722320e-001  3.035210e+001  3.188135e-001
 2.749680e-001  3.016427e+001  3.205363e-001
 2.777030e-001  3.001328e+001  3.161518e-001
 2.804380e-001  2.987295e+001  3.183175e-001
 2.831730e-001  3.019483e+001  3.055785e-001
 2.859080e-001  2.969558e+001  3.082063e-001
 2.886430e-001  2.920763e+001  3.073303e-001
 2.913780e-001  2.898000e+001  2.962088e-001
 2.941130e-001  2.919655e+001  3.016552e-001
 2.968480e-001  2.866430e+001  2.938312e-001
 2.995830e-001  2.852163e+001  3.003585e-001
 3.023180e-001  2.789163e+001  2.959803e-001
 3.050530e-001  2.828933e+001  2.893150e-001
 3.077890e-001  2.833285e+001  2.956227e-001
 3.105240e-001  2.755408e+001  2.858315e-001
 3.132590e-001  2.740950e+001  2.911692e-001
 3.159940e-001  2.758855e+001  2.857668e-001
 3.187290e-001  2.693550e+001  2.827133e-001
 3.214640e-001  2.687245e+001  2.890968e-001
 3.241990e-001  2.720015e+001  2.803430e-001
 3.269340e-001  2.667728e+001  2.839452e-001
 3.296690e-001  2.659100e+001  2.780727e-001
 3.324040e-001  2.643160e+001  2.751245e-001
 3.351390e-001  2.578418e+001  2.800115e-001
 3.378750e-001  2.554737e+001  2.758782e-001
 3.406100e-001  2.566897e+001  2.717872e-001
 3.433450e-001  2.569790e+001  2.721905e-001
 3.460800e-001  2.585010e+001  2.720810e-001
 3.488150e-001  2.531863e+001  2.711907e-001
 3.515500e-001  2.489580e+001  2.678305e-001
 3.542850e-001  2.479110e+001  2.676720e-001
 3.570200e-001  2.481495e+001  2.670218e-001
 3.597550e-001  2.441998e+001  2.659095e-001
 3.624900e-001  2.396025e+001  2.612417e-001
 3.652250e-001  2.419748e+001  2.610200e-001
 3.679600e-001  2.383875e+001  2.633935e-001
 3.706960e-001  2.386460e+001  2.613313e-001
 3.734310e-001  2.309510e+001  2.578905e-001
 3.761660e-001  2.319285e+001  2.523760e-001
 3.789010e-001  2.347025e+001  2.590803e-001
 3.816360e-001  2.305977e+001  2.544473e-001
 3.843710e-001  2.318433e+001  2.577225e-001
 3.871060e-001  2.269635e+001  2.505117e-001
 3.898410e-001  2.272263e+001  2.492715e-001
 3.925760e-001  2.221535e+001  2.530250e-001
 3.953110e-001  2.240768e+001  2.483936e-001
 3.980460e-001  2.224925e+001  2.492681e-001
 4.007810e-001  2.166007e+001  2.474191e-001
 4.035170e-001  2.200797e+001  2.430690e-001
 4.062520e-001  2.220293e+001  2.513160e-001
 4.089870e-001  2.163560e+001  2.397959e-001
 4.117220e-001  2.120048e+001  2.424853e-001
 4.144570e-001  2.120778e+001  2.428403e-001
 4.171920e-001  2.105607e+001  2.395367e-001
 4.199270e-001  2.093382e+001  2.419823e-001
 4.226620e-001  2.095283e+001  2.355330e-001
 4.253970e-001  2.066893e+001  2.378987e-001
 4.281320e-001  2.031048e+001  2.346978e-001
 4.308670e-001  2.031445e+001  2.343399e-001
 4.336030e-001  1.995048e+001  2.332825e-001
 4.363380e-001  1.987885e+001  2.318463e-001
 4.390730e-001  1.950395e+001  2.346901e-001
 4.418080e-001  1.987705e+001  2.295835e-001
 4.445430e-001  1.946655e+001  2.268972e-001
 4.472780e-001  1.946245e+001  2.322040e-001
 4.500130e-001  1.931150e+001  2.254228e-001
 4.527480e-001  1.875520e+001  2.278215e-001
 4.554830e-001  1.943907e+001  2.249607e-001
 4.582180e-001  1.910325e+001  2.233212e-001
 4.609530e-001  1.838170e+001  2.230835e-001
 4.636880e-001  1.833432e+001  2.232971e-001
 4.664240e-001  1.798473e+001  2.200008e-001
 4.691590e-001  1.796360e+001  2.187461e-001
 4.718940e-001  1.796767e+001  2.206068e-001
 4.746290e-001  1.766127e+001  2.171751e-001
 4.773640e-001  1.771552e+001  2.188894e-001
 4.800990e-001  1.747460e+001  2.167652e-001
 4.828340e-001  1.723655e+001  2.156303e-001
 4.855690e-001  1.733000e+001  2.160733e-001
 4.883040e-001  1.703860e+001  2.143171e-001
 4.910390e-001  1.719207e+001  2.103473e-001
 4.937740e-001  1.704462e+001  2.124608e-001
