
Sample:   c= 0 mg/ml  Code: 
 3.637830e-002  2.449470e+001  1.649585e+001
 4.111730e-002  2.486935e+001  6.063300e+000
 4.585640e-002  2.651145e+001  4.663125e+000
 5.059550e-002  2.510495e+001  3.702340e+000
 5.533460e-002  2.458025e+001  2.992260e+000
 6.007370e-002  2.531530e+001  2.492605e+000
 6.481280e-002  2.510735e+001  2.135380e+000
 6.955190e-002  2.647960e+001  1.871115e+000
 7.429100e-002  2.678415e+001  1.659480e+000
 7.903010e-002  2.658505e+001  1.489490e+000
 8.376920e-002  2.721145e+001  1.359525e+000
 8.850830e-002  2.714935e+001  1.253075e+000
 9.324740e-002  2.582700e+001  1.157230e+000
 9.798650e-002  2.554280e+001  1.076610e+000
 1.027260e-001  2.569995e+001  1.011700e+000
 1.074650e-001  2.579600e+001  9.575300e-001
 1.122040e-001  2.645690e+001  9.118350e-001
 1.169430e-001  2.649915e+001  8.718850e-001
 1.216820e-001  2.585925e+001  8.333650e-001
 1.264210e-001  2.547425e+001  7.985400e-001
 1.311600e-001  2.601140e+001  7.703300e-001
 1.358990e-001  2.600320e+001  7.433650e-001
 1.406380e-001  2.610530e+001  7.188350e-001
 1.453770e-001  2.546720e+001  6.971750e-001
 1.501170e-001  2.505715e+001  6.780300e-001
 1.548560e-001  2.545775e+001  6.612300e-001
 1.595950e-001  2.552975e+001  6.453050e-001
 1.643340e-001  2.513825e+001  6.299300e-001
 1.690730e-001  2.574540e+001  6.153850e-001
 1.738120e-001  2.589450e+001  6.014550e-001
 1.785510e-001  2.559395e+001  5.888550e-001
 1.832900e-001  2.550350e+001  5.777750e-001
 1.880290e-001  2.571540e+001  5.678500e-001
 1.927680e-001  2.561885e+001  5.577050e-001
 1.975070e-001  2.528085e+001  5.479350e-001
 2.022460e-001  2.547165e+001  5.395050e-001
 2.069860e-001  2.532520e+001  5.312350e-001
 2.117250e-001  2.524745e+001  5.233000e-001
 2.164640e-001  2.532935e+001  5.163500e-001
 2.212030e-001  2.534375e+001  5.089550e-001
 2.259420e-001  2.544330e+001  5.022050e-001
 2.306810e-001  2.512030e+001  4.951490e-001
 2.354200e-001  2.478945e+001  4.885285e-001
 2.401590e-001  2.460175e+001  4.824570e-001
 2.448980e-001  2.446175e+001  4.764380e-001
 2.496380e-001  2.415015e+001  4.708260e-001
 2.543770e-001  2.413320e+001  4.662590e-001
 2.591160e-001  2.450385e+001  4.620805e-001
 2.638550e-001  2.422665e+001  4.570720e-001
 2.685940e-001  2.341115e+001  4.516365e-001
 2.733330e-001  2.339500e+001  4.471785e-001
 2.780720e-001  2.407395e+001  4.433420e-001
 2.828110e-001  2.409915e+001  4.383610e-001
 2.875500e-001  2.382810e+001  4.330320e-001
 2.922890e-001  2.384715e+001  4.284595e-001
 2.970280e-001  2.390600e+001  4.246660e-001
 3.017680e-001  2.386305e+001  4.229605e-001
 3.065070e-001  2.370930e+001  4.254050e-001
 3.112460e-001  2.337090e+001  4.281380e-001
 3.159850e-001  2.337400e+001  4.296755e-001
 3.207240e-001  2.329120e+001  4.298945e-001
 3.254630e-001  2.320015e+001  4.292535e-001
 3.302020e-001  2.339125e+001  4.288330e-001
 3.349410e-001  2.336405e+001  4.281810e-001
 3.396800e-001  2.336910e+001  4.276125e-001
 3.444190e-001  2.358110e+001  4.296915e-001
 3.491580e-001  2.329375e+001  4.361730e-001
 3.538970e-001  2.293605e+001  4.422645e-001
 3.586370e-001  2.261510e+001  4.464630e-001
 3.633760e-001  2.208035e+001  4.495095e-001
 3.681150e-001  2.179385e+001  4.522900e-001
 3.728540e-001  2.173360e+001  4.544255e-001
 3.775930e-001  2.212750e+001  4.572875e-001
 3.823320e-001  2.206155e+001  4.591925e-001
 3.870710e-001  2.211935e+001  4.615455e-001
 3.918100e-001  2.188550e+001  4.633245e-001
 3.965490e-001  2.181815e+001  4.646735e-001
 4.012880e-001  2.164165e+001  4.648955e-001
 4.060280e-001  2.113960e+001  4.650170e-001
 4.107670e-001  2.097500e+001  4.658560e-001
 4.155060e-001  2.115080e+001  4.682095e-001
 4.202450e-001  2.091850e+001  4.709830e-001
 4.249840e-001  2.104620e+001  4.734395e-001
 4.297230e-001  2.079195e+001  4.731025e-001
 4.344620e-001  2.072970e+001  4.754185e-001
 4.392010e-001  2.059880e+001  4.850785e-001
 4.439400e-001  2.042120e+001  4.977345e-001
 4.486790e-001  2.028340e+001  5.071250e-001
 4.534190e-001  2.025650e+001  5.143900e-001
 4.581580e-001  2.012685e+001  5.206700e-001
 4.628970e-001  1.989105e+001  5.262300e-001
 4.676360e-001  1.987585e+001  5.319500e-001
 4.723750e-001  1.942660e+001  5.367750e-001
 4.771140e-001  1.891310e+001  5.404850e-001
 4.818530e-001  1.895275e+001  5.450600e-001
 4.865920e-001  1.908575e+001  5.506550e-001
 4.913310e-001  1.930580e+001  5.558700e-001
 4.960700e-001  1.971300e+001  5.597600e-001
 5.008090e-001  1.979480e+001  5.575050e-001
 5.055480e-001  1.970655e+001  5.421150e-001
 5.102880e-001  1.971560e+001  5.291600e-001
 5.150270e-001  1.945960e+001  5.202200e-001
 5.197660e-001  1.924675e+001  5.134000e-001
 5.245050e-001  1.903825e+001  5.078650e-001
 5.292440e-001  1.852525e+001  5.032400e-001
 5.339830e-001  1.806505e+001  4.994360e-001
 5.387220e-001  1.781250e+001  4.956350e-001
 5.434610e-001  1.795345e+001  4.923650e-001
 5.482000e-001  1.818690e+001  4.901905e-001
 5.529400e-001  1.807360e+001  4.880090e-001
 5.576790e-001  1.798290e+001  4.841675e-001
 5.624180e-001  1.770925e+001  4.808825e-001
 5.671570e-001  1.765490e+001  4.769840e-001
 5.718960e-001  1.754555e+001  4.733390e-001
 5.766350e-001  1.726065e+001  4.697695e-001
 5.813740e-001  1.696025e+001  4.661035e-001
 5.861130e-001  1.682890e+001  4.630620e-001
 5.908520e-001  1.684135e+001  4.599660e-001
 5.955910e-001  1.710185e+001  4.571575e-001
 6.003300e-001  1.718705e+001  4.542550e-001
 6.050700e-001  1.705130e+001  4.511410e-001
 6.098090e-001  1.662810e+001  4.483610e-001
 6.145480e-001  1.601930e+001  4.458875e-001
 6.192870e-001  1.569265e+001  4.441955e-001
 6.240260e-001  1.569690e+001  4.432505e-001
 6.287650e-001  1.598000e+001  4.421470e-001
 6.335040e-001  1.603225e+001  4.412255e-001
 6.382430e-001  1.597220e+001  4.400410e-001
 6.429820e-001  1.568900e+001  4.388670e-001
 6.477210e-001  1.573575e+001  4.381520e-001
 6.524600e-001  1.591625e+001  4.369080e-001
 6.572000e-001  1.596600e+001  4.360680e-001
 6.619390e-001  1.533455e+001  4.346805e-001
 6.666780e-001  1.516830e+001  4.334640e-001
 6.714170e-001  1.537425e+001  4.322725e-001
 6.761560e-001  1.521505e+001  4.309190e-001
 6.808950e-001  1.488895e+001  4.294900e-001
 6.856340e-001  1.458955e+001  4.284620e-001
 6.903730e-001  1.432960e+001  4.272610e-001
 6.951120e-001  1.458120e+001  4.261125e-001
 6.998510e-001  1.473000e+001  4.254100e-001
 7.045910e-001  1.452825e+001  4.247435e-001
 7.093300e-001  1.422925e+001  4.234185e-001
 7.140690e-001  1.412900e+001  4.221880e-001
 7.188080e-001  1.402780e+001  4.208350e-001
 7.235470e-001  1.422280e+001  4.199250e-001
 7.282860e-001  1.379160e+001  4.184835e-001
 7.330250e-001  1.343230e+001  4.174520e-001
 7.377640e-001  1.353680e+001  4.166110e-001
 7.425030e-001  1.323130e+001  4.151735e-001
 7.472420e-001  1.283570e+001  4.137240e-001
 7.519810e-001  1.312970e+001  4.128670e-001
 7.567210e-001  1.336805e+001  4.121270e-001
 7.614600e-001  1.332195e+001  4.114945e-001
 7.661990e-001  1.336225e+001  4.112675e-001
 7.709380e-001  1.334120e+001  4.109555e-001
 7.756770e-001  1.256880e+001  4.096065e-001
 7.804160e-001  1.197620e+001  4.076030e-001
 7.851550e-001  1.223110e+001  4.067960e-001
 7.898940e-001  1.219155e+001  4.061045e-001
 7.946330e-001  1.201395e+001  4.049680e-001
 7.993720e-001  1.214405e+001  4.037375e-001
 8.041110e-001  1.206060e+001  4.023560e-001
 8.088510e-001  1.202800e+001  4.013290e-001
 8.135900e-001  1.191565e+001  4.007250e-001
 8.183290e-001  1.121735e+001  3.998770e-001
 8.230680e-001  1.117185e+001  3.989285e-001
 8.278070e-001  1.144270e+001  3.983815e-001
 8.325460e-001  1.125785e+001  3.971650e-001
 8.372850e-001  1.166060e+001  3.963360e-001
 8.420240e-001  1.154530e+001  3.955000e-001
 8.467630e-001  1.125665e+001  3.947200e-001
 8.515020e-001  1.095595e+001  3.941385e-001
 8.562410e-001  1.115945e+001  3.935670e-001
 8.609810e-001  1.087590e+001  3.923665e-001
 8.657200e-001  1.109745e+001  3.912280e-001
 8.704590e-001  1.133880e+001  3.912010e-001
 8.751980e-001  1.126915e+001  3.907590e-001
 8.799370e-001  1.112805e+001  3.900605e-001
 8.846760e-001  1.059220e+001  3.885820e-001
 8.894150e-001  9.894500e+000  3.871185e-001
 8.941540e-001  9.988950e+000  3.865410e-001
 8.988930e-001  1.022735e+001  3.859600e-001
 9.036320e-001  1.019435e+001  3.851010e-001
 9.083710e-001  1.028865e+001  3.841030e-001
 9.131110e-001  1.033240e+001  3.835250e-001
 9.178500e-001  1.014780e+001  3.828030e-001
 9.225890e-001  1.034830e+001  3.818985e-001
 9.273280e-001  1.039545e+001  3.812050e-001
 9.320670e-001  9.957000e+000  3.801730e-001
 9.368060e-001  9.394500e+000  3.791485e-001
 9.415450e-001  9.589000e+000  3.786615e-001
 9.462840e-001  9.728900e+000  3.781140e-001
 9.510230e-001  9.519550e+000  3.770680e-001
 9.557620e-001  9.358350e+000  3.758945e-001
 9.605020e-001  9.093250e+000  3.750490e-001
 9.652410e-001  8.999400e+000  3.743410e-001
 9.699800e-001  9.263800e+000  3.740675e-001
 9.747190e-001  9.016100e+000  3.730610e-001
 9.794580e-001  8.696100e+000  3.721875e-001
 9.841970e-001  8.674900e+000  3.716210e-001
 9.889360e-001  8.823900e+000  3.713595e-001
 9.936750e-001  8.958250e+000  3.708420e-001
 9.984140e-001  8.536500e+000  3.700925e-001
 1.003150e+000  8.471600e+000  3.689800e-001
 1.007890e+000  8.197100e+000  3.677060e-001
 1.012630e+000  8.134200e+000  3.665900e-001
 1.017370e+000  8.261650e+000  3.660550e-001
 1.022110e+000  8.395400e+000  3.658075e-001
 1.026850e+000  8.225150e+000  3.650480e-001
 1.031590e+000  7.881100e+000  3.644445e-001
 1.036330e+000  7.640600e+000  3.636015e-001
 1.041070e+000  7.708500e+000  3.624605e-001
 1.045810e+000  8.008950e+000  3.630630e-001
 1.050540e+000  8.039750e+000  3.615065e-001
 1.055280e+000  7.725650e+000  3.606835e-001
 1.060020e+000  7.837750e+000  3.602725e-001
 1.064760e+000  8.008400e+000  3.600760e-001
 1.069500e+000  8.002950e+000  3.592605e-001
 1.074240e+000  7.531050e+000  3.579460e-001
 1.078980e+000  7.142700e+000  3.569775e-001
 1.083720e+000  7.184200e+000  3.563380e-001
 1.088460e+000  7.050700e+000  3.555920e-001
 1.093200e+000  7.057550e+000  3.545990e-001
 1.097940e+000  7.238650e+000  3.553455e-001
 1.102670e+000  7.020650e+000  3.537905e-001
 1.107410e+000  7.039700e+000  3.532160e-001
 1.112150e+000  7.006750e+000  3.528565e-001
 1.116890e+000  6.628750e+000  3.521360e-001
 1.121630e+000  6.546800e+000  3.517265e-001
 1.126370e+000  6.631300e+000  3.512095e-001
 1.131110e+000  6.621850e+000  3.506230e-001
 1.135850e+000  6.785800e+000  3.497315e-001
 1.140590e+000  6.935800e+000  3.488995e-001
 1.145330e+000  6.783900e+000  3.490780e-001
 1.150060e+000  6.285950e+000  3.472260e-001
 1.154800e+000  6.277400e+000  3.468210e-001
 1.159540e+000  6.272650e+000  3.462200e-001
 1.164280e+000  6.210800e+000  3.456580e-001
 1.169020e+000  6.188250e+000  3.449465e-001
 1.173760e+000  5.948500e+000  3.441760e-001
 1.178500e+000  6.066600e+000  3.438075e-001
 1.183240e+000  6.174350e+000  3.435290e-001
 1.187980e+000  6.084650e+000  3.429755e-001
 1.192720e+000  5.934300e+000  3.421350e-001
 1.197460e+000  5.832700e+000  3.428305e-001
 1.202190e+000  5.830550e+000  3.414730e-001
 1.206930e+000  5.829800e+000  3.409330e-001
 1.211670e+000  5.602000e+000  3.402385e-001
 1.216410e+000  5.513800e+000  3.393380e-001
