
Sample:   c= 0 mg/ml  Code: 
 1.200000e-001  8.904079e-001  7.152457e-003
 1.297000e-001  8.679397e-001  7.034032e-003
 1.394000e-001  8.560921e-001  6.953596e-003
 1.492000e-001  8.517264e-001  6.901658e-003
 1.589000e-001  8.393683e-001  6.846074e-003
 1.686000e-001  8.285668e-001  6.783677e-003
 1.783000e-001  8.075448e-001  6.656839e-003
 1.881000e-001  7.750630e-001  6.525653e-003
 1.978000e-001  7.730760e-001  6.486296e-003
 2.075000e-001  7.483973e-001  6.390132e-003
 2.172000e-001  7.163268e-001  6.260366e-003
 2.270000e-001  7.048357e-001  6.178972e-003
 2.367000e-001  6.809034e-001  6.076840e-003
 2.464000e-001  6.589123e-001  5.956123e-003
 2.561000e-001  6.488111e-001  5.902302e-003
 2.659000e-001  6.157677e-001  5.757923e-003
 2.756000e-001  5.926846e-001  5.642182e-003
 2.853000e-001  5.727182e-001  5.534824e-003
 2.950000e-001  5.448957e-001  5.380394e-003
 3.048000e-001  5.263175e-001  5.281114e-003
 3.145000e-001  5.030175e-001  5.158514e-003
 3.242000e-001  4.832372e-001  5.069739e-003
 3.339000e-001  4.673650e-001  4.969050e-003
 3.437000e-001  4.450982e-001  4.852443e-003
 3.534000e-001  4.261394e-001  4.760289e-003
 3.631000e-001  4.056131e-001  4.636560e-003
 3.728000e-001  3.815277e-001  4.534047e-003
 3.826000e-001  3.634507e-001  4.441050e-003
 3.923000e-001  3.595900e-001  4.371946e-003
 4.020000e-001  3.434871e-001  4.272887e-003
 4.117000e-001  3.173795e-001  4.149566e-003
 4.215000e-001  3.088166e-001  4.067388e-003
 4.312000e-001  2.885130e-001  3.952496e-003
 4.409000e-001  2.743214e-001  3.860866e-003
 4.506000e-001  2.575610e-001  3.756489e-003
 4.604000e-001  2.438913e-001  3.670916e-003
 4.701000e-001  2.341417e-001  3.595354e-003
 4.798000e-001  2.237165e-001  3.514078e-003
 4.895000e-001  2.089027e-001  3.442435e-003
 4.992000e-001  2.035841e-001  3.374908e-003
 5.090000e-001  1.934237e-001  3.292010e-003
 5.187000e-001  1.801634e-001  3.208703e-003
 5.284000e-001  1.751674e-001  3.149109e-003
 5.381000e-001  1.648396e-001  3.075740e-003
 5.479000e-001  1.532282e-001  3.000638e-003
 5.576000e-001  1.522876e-001  2.939789e-003
 5.673000e-001  1.464869e-001  2.894331e-003
 5.770000e-001  1.363918e-001  2.839068e-003
 5.868000e-001  1.268079e-001  2.766813e-003
 5.965000e-001  1.206030e-001  2.696987e-003
 6.062000e-001  1.164561e-001  2.653107e-003
 6.159000e-001  1.130320e-001  2.617160e-003
