Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /Users/SASDBR3_non_extrap.dat
  1.392800e-01   5.830730e+02   8.172490e+00
  1.443400e-01   5.686010e+02   7.261510e+00
  1.494000e-01   5.694660e+02   6.699910e+00
  1.544600e-01   5.661160e+02   6.412120e+00
  1.595200e-01   5.611870e+02   5.588460e+00
  1.645800e-01   5.563540e+02   5.125530e+00
  1.696400e-01   5.500900e+02   5.400810e+00
  1.747000e-01   5.456980e+02   4.616280e+00
  1.797600e-01   5.307720e+02   4.583740e+00
  1.848200e-01   5.259070e+02   4.184050e+00
  1.898800e-01   5.291460e+02   4.744510e+00
  1.949400e-01   5.187110e+02   4.499420e+00
  2.000000e-01   5.033440e+02   3.363120e+00
  2.050600e-01   5.026730e+02   4.173370e+00
  2.101200e-01   4.979630e+02   3.985150e+00
  2.151800e-01   4.876370e+02   3.904330e+00
  2.202400e-01   4.843560e+02   3.698070e+00
  2.253000e-01   4.775500e+02   3.404920e+00
  2.303600e-01   4.657110e+02   3.271690e+00
  2.354200e-01   4.671060e+02   3.137880e+00
  2.404800e-01   4.574970e+02   2.934920e+00
  2.455400e-01   4.545430e+02   2.774900e+00
  2.506000e-01   4.444270e+02   2.892530e+00
  2.556600e-01   4.362080e+02   2.684160e+00
  2.607200e-01   4.308490e+02   2.702430e+00
  2.657800e-01   4.249520e+02   2.555450e+00
  2.708400e-01   4.163760e+02   2.294390e+00
  2.759000e-01   4.097010e+02   2.523690e+00
  2.809600e-01   4.066270e+02   2.293970e+00
  2.860200e-01   3.970830e+02   2.087140e+00
  2.910800e-01   3.900830e+02   5.619240e+00
  2.961400e-01   3.847350e+02   2.165900e+00
  3.012000e-01   3.807840e+02   2.171160e+00
  3.062600e-01   3.715770e+02   2.063530e+00
  3.113200e-01   3.693250e+02   1.960370e+00
  3.163800e-01   3.621320e+02   1.888740e+00
  3.214400e-01   3.577830e+02   1.814150e+00
  3.265000e-01   3.519180e+02   1.839820e+00
  3.315600e-01   3.446510e+02   1.709630e+00
  3.366200e-01   3.398710e+02   1.727740e+00
  3.416800e-01   3.364880e+02   1.630360e+00
  3.467400e-01   3.270280e+02   1.630360e+00
  3.518000e-01   3.233290e+02   1.645450e+00
  3.568600e-01   3.176980e+02   1.602310e+00
  3.619200e-01   3.103990e+02   1.562800e+00
  3.669800e-01   3.086310e+02   1.568140e+00
  3.720400e-01   3.030990e+02   1.578230e+00
  3.771000e-01   2.984950e+02   1.426250e+00
  3.821600e-01   2.926620e+02   1.472660e+00
  3.872200e-01   2.881760e+02   1.500120e+00
  3.922800e-01   2.815390e+02   1.418620e+00
  3.973400e-01   2.804220e+02   1.384970e+00
  4.024000e-01   2.743270e+02   1.376240e+00
  4.074600e-01   2.668870e+02   1.361370e+00
  4.125200e-01   2.671140e+02   1.411700e+00
  4.175800e-01   2.584400e+02   1.333940e+00
  4.226400e-01   2.551750e+02   1.234280e+00
  4.277000e-01   2.510580e+02   1.265530e+00
  4.327600e-01   2.484130e+02   1.285920e+00
  4.378200e-01   2.418860e+02   1.246020e+00
  4.428800e-01   2.378370e+02   1.269140e+00
  4.479400e-01   2.357160e+02   1.274940e+00
  4.530000e-01   2.309750e+02   1.244940e+00
  4.580600e-01   2.266660e+02   1.147810e+00
  4.631200e-01   2.209840e+02   1.108690e+00
  4.681800e-01   2.206680e+02   1.157850e+00
  4.732400e-01   2.165940e+02   1.173400e+00
  4.783000e-01   2.122030e+02   1.176640e+00
  4.833600e-01   2.082370e+02   1.171350e+00
  4.884200e-01   2.033470e+02   1.129120e+00
  4.934800e-01   2.027820e+02   1.116370e+00
  4.985400e-01   1.985650e+02   1.128650e+00
  5.036000e-01   1.969700e+02   1.095510e+00
  5.086600e-01   1.916200e+02   1.104630e+00
  5.137200e-01   1.895320e+02   1.080500e+00
  5.187800e-01   1.830770e+02   1.041780e+00
