Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 5.5 mg/ml  Code: tmp
Parent(s): F:/old/GRUBER2/data/processed/merge_005.dat
 1.993590e-002  2.832950e+003  2.448690e+003
 2.257060e-002  2.609120e+003  8.929920e+002
 2.520520e-002  1.560530e+003  6.402430e+002
 2.783990e-002  1.894090e+003  4.693250e+002
 3.047450e-002  1.701550e+003  3.467170e+002
 3.310920e-002  2.071940e+003  2.668820e+002
 3.574380e-002  1.801100e+003  2.129920e+002
 3.837850e-002  1.781090e+003  1.815610e+002
 4.101320e-002  1.870450e+003  1.497400e+002
 4.364780e-002  1.918830e+003  1.318700e+002
 4.628250e-002  1.955880e+003  1.127710e+002
 4.891710e-002  1.860070e+003  9.764780e+001
 5.155180e-002  1.910640e+003  8.726700e+001
 5.418640e-002  1.832760e+003  7.642260e+001
 5.682110e-002  1.845520e+003  7.116860e+001
 5.945570e-002  1.814130e+003  6.421520e+001
 6.209040e-002  1.864000e+003  5.844840e+001
 6.472500e-002  1.779660e+003  5.539930e+001
 6.735970e-002  1.798860e+003  5.070640e+001
 6.999440e-002  1.880640e+003  4.878400e+001
 7.262900e-002  1.833060e+003  4.531510e+001
 7.526370e-002  1.874460e+003  4.331570e+001
 7.789830e-002  1.779050e+003  4.143890e+001
 8.053300e-002  1.793490e+003  3.914310e+001
 8.316760e-002  1.743200e+003  3.810670e+001
 8.580230e-002  1.779260e+003  3.669710e+001
 8.843690e-002  1.794030e+003  3.546500e+001
 9.107160e-002  1.758970e+003  3.429180e+001
 9.370620e-002  1.752830e+003  3.324890e+001
 9.634090e-002  1.771330e+003  3.247280e+001
 9.897560e-002  1.730930e+003  3.136480e+001
 1.016100e-001  1.776810e+003  3.102850e+001
 1.042450e-001  1.756880e+003  2.963350e+001
 1.068800e-001  1.757380e+003  2.936470e+001
 1.095140e-001  1.744700e+003  2.920540e+001
 1.121490e-001  1.758880e+003  2.806960e+001
 1.147830e-001  1.735950e+003  2.752190e+001
 1.174180e-001  1.720290e+003  2.683180e+001
 1.200530e-001  1.725680e+003  2.682700e+001
 1.226870e-001  1.693080e+003  2.624700e+001
 1.253220e-001  1.714500e+003  2.560480e+001
 1.279570e-001  1.739370e+003  2.546710e+001
 1.305910e-001  1.732530e+003  2.487840e+001
 1.332260e-001  1.700660e+003  2.490890e+001
 1.358610e-001  1.702820e+003  2.437280e+001
 1.384950e-001  1.717070e+003  2.410780e+001
 1.411300e-001  1.684920e+003  2.382190e+001
 1.437650e-001  1.677060e+003  2.306110e+001
 1.463990e-001  1.669690e+003  2.306290e+001
 1.490340e-001  1.651000e+003  2.252560e+001
 1.516690e-001  1.659000e+003  2.248440e+001
 1.543030e-001  1.665290e+003  2.308150e+001
 1.569380e-001  1.644060e+003  2.290860e+001
 1.595730e-001  1.654220e+003  2.293620e+001
 1.622070e-001  1.632290e+003  2.269840e+001
 1.648420e-001  1.649560e+003  2.298810e+001
 1.674770e-001  1.648630e+003  2.293340e+001
 1.701110e-001  1.645230e+003  2.283360e+001
 1.727460e-001  1.630440e+003  2.272210e+001
 1.753810e-001  1.638230e+003  2.255000e+001
 1.780150e-001  1.632980e+003  2.253540e+001
 1.806500e-001  1.614090e+003  2.231030e+001
 1.832840e-001  1.589170e+003  2.229390e+001
 1.859190e-001  1.585120e+003  2.215030e+001
 1.885540e-001  1.582690e+003  2.180120e+001
 1.911880e-001  1.575330e+003  2.192140e+001
 1.938230e-001  1.627860e+003  2.186490e+001
 1.964580e-001  1.591400e+003  2.187340e+001
 1.990920e-001  1.587640e+003  2.178590e+001
 2.017270e-001  1.541600e+003  2.129530e+001
 2.043620e-001  1.521040e+003  2.106990e+001
 2.069960e-001  1.535760e+003  2.090530e+001
 2.096310e-001  1.534120e+003  2.120350e+001
 2.122660e-001  1.548100e+003  2.084640e+001
 2.149000e-001  1.530450e+003  2.086100e+001
 2.175350e-001  1.542810e+003  2.081780e+001
 2.201700e-001  1.540920e+003  2.076190e+001
 2.228040e-001  1.548070e+003  2.089010e+001
 2.254390e-001  1.529440e+003  2.034830e+001
 2.280740e-001  1.529390e+003  2.036850e+001
 2.307080e-001  1.520580e+003  2.016810e+001
 2.333430e-001  1.531890e+003  2.023840e+001
 2.359780e-001  1.524020e+003  2.028620e+001
 2.386120e-001  1.506440e+003  1.988970e+001
 2.412470e-001  1.473160e+003  1.983630e+001
 2.438820e-001  1.497010e+003  1.977270e+001
 2.465160e-001  1.451900e+003  1.961840e+001
 2.491510e-001  1.482810e+003  1.968010e+001
 2.517860e-001  1.494790e+003  1.953670e+001
 2.544200e-001  1.466490e+003  1.957760e+001
 2.570550e-001  1.480570e+003  1.919650e+001
 2.596890e-001  1.452230e+003  1.912320e+001
 2.623240e-001  1.439410e+003  1.912870e+001
