Sample description: Sub_Ave_arc4_0073_818-Ave_Tp_0072_315
Sample: Sub_Ave_arc4_00  c= 0 mg/ml  Code: 
 6.196385e-002  3.780666e-002  2.005775e-003
 6.759692e-002  3.574510e-002  1.152735e-003
 7.322999e-002  3.667190e-002  8.798320e-004
 7.886306e-002  3.862906e-002  6.986932e-004
 8.449613e-002  3.913080e-002  5.172545e-004
 9.012920e-002  3.972372e-002  4.245296e-004
 9.576226e-002  4.050591e-002  3.629102e-004
 1.013953e-001  4.007031e-002  3.155540e-004
 1.070284e-001  4.002010e-002  2.819537e-004
 1.126614e-001  4.055532e-002  2.524568e-004
 1.182945e-001  4.081927e-002  2.170688e-004
 1.239276e-001  4.045819e-002  1.930539e-004
 1.295606e-001  4.131956e-002  1.772941e-004
 1.351937e-001  4.156355e-002  1.641984e-004
 1.408267e-001  4.190421e-002  1.542019e-004
 1.464597e-001  4.180337e-002  1.466701e-004
 1.520928e-001  4.197398e-002  1.396135e-004
 1.577258e-001  4.229384e-002  1.341250e-004
 1.633589e-001  4.209279e-002  1.291899e-004
 1.689919e-001  4.158004e-002  1.244353e-004
 1.746249e-001  4.188083e-002  1.202548e-004
 1.802579e-001  4.169377e-002  1.163062e-004
 1.858910e-001  4.212458e-002  1.131915e-004
 1.915240e-001  4.227599e-002  1.102349e-004
 1.971570e-001  4.230382e-002  1.072814e-004
 2.027900e-001  4.185271e-002  1.042789e-004
 2.084230e-001  4.158562e-002  1.015000e-004
 2.140560e-001  4.129461e-002  9.887974e-005
 2.196890e-001  4.117400e-002  9.675528e-005
 2.253220e-001  4.154576e-002  9.486855e-005
 2.309550e-001  4.162503e-002  9.286427e-005
 2.365880e-001  4.142491e-002  9.099626e-005
 2.422210e-001  4.112919e-002  8.925571e-005
 2.478540e-001  4.113703e-002  8.776324e-005
 2.534869e-001  4.110239e-002  8.603299e-005
 2.591199e-001  4.094414e-002  8.455031e-005
 2.647529e-001  4.084428e-002  8.333082e-005
 2.703858e-001  4.064849e-002  8.186326e-005
 2.760188e-001  4.036500e-002  8.044673e-005
 2.816517e-001  4.019814e-002  7.927959e-005
 2.872846e-001  4.022311e-002  7.830070e-005
 2.929176e-001  4.006470e-002  7.726650e-005
 2.985505e-001  3.979674e-002  7.602636e-005
 3.041834e-001  3.974747e-002  7.499394e-005
 3.098164e-001  3.964491e-002  7.412202e-005
 3.154493e-001  3.942222e-002  7.314546e-005
 3.210822e-001  3.932369e-002  7.219750e-005
 3.267151e-001  3.919587e-002  7.119991e-005
 3.323480e-001  3.923938e-002  7.054620e-005
 3.379809e-001  3.894464e-002  6.969993e-005
 3.436137e-001  3.882867e-002  6.887784e-005
 3.492466e-001  3.880318e-002  6.811647e-005
 3.548795e-001  3.853986e-002  6.724509e-005
 3.605123e-001  3.843092e-002  6.662907e-005
 3.661452e-001  3.824762e-002  6.596667e-005
 3.717780e-001  3.775192e-002  6.509784e-005
 3.774109e-001  3.754640e-002  6.441954e-005
 3.830437e-001  3.746141e-002  6.379876e-005
 3.886765e-001  3.754498e-002  6.329444e-005
 3.943093e-001  3.740001e-002  6.260044e-005
 3.999422e-001  3.732223e-002  6.204878e-005
 4.055750e-001  3.721926e-002  6.161870e-005
 4.112077e-001  3.679866e-002  6.084181e-005
 4.168405e-001  3.648351e-002  6.027058e-005
 4.224733e-001  3.617382e-002  5.970220e-005
 4.281061e-001  3.611905e-002  5.924028e-005
 4.337388e-001  3.609615e-002  5.872072e-005
 4.393716e-001  3.583193e-002  5.810938e-005
 4.450043e-001  3.570381e-002  5.771909e-005
 4.506371e-001  3.549893e-002  5.718257e-005
 4.562698e-001  3.532568e-002  5.669355e-005
 4.619025e-001  3.510076e-002  5.620648e-005
 4.675352e-001  3.489986e-002  5.570733e-005
 4.731679e-001  3.461485e-002  5.524823e-005
 4.788006e-001  3.441506e-002  5.483692e-005
 4.844333e-001  3.432962e-002  5.440069e-005
 4.900660e-001  3.419491e-002  5.397823e-005
 4.956986e-001  3.401754e-002  5.360268e-005
 5.013313e-001  3.381612e-002  5.318244e-005
 5.069639e-001  3.363545e-002  5.275201e-005
 5.125966e-001  3.342500e-002  5.230315e-005
 5.182292e-001  3.319223e-002  5.195280e-005
 5.238618e-001  3.303112e-002  5.157305e-005
 5.294944e-001  3.270435e-002  5.117531e-005
