Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /Users/SASDBT3_non_extrap.dat
  1.596300e-01   5.561990e+02   7.042240e+00
  1.647000e-01   5.477940e+02   6.162500e+00
  1.697700e-01   5.409450e+02   6.803390e+00
  1.748400e-01   5.343730e+02   6.186780e+00
  1.799000e-01   5.346320e+02   5.896480e+00
  1.849700e-01   5.321230e+02   5.001670e+00
  1.900400e-01   5.200230e+02   5.603500e+00
  1.951100e-01   5.184160e+02   5.280590e+00
  2.001800e-01   5.049980e+02   4.464950e+00
  2.052400e-01   4.964060e+02   5.228510e+00
  2.103100e-01   4.913460e+02   4.628830e+00
  2.153800e-01   4.891940e+02   4.276210e+00
  2.204500e-01   4.806910e+02   4.359290e+00
  2.255100e-01   4.783420e+02   4.281470e+00
  2.305800e-01   4.679220e+02   4.014600e+00
  2.356500e-01   4.629320e+02   4.026360e+00
  2.407200e-01   4.577680e+02   3.565890e+00
  2.457900e-01   4.485350e+02   3.660010e+00
  2.508500e-01   4.431450e+02   3.674220e+00
  2.559200e-01   4.368430e+02   3.261000e+00
  2.609900e-01   4.275340e+02   3.070900e+00
  2.660600e-01   4.259170e+02   3.012000e+00
  2.711200e-01   4.156230e+02   2.864550e+00
  2.761900e-01   4.098360e+02   3.038160e+00
  2.812600e-01   4.029000e+02   2.626940e+00
  2.863300e-01   3.966990e+02   2.539350e+00
  2.913900e-01   3.923310e+02   6.122630e+00
  2.964600e-01   3.844650e+02   2.534080e+00
  3.015300e-01   3.792940e+02   2.430800e+00
  3.066000e-01   3.761020e+02   2.322150e+00
  3.116700e-01   3.693700e+02   2.260360e+00
  3.167300e-01   3.584890e+02   2.274440e+00
  3.218000e-01   3.588310e+02   2.284790e+00
  3.268700e-01   3.492220e+02   2.161750e+00
  3.319400e-01   3.438460e+02   2.003420e+00
  3.370000e-01   3.375140e+02   1.993470e+00
  3.420700e-01   3.362470e+02   2.090160e+00
  3.471400e-01   3.273060e+02   3.059920e+00
  3.522100e-01   3.221090e+02   1.858200e+00
  3.572700e-01   3.175640e+02   1.706780e+00
  3.623400e-01   3.102440e+02   1.737630e+00
  3.674100e-01   3.027100e+02   1.802870e+00
  3.724800e-01   2.994810e+02   1.778520e+00
  3.775500e-01   2.951400e+02   1.642400e+00
  3.826100e-01   2.924860e+02   1.698550e+00
  3.876800e-01   2.842920e+02   1.516670e+00
  3.927500e-01   2.809240e+02   1.543750e+00
  3.978200e-01   2.725550e+02   1.524150e+00
  4.028800e-01   2.705170e+02   1.515590e+00
  4.079500e-01   2.657970e+02   1.553040e+00
  4.130200e-01   2.625450e+02   1.556280e+00
  4.180900e-01   2.565810e+02   1.438330e+00
  4.231500e-01   2.522470e+02   1.427960e+00
  4.282200e-01   2.476430e+02   1.397560e+00
  4.332900e-01   2.453190e+02   1.429390e+00
  4.383600e-01   2.388000e+02   1.336200e+00
  4.434300e-01   2.347850e+02   1.369640e+00
  4.484900e-01   2.308730e+02   1.281470e+00
  4.535600e-01   2.258990e+02   1.373570e+00
  4.586300e-01   2.210810e+02   1.287160e+00
  4.637000e-01   2.177750e+02   1.227920e+00
  4.687600e-01   2.120360e+02   1.271940e+00
  4.738300e-01   2.124640e+02   1.274490e+00
  4.789000e-01   2.065680e+02   1.263360e+00
  4.839700e-01   2.053170e+02   1.202700e+00
  4.890300e-01   2.012290e+02   1.136550e+00
  4.941000e-01   1.986410e+02   1.190570e+00
  4.991700e-01   1.927370e+02   1.234430e+00
  5.042400e-01   1.895270e+02   1.175710e+00
  5.093100e-01   1.857940e+02   1.105980e+00
  5.143700e-01   1.841260e+02   1.134270e+00
  5.194400e-01   1.788810e+02   1.123940e+00
  5.245100e-01   1.758570e+02   1.078460e+00
  5.295800e-01   1.735620e+02   1.056720e+00
  5.346400e-01   1.725010e+02   1.056530e+00
  5.397100e-01   1.694920e+02   1.084520e+00
  5.447800e-01   1.646160e+02   1.036410e+00
  5.498500e-01   1.629340e+02   1.072710e+00
  5.549100e-01   1.591570e+02   1.023050e+00
  5.599800e-01   1.584160e+02   1.017920e+00
  5.650500e-01   1.544060e+02   9.776220e-01
  5.701200e-01   1.519990e+02   9.865090e-01
  5.751900e-01   1.484970e+02   1.024270e+00
  5.802500e-01   1.475280e+02   9.645970e-01
  5.853200e-01   1.459480e+02   9.501440e-01
  5.903900e-01   1.421280e+02   9.599630e-01
  5.954600e-01   1.400300e+02   9.342120e-01
  6.005200e-01   1.384840e+02   9.527040e-01
  6.055900e-01   1.351790e+02   9.504340e-01
  6.106600e-01   1.338780e+02   9.042030e-01
  6.157300e-01   1.306470e+02   8.514580e-01
  6.207900e-01   1.302080e+02   8.895750e-01
  6.258600e-01   1.275940e+02   8.580420e-01
  6.309300e-01   1.253050e+02   8.697620e-01
  6.360000e-01   1.239190e+02   8.881050e-01
  6.410600e-01   1.220950e+02   8.614420e-01
  6.461300e-01   1.204550e+02   8.735030e-01
  6.512000e-01   1.179220e+02   8.822330e-01
  6.562700e-01   1.170200e+02   8.715340e-01
  6.613400e-01   1.128230e+02   8.320960e-01
  6.664000e-01   1.122730e+02   8.045740e-01
  6.714700e-01   1.107090e+02   8.413110e-01
  6.765400e-01   1.093000e+02   8.293540e-01
  6.816100e-01   1.086510e+02   8.401860e-01
  6.866700e-01   1.057160e+02   8.647730e-01
  6.917400e-01   1.054710e+02   7.966120e-01
  6.968100e-01   1.022780e+02   7.869040e-01
  7.018800e-01   1.015510e+02   7.844130e-01
  7.069400e-01   1.004370e+02   7.662830e-01
  7.120100e-01   9.838150e+01   7.596490e-01
  7.170800e-01   9.696070e+01   8.137290e-01
  7.221500e-01   9.573670e+01   7.726350e-01
  7.272100e-01   9.436850e+01   7.656710e-01
  7.322800e-01   9.283960e+01   7.568180e-01
  7.373500e-01   9.179610e+01   7.233560e-01
  7.424200e-01   9.029420e+01   7.736430e-01
  7.474800e-01   8.965780e+01   8.605970e-01
  7.525500e-01   8.904330e+01   7.393160e-01
  7.576200e-01   8.680700e+01   7.225290e-01
  7.626900e-01   8.611190e+01   7.222260e-01
  7.677600e-01   8.300470e+01   7.573130e-01
  7.728200e-01   8.307050e+01   7.517980e-01
  7.778900e-01   8.217420e+01   7.218800e-01
  7.829600e-01   8.082520e+01   6.926480e-01
  7.880300e-01   8.025910e+01   7.206960e-01
  7.930900e-01   7.770640e+01   7.080810e-01
  7.981600e-01   7.704600e+01   6.891220e-01
  8.032300e-01   7.555170e+01   7.270410e-01
  8.083000e-01   7.609420e+01   6.760230e-01
  8.133600e-01   7.402090e+01   6.780230e-01
  8.184300e-01   7.232590e+01   6.641320e-01
  8.235000e-01   7.210460e+01   6.740030e-01
  8.285700e-01   7.206590e+01   6.621370e-01
  8.336300e-01   7.084210e+01   6.875500e-01
  8.387000e-01   6.920590e+01   6.421240e-01
  8.437700e-01   6.855720e+01   6.439530e-01
  8.488400e-01   6.651750e+01   6.367790e-01
  8.539000e-01   6.694040e+01   6.522950e-01
  8.589700e-01   6.510000e+01   6.433190e-01
  8.640400e-01   6.464500e+01   6.378740e-01
  8.691100e-01   6.423520e+01   6.277920e-01
  8.741700e-01   6.288570e+01   6.183030e-01
  8.792400e-01   6.185390e+01   6.500080e-01
  8.843100e-01   6.175140e+01   6.370490e-01
  8.893800e-01   6.119200e+01   6.420630e-01
  8.944400e-01   5.914180e+01   5.973460e-01
  8.995100e-01   5.805200e+01   6.254100e-01
  9.045800e-01   5.727560e+01   5.896770e-01
  9.096500e-01   5.716780e+01   6.110160e-01
  9.147100e-01   5.497240e+01   5.846980e-01
  9.197800e-01   5.490840e+01   5.943450e-01
  9.248500e-01   5.379940e+01   5.978880e-01
  9.299200e-01   5.362720e+01   6.035020e-01
  9.349800e-01   5.274670e+01   5.849480e-01
  9.400500e-01   5.166470e+01   5.764070e-01
  9.451200e-01   5.187960e+01   5.822400e-01
  9.501900e-01   5.108930e+01   6.074470e-01
  9.552500e-01   4.913200e+01   5.635000e-01
  9.603200e-01   4.943990e+01   5.752270e-01
  9.653900e-01   4.906560e+01   5.646590e-01
  9.704600e-01   4.771650e+01   5.806560e-01
  9.755200e-01   4.758090e+01   5.616340e-01
  9.805900e-01   4.602800e+01   5.720720e-01
  9.856600e-01   4.489750e+01   5.620160e-01
  9.907300e-01   4.500750e+01   5.803650e-01
  9.957900e-01   4.414970e+01   5.577750e-01
  1.000860e+00   4.361310e+01   5.670890e-01
  1.005930e+00   4.373190e+01   5.664130e-01
  1.011000e+00   4.223360e+01   5.445090e-01
  1.016060e+00   4.263970e+01   5.272450e-01
  1.021130e+00   4.082310e+01   5.393150e-01
  1.026200e+00   4.074470e+01   5.408790e-01
  1.031270e+00   4.055410e+01   5.559660e-01
  1.036330e+00   3.935340e+01   5.489530e-01
  1.041400e+00   3.948180e+01   5.311120e-01
  1.046470e+00   3.827870e+01   5.503420e-01
  1.051540e+00   3.749330e+01   5.412720e-01
  1.056600e+00   3.695550e+01   5.346120e-01
  1.061670e+00   3.655810e+01   5.182820e-01
  1.066740e+00   3.651210e+01   5.378030e-01
  1.071810e+00   3.522970e+01   5.429330e-01
  1.076870e+00   3.423890e+01   5.426300e-01
  1.081940e+00   3.506330e+01   5.035500e-01
  1.087010e+00   3.468750e+01   5.198840e-01
  1.092080e+00   3.422290e+01   5.181380e-01
  1.097140e+00   3.293860e+01   5.200450e-01
  1.102210e+00   3.387390e+01   5.004630e-01
  1.107280e+00   3.210890e+01   4.903970e-01
  1.112350e+00   3.191690e+01   5.023130e-01
  1.117410e+00   3.182210e+01   5.128740e-01
  1.122480e+00   3.152210e+01   4.815240e-01
  1.127550e+00   3.126290e+01   5.094250e-01
  1.132620e+00   3.018280e+01   5.051400e-01
  1.137680e+00   3.014030e+01   4.890280e-01
  1.142750e+00   2.941870e+01   4.719030e-01
  1.147820e+00   3.036090e+01   5.055170e-01
  1.152890e+00   2.955380e+01   5.092100e-01
  1.157950e+00   2.943000e+01   5.006020e-01
  1.163020e+00   2.810580e+01   4.963650e-01
  1.168090e+00   2.847350e+01   5.052390e-01
  1.173160e+00   2.741820e+01   4.806870e-01
  1.178220e+00   2.859650e+01   4.822670e-01
  1.183290e+00   2.633930e+01   4.944200e-01
  1.188360e+00   2.674670e+01   4.958540e-01
  1.193420e+00   2.597580e+01   4.981720e-01
  1.198490e+00   2.665760e+01   5.091540e-01
  1.203560e+00   2.652800e+01   5.249730e-01
  1.208630e+00   2.673860e+01   5.169330e-01
  1.213690e+00   2.569790e+01   4.937570e-01
  1.218760e+00   2.462630e+01   4.969030e-01
  1.223830e+00   2.491470e+01   5.216960e-01
  1.228900e+00   2.529460e+01   5.820080e-01
  1.233960e+00   2.391630e+01   5.165520e-01
  1.239030e+00   2.371320e+01   5.003730e-01
  1.244100e+00   2.362560e+01   5.160780e-01
  1.249170e+00   2.354390e+01   5.325440e-01
  1.254230e+00   2.344950e+01   5.087390e-01
  1.259300e+00   2.390610e+01   5.278070e-01
  1.264370e+00   2.303700e+01   5.044270e-01
  1.269440e+00   2.305920e+01   5.124360e-01
  1.274500e+00   2.219180e+01   5.117680e-01
  1.279570e+00   2.243950e+01   4.961150e-01
  1.284640e+00   2.150990e+01   5.065520e-01
  1.289700e+00   2.164640e+01   5.217760e-01
  1.294770e+00   2.243660e+01   4.963900e-01
  1.299840e+00   2.160870e+01   4.835110e-01
  1.304910e+00   2.167470e+01   4.766430e-01
  1.309970e+00   2.186840e+01   4.832920e-01
  1.315040e+00   2.136110e+01   4.832110e-01
  1.320110e+00   2.114370e+01   4.777880e-01
  1.325180e+00   2.104830e+01   4.817390e-01
  1.330240e+00   2.085400e+01   4.737270e-01
  1.335310e+00   2.104090e+01   4.664990e-01
  1.340380e+00   2.017110e+01   4.735100e-01
  1.345450e+00   1.978080e+01   4.681950e-01
  1.350510e+00   1.931800e+01   4.627780e-01
  1.355580e+00   2.013030e+01   4.763920e-01
  1.360650e+00   2.009330e+01   4.587120e-01
  1.365710e+00   2.032260e+01   4.721680e-01
  1.370780e+00   1.924320e+01   4.762430e-01
  1.375850e+00   1.932560e+01   4.691020e-01
  1.380920e+00   1.855660e+01   4.812950e-01
  1.385980e+00   1.962530e+01   4.537500e-01
  1.391050e+00   1.836720e+01   4.524170e-01
  1.396120e+00   1.855900e+01   4.550910e-01
  1.401190e+00   1.853680e+01   4.645590e-01
  1.406250e+00   1.841870e+01   4.503450e-01
  1.411320e+00   1.814280e+01   4.605480e-01
  1.416390e+00   1.926290e+01   4.348570e-01
  1.421450e+00   1.814820e+01   4.433900e-01
  1.426520e+00   1.858110e+01   4.319050e-01
  1.431590e+00   1.798770e+01   4.361180e-01
  1.436660e+00   1.769980e+01   4.264220e-01
  1.441720e+00   1.768160e+01   4.283440e-01
  1.446790e+00   1.730290e+01   4.431060e-01
  1.451860e+00   1.737860e+01   4.411160e-01
  1.456920e+00   1.724240e+01   4.382890e-01
  1.461990e+00   1.674110e+01   4.343060e-01
  1.467060e+00   1.686480e+01   4.300920e-01
  1.472130e+00   1.640240e+01   4.377630e-01
  1.477190e+00   1.646530e+01   4.245170e-01
  1.482260e+00   1.582120e+01   4.394210e-01
  1.487330e+00   1.619370e+01   4.306040e-01
  1.492400e+00   1.572090e+01   4.221010e-01
  1.497460e+00   1.638220e+01   4.335600e-01
  1.502530e+00   1.630400e+01   4.285150e-01
  1.507600e+00   1.609790e+01   4.237710e-01
  1.512660e+00   1.512960e+01   4.119050e-01
  1.517730e+00   1.638410e+01   4.159330e-01
  1.522800e+00   1.530050e+01   4.137640e-01
  1.527870e+00   1.498350e+01   4.190410e-01
  1.532930e+00   1.486430e+01   4.312520e-01
  1.538000e+00   1.452500e+01   4.193090e-01
  1.543070e+00   1.459550e+01   4.139690e-01
