Sample description: Sub_Ave_harp_0077_803-Ave_Tp_0076_50
Sample: Sub_Ave_harp_00  c= 0 mg/ml  Code: 
 6.196389e-002  5.128039e-002  1.892030e-003
 6.759697e-002  5.059387e-002  1.084396e-003
 7.323004e-002  4.896761e-002  8.275172e-004
 7.886311e-002  4.973151e-002  6.570663e-004
 8.449619e-002  5.074992e-002  4.858609e-004
 9.012926e-002  5.022694e-002  3.987453e-004
 9.576232e-002  4.897669e-002  3.404879e-004
 1.013954e-001  4.779030e-002  2.958502e-004
 1.070285e-001  4.820092e-002  2.649116e-004
 1.126615e-001  4.857628e-002  2.373584e-004
 1.182946e-001  4.804144e-002  2.040614e-004
 1.239276e-001  4.806772e-002  1.817551e-004
 1.295607e-001  4.821411e-002  1.666904e-004
 1.351937e-001  4.797856e-002  1.542780e-004
 1.408268e-001  4.771752e-002  1.448813e-004
 1.464598e-001  4.771913e-002  1.379332e-004
 1.520929e-001  4.753297e-002  1.313225e-004
 1.577259e-001  4.707546e-002  1.260047e-004
 1.633590e-001  4.687282e-002  1.214946e-004
 1.689920e-001  4.679424e-002  1.172981e-004
 1.746250e-001  4.662439e-002  1.132192e-004
 1.802581e-001  4.617242e-002  1.093924e-004
 1.858911e-001  4.570546e-002  1.061528e-004
 1.915241e-001  4.565501e-002  1.032802e-004
 1.971571e-001  4.554744e-002  1.006378e-004
 2.027901e-001  4.525955e-002  9.798106e-005
 2.084232e-001  4.506087e-002  9.544952e-005
 2.140562e-001  4.471587e-002  9.293618e-005
 2.196892e-001  4.442997e-002  9.083998e-005
 2.253222e-001  4.439677e-002  8.894192e-005
 2.309552e-001  4.386649e-002  8.689883e-005
 2.365882e-001  4.344156e-002  8.509458e-005
 2.422211e-001  4.314205e-002  8.350565e-005
 2.478541e-001  4.301691e-002  8.203342e-005
 2.534871e-001  4.282673e-002  8.038762e-005
 2.591201e-001  4.254154e-002  7.896308e-005
 2.647530e-001  4.211406e-002  7.771273e-005
 2.703860e-001  4.212649e-002  7.647662e-005
 2.760189e-001  4.166079e-002  7.510964e-005
 2.816519e-001  4.133868e-002  7.391700e-005
 2.872848e-001  4.100324e-002  7.287407e-005
 2.929178e-001  4.058034e-002  7.185170e-005
 2.985507e-001  4.044656e-002  7.074393e-005
 3.041836e-001  4.003590e-002  6.961804e-005
 3.098166e-001  3.965835e-002  6.872770e-005
 3.154495e-001  3.932911e-002  6.776503e-005
 3.210824e-001  3.917772e-002  6.689557e-005
 3.267153e-001  3.887584e-002  6.589819e-005
 3.323482e-001  3.872603e-002  6.524908e-005
 3.379811e-001  3.838914e-002  6.451886e-005
 3.436140e-001  3.800265e-002  6.365963e-005
 3.492468e-001  3.773787e-002  6.284014e-005
 3.548797e-001  3.738304e-002  6.197985e-005
 3.605126e-001  3.710509e-002  6.137647e-005
 3.661454e-001  3.667999e-002  6.067779e-005
 3.717783e-001  3.626904e-002  5.985274e-005
 3.774111e-001  3.596627e-002  5.920100e-005
 3.830440e-001  3.564782e-002  5.856586e-005
 3.886768e-001  3.543629e-002  5.798367e-005
 3.943096e-001  3.526376e-002  5.731063e-005
 3.999424e-001  3.494148e-002  5.670095e-005
 4.055752e-001  3.452110e-002  5.620935e-005
 4.112080e-001  3.411898e-002  5.550798e-005
 4.168408e-001  3.393393e-002  5.501155e-005
 4.224736e-001  3.362744e-002  5.445756e-005
