Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /Users/SASDBU3_non_extrap.dat
  1.241600e-01   6.623000e+02   1.776090e+01
  1.292300e-01   6.521600e+02   1.587240e+01
  1.343000e-01   6.465830e+02   1.099740e+01
  1.393600e-01   6.391500e+02   1.079820e+01
  1.444300e-01   6.304270e+02   1.110180e+01
  1.495000e-01   6.298320e+02   1.044370e+01
  1.545700e-01   6.099000e+02   8.857470e+00
  1.596300e-01   6.071120e+02   8.603770e+00
  1.647000e-01   5.944160e+02   7.284930e+00
  1.697700e-01   5.876090e+02   7.532470e+00
  1.748400e-01   5.745300e+02   7.536290e+00
  1.799000e-01   5.694550e+02   6.609230e+00
  1.849700e-01   5.549390e+02   6.011960e+00
  1.900400e-01   5.545350e+02   6.163720e+00
  1.951100e-01   5.443700e+02   6.466580e+00
  2.001800e-01   5.331200e+02   5.126540e+00
  2.052400e-01   5.289580e+02   6.070530e+00
  2.103100e-01   5.111310e+02   5.650000e+00
  2.153800e-01   5.045450e+02   5.441870e+00
  2.204500e-01   5.036040e+02   4.745710e+00
  2.255100e-01   4.880280e+02   5.039290e+00
  2.305800e-01   4.853550e+02   4.692910e+00
  2.356500e-01   4.747520e+02   4.586260e+00
  2.407200e-01   4.648200e+02   4.317690e+00
  2.457900e-01   4.545710e+02   4.443420e+00
  2.508500e-01   4.438760e+02   4.120110e+00
  2.559200e-01   4.395730e+02   3.968340e+00
  2.609900e-01   4.283490e+02   3.804260e+00
  2.660600e-01   4.203740e+02   3.670520e+00
  2.711200e-01   4.123050e+02   3.489520e+00
  2.761900e-01   4.040790e+02   3.610010e+00
  2.812600e-01   3.912510e+02   3.117340e+00
  2.863300e-01   3.876600e+02   3.238910e+00
  2.913900e-01   3.802320e+02   3.238910e+00
  2.964600e-01   3.760010e+02   3.115720e+00
  3.015300e-01   3.640530e+02   3.002770e+00
  3.066000e-01   3.583420e+02   2.727780e+00
  3.116700e-01   3.522470e+02   2.577040e+00
  3.167300e-01   3.439820e+02   2.614130e+00
  3.218000e-01   3.387700e+02   2.687260e+00
  3.268700e-01   3.285690e+02   2.451660e+00
  3.319400e-01   3.248600e+02   2.580430e+00
  3.370000e-01   3.187020e+02   2.417330e+00
  3.420700e-01   3.125280e+02   2.479990e+00
  3.471400e-01   3.026250e+02   3.250570e+00
  3.522100e-01   2.995440e+02   2.120130e+00
  3.572700e-01   2.919180e+02   2.107500e+00
  3.623400e-01   2.862540e+02   2.012420e+00
  3.674100e-01   2.803360e+02   2.253120e+00
  3.724800e-01   2.741460e+02   2.048760e+00
  3.775500e-01   2.660260e+02   2.090720e+00
  3.826100e-01   2.648450e+02   2.029160e+00
  3.876800e-01   2.569710e+02   2.054300e+00
  3.927500e-01   2.518460e+02   1.930010e+00
  3.978200e-01   2.459570e+02   2.004180e+00
  4.028800e-01   2.419460e+02   1.925170e+00
  4.079500e-01   2.369110e+02   1.935440e+00
  4.130200e-01   2.308950e+02   1.935860e+00
  4.180900e-01   2.258830e+02   1.872360e+00
  4.231500e-01   2.244030e+02   1.814310e+00
  4.282200e-01   2.191460e+02   1.850540e+00
  4.332900e-01   2.158420e+02   1.803510e+00
  4.383600e-01   2.091010e+02   1.760130e+00
  4.434300e-01   2.029240e+02   1.657540e+00
  4.484900e-01   1.991290e+02   1.715630e+00
  4.535600e-01   1.976510e+02   1.588920e+00
  4.586300e-01   1.945900e+02   1.713290e+00
  4.637000e-01   1.902520e+02   1.536700e+00
  4.687600e-01   1.865510e+02   1.702780e+00
  4.738300e-01   1.819470e+02   1.624720e+00
  4.789000e-01   1.796130e+02   1.496150e+00
  4.839700e-01   1.761780e+02   1.481120e+00
  4.890300e-01   1.725160e+02   1.533780e+00
  4.941000e-01   1.698880e+02   1.556910e+00
  4.991700e-01   1.662840e+02   1.562620e+00
  5.042400e-01   1.618120e+02   1.451560e+00
  5.093100e-01   1.595090e+02   1.476050e+00
  5.143700e-01   1.561060e+02   1.443340e+00
  5.194400e-01   1.535140e+02   1.528770e+00
  5.245100e-01   1.508650e+02   1.450260e+00
  5.295800e-01   1.457960e+02   1.414540e+00
  5.346400e-01   1.458930e+02   1.422310e+00
  5.397100e-01   1.423610e+02   1.373030e+00
  5.447800e-01   1.402620e+02   1.438400e+00
  5.498500e-01   1.378680e+02   1.343200e+00
  5.549100e-01   1.338620e+02   1.273980e+00
  5.599800e-01   1.318430e+02   1.327020e+00
  5.650500e-01   1.318670e+02   1.324210e+00
  5.701200e-01   1.296860e+02   1.295740e+00
  5.751900e-01   1.282070e+02   1.318800e+00
  5.802500e-01   1.250010e+02   1.301120e+00
  5.853200e-01   1.204690e+02   1.323370e+00
  5.903900e-01   1.198200e+02   1.300450e+00
  5.954600e-01   1.190990e+02   1.231110e+00
  6.005200e-01   1.168050e+02   1.254820e+00
  6.055900e-01   1.143980e+02   1.206230e+00
  6.106600e-01   1.134770e+02   1.221180e+00
  6.157300e-01   1.097150e+02   1.157830e+00
  6.207900e-01   1.091210e+02   1.170530e+00
  6.258600e-01   1.067070e+02   1.223240e+00
  6.309300e-01   1.065590e+02   1.151530e+00
  6.360000e-01   1.054470e+02   1.160700e+00
  6.410600e-01   1.032140e+02   1.157000e+00
  6.461300e-01   1.005680e+02   1.102730e+00
  6.512000e-01   9.961740e+01   1.106460e+00
  6.562700e-01   9.731970e+01   1.090100e+00
  6.613400e-01   9.656170e+01   1.125520e+00
  6.664000e-01   9.479050e+01   1.101940e+00
  6.714700e-01   9.474380e+01   1.108990e+00
  6.765400e-01   9.341520e+01   1.112360e+00
  6.816100e-01   9.074050e+01   1.092910e+00
  6.866700e-01   9.049320e+01   1.092600e+00
  6.917400e-01   8.992490e+01   1.131960e+00
  6.968100e-01   8.709450e+01   1.053470e+00
  7.018800e-01   8.540690e+01   1.073740e+00
  7.069400e-01   8.517450e+01   1.049490e+00
  7.120100e-01   8.428200e+01   1.046080e+00
  7.170800e-01   8.174040e+01   1.036860e+00
  7.221500e-01   7.954620e+01   1.038630e+00
  7.272100e-01   7.983550e+01   1.018810e+00
  7.322800e-01   7.928550e+01   1.015440e+00
  7.373500e-01   7.752980e+01   1.032450e+00
  7.424200e-01   7.668480e+01   1.020590e+00
  7.474800e-01   7.570490e+01   1.134660e+00
  7.525500e-01   7.293740e+01   1.014190e+00
  7.576200e-01   7.319100e+01   1.002020e+00
  7.626900e-01   7.114070e+01   9.687810e-01
  7.677600e-01   6.994790e+01   1.011780e+00
  7.728200e-01   6.886540e+01   9.805450e-01
  7.778900e-01   6.827390e+01   9.746440e-01
  7.829600e-01   6.751950e+01   9.320650e-01
  7.880300e-01   6.621930e+01   8.946580e-01
  7.930900e-01   6.454010e+01   9.758430e-01
  7.981600e-01   6.407390e+01   9.579870e-01
  8.032300e-01   6.370790e+01   9.368350e-01
  8.083000e-01   6.318480e+01   9.490560e-01
  8.133600e-01   6.123610e+01   9.342830e-01
  8.184300e-01   6.020070e+01   9.303710e-01
  8.235000e-01   5.976930e+01   9.360720e-01
  8.285700e-01   5.930860e+01   9.108470e-01
  8.336300e-01   5.751400e+01   8.969030e-01
  8.387000e-01   5.621310e+01   9.257310e-01
  8.437700e-01   5.690290e+01   9.011810e-01
  8.488400e-01   5.506680e+01   8.937700e-01
  8.539000e-01   5.410080e+01   8.886130e-01
  8.589700e-01   5.342010e+01   8.870930e-01
  8.640400e-01   5.251660e+01   8.799230e-01
  8.691100e-01   5.147290e+01   8.707060e-01
  8.741700e-01   5.139580e+01   8.866380e-01
  8.792400e-01   4.959500e+01   8.678780e-01
  8.843100e-01   4.965440e+01   8.851670e-01
  8.893800e-01   4.766770e+01   8.971020e-01
  8.944400e-01   4.746150e+01   8.322900e-01
  8.995100e-01   4.705290e+01   8.195900e-01
  9.045800e-01   4.697440e+01   8.421200e-01
  9.096500e-01   4.545330e+01   8.170970e-01
  9.147100e-01   4.534920e+01   8.361650e-01
  9.197800e-01   4.436080e+01   8.041130e-01
  9.248500e-01   4.369930e+01   8.293710e-01
  9.299200e-01   4.284320e+01   8.266890e-01
  9.349800e-01   4.215480e+01   7.860400e-01
  9.400500e-01   4.188650e+01   8.298400e-01
  9.451200e-01   4.121300e+01   7.924270e-01
  9.501900e-01   3.927870e+01   7.941110e-01
  9.552500e-01   3.862250e+01   8.216880e-01
  9.603200e-01   3.966550e+01   8.055420e-01
  9.653900e-01   3.754120e+01   8.148200e-01
  9.704600e-01   3.792710e+01   8.158430e-01
  9.755200e-01   3.694610e+01   7.872560e-01
  9.805900e-01   3.623300e+01   7.769790e-01
  9.856600e-01   3.663080e+01   7.754260e-01
  9.907300e-01   3.486020e+01   7.757380e-01
  9.957900e-01   3.306440e+01   7.846220e-01
  1.000860e+00   3.383090e+01   7.748240e-01
  1.005930e+00   3.353050e+01   7.730210e-01
  1.011000e+00   3.308110e+01   7.633980e-01
  1.016060e+00   3.251590e+01   7.468220e-01
  1.021130e+00   3.134220e+01   7.620250e-01
  1.026200e+00   3.092490e+01   7.582430e-01
  1.031270e+00   3.098560e+01   7.557440e-01
  1.036330e+00   2.996860e+01   7.845080e-01
  1.041400e+00   3.080080e+01   7.417690e-01
  1.046470e+00   2.976280e+01   7.908620e-01
  1.051540e+00   2.896670e+01   7.426400e-01
  1.056600e+00   2.866270e+01   7.570020e-01
  1.061670e+00   2.906920e+01   7.405650e-01
  1.066740e+00   2.825120e+01   7.554970e-01
  1.071810e+00   2.785660e+01   7.623410e-01
