Sample description: Sub_Ave_zarp_0079_1608-Ave_Tp_0078_855
Sample: Sub_Ave_zarp_00  c= 0 mg/ml  Code: 
 6.196389e-002  4.364455e-002  1.917458e-003
 6.759697e-002  4.338943e-002  1.098283e-003
 7.323004e-002  4.326440e-002  8.374554e-004
 7.886311e-002  4.238439e-002  6.633802e-004
 8.449619e-002  4.165635e-002  4.895497e-004
 9.012926e-002  4.143430e-002  4.010365e-004
 9.576232e-002  3.984283e-002  3.415758e-004
 1.013954e-001  3.836621e-002  2.960827e-004
 1.070285e-001  3.918484e-002  2.647073e-004
 1.126615e-001  3.972719e-002  2.368100e-004
 1.182946e-001  3.958225e-002  2.031114e-004
 1.239276e-001  3.919099e-002  1.804467e-004
 1.295607e-001  3.952378e-002  1.653146e-004
 1.351937e-001  3.940315e-002  1.528217e-004
 1.408268e-001  3.904845e-002  1.432849e-004
 1.464598e-001  3.860454e-002  1.361849e-004
 1.520929e-001  3.860707e-002  1.294031e-004
 1.577259e-001  3.863776e-002  1.241595e-004
 1.633590e-001  3.873220e-002  1.197715e-004
 1.689920e-001  3.811039e-002  1.152475e-004
 1.746250e-001  3.766348e-002  1.109633e-004
 1.802581e-001  3.758822e-002  1.072926e-004
 1.858911e-001  3.753106e-002  1.042001e-004
 1.915241e-001  3.733365e-002  1.012756e-004
 1.971571e-001  3.710399e-002  9.843274e-005
 2.027901e-001  3.664632e-002  9.566478e-005
 2.084232e-001  3.655068e-002  9.321526e-005
 2.140562e-001  3.653882e-002  9.087272e-005
 2.196892e-001  3.644552e-002  8.892392e-005
 2.253222e-001  3.624048e-002  8.686392e-005
 2.309552e-001  3.598212e-002  8.486777e-005
 2.365882e-001  3.572438e-002  8.315046e-005
 2.422211e-001  3.546802e-002  8.154799e-005
 2.478541e-001  3.522182e-002  8.008029e-005
 2.534871e-001  3.489974e-002  7.838796e-005
 2.591201e-001  3.469924e-002  7.698913e-005
 2.647530e-001  3.440407e-002  7.576623e-005
 2.703860e-001  3.417084e-002  7.441381e-005
 2.760189e-001  3.385727e-002  7.311407e-005
 2.816519e-001  3.361908e-002  7.203114e-005
 2.872848e-001  3.339499e-002  7.106084e-005
 2.929178e-001  3.313972e-002  7.004756e-005
 2.985507e-001  3.281453e-002  6.889528e-005
 3.041836e-001  3.267484e-002  6.785542e-005
 3.098166e-001  3.241035e-002  6.697515e-005
 3.154495e-001  3.209982e-002  6.603761e-005
 3.210824e-001  3.191996e-002  6.515577e-005
 3.267153e-001  3.157158e-002  6.414650e-005
 3.323482e-001  3.140151e-002  6.347096e-005
 3.379811e-001  3.131430e-002  6.279286e-005
 3.436140e-001  3.110954e-002  6.200981e-005
 3.492468e-001  3.084943e-002  6.126694e-005
 3.548797e-001  3.060200e-002  6.048125e-005
 3.605126e-001  3.031933e-002  5.984635e-005
 3.661454e-001  3.009716e-002  5.920240e-005
 3.717783e-001  2.980750e-002  5.844962e-005
 3.774111e-001  2.955550e-002  5.780783e-005
 3.830440e-001  2.918198e-002  5.717407e-005
 3.886768e-001  2.904711e-002  5.664909e-005
 3.943096e-001  2.880356e-002  5.600462e-005
 3.999424e-001  2.850681e-002  5.539394e-005
 4.055752e-001  2.820272e-002  5.487096e-005
 4.112080e-001  2.791799e-002  5.421539e-005
 4.168408e-001  2.778686e-002  5.374851e-005
 4.224736e-001  2.768442e-002  5.325916e-005
 4.281064e-001  2.739832e-002  5.276918e-005
 4.337391e-001  2.701347e-002  5.221554e-005
 4.393719e-001  2.673498e-002  5.166418e-005
 4.450046e-001  2.647699e-002  5.124258e-005
 4.506374e-001  2.622051e-002  5.073399e-005
 4.562701e-001  2.578601e-002  5.018906e-005
 4.619028e-001  2.547832e-002  4.973645e-005
 4.675355e-001  2.551972e-002  4.939357e-005
 4.731682e-001  2.521541e-002  4.895481e-005
 4.788009e-001  2.490271e-002  4.850498e-005
 4.844336e-001  2.465311e-002  4.803542e-005
 4.900663e-001  2.437723e-002  4.760137e-005
 4.956990e-001  2.424048e-002  4.728126e-005
 5.013316e-001  2.395807e-002  4.687731e-005
 5.069643e-001  2.365950e-002  4.644768e-005
 5.125969e-001  2.339550e-002  4.601531e-005
 5.182295e-001  2.305117e-002  4.563362e-005
 5.238622e-001  2.279076e-002  4.527302e-005
 5.294948e-001  2.266586e-002  4.494214e-005
 5.351274e-001  2.235450e-002  4.458868e-005
 5.407599e-001  2.223039e-002  4.427637e-005
 5.463925e-001  2.199941e-002  4.390508e-005
 5.520251e-001  2.163907e-002  4.352109e-005
 5.576576e-001  2.147553e-002  4.326852e-005
 5.632902e-001  2.125538e-002  4.292936e-005
 5.689227e-001  2.093694e-002  4.298996e-005
 5.745553e-001  2.076263e-002  4.342354e-005
 5.801878e-001  2.052349e-002  4.352083e-005
 5.858203e-001  2.041436e-002  4.351496e-005
 5.914528e-001  2.010275e-002  4.342890e-005
 5.970852e-001  1.989872e-002  4.338814e-005
 6.027177e-001  1.964004e-002  4.329056e-005
 6.083502e-001  1.938927e-002  4.317227e-005
 6.139826e-001  1.913499e-002  4.305077e-005
 6.196150e-001  1.894957e-002  4.298416e-005
 6.252474e-001  1.873109e-002  4.284746e-005
 6.308799e-001  1.854729e-002  4.269664e-005
 6.365122e-001  1.827651e-002  4.253413e-005
 6.421446e-001  1.803558e-002  4.234172e-005
 6.477770e-001  1.780253e-002  4.224515e-005
 6.534094e-001  1.769583e-002  4.208241e-005
 6.590417e-001  1.743684e-002  4.189521e-005
 6.646740e-001  1.712088e-002  4.173697e-005
 6.703064e-001  1.688566e-002  4.159021e-005
 6.759387e-001  1.667552e-002  4.142148e-005
 6.815710e-001  1.650062e-002  4.123472e-005
 6.872032e-001  1.638024e-002  4.113424e-005
 6.928355e-001  1.617614e-002  4.094088e-005
 6.984678e-001  1.599606e-002  4.087053e-005
 7.041000e-001  1.567117e-002  4.158255e-005
 7.097322e-001  1.540007e-002  4.196717e-005
 7.153644e-001  1.531907e-002  4.221337e-005
 7.209966e-001  1.525416e-002  4.242692e-005
 7.266288e-001  1.499952e-002  4.249835e-005
 7.322610e-001  1.472731e-002  4.258931e-005
 7.378932e-001  1.453742e-002  4.261948e-005
 7.435253e-001  1.441815e-002  4.300401e-005
 7.491574e-001  1.415638e-002  4.420659e-005
 7.547895e-001  1.387347e-002  4.487792e-005
 7.604216e-001  1.366184e-002  4.547695e-005
 7.660537e-001  1.347579e-002  4.597512e-005
 7.716858e-001  1.336222e-002  4.653115e-005
 7.773178e-001  1.322601e-002  4.710130e-005
 7.829499e-001  1.302013e-002  4.754765e-005
 7.885819e-001  1.277764e-002  4.785914e-005
 7.942139e-001  1.254508e-002  4.832632e-005
 7.998459e-001  1.242161e-002  4.860431e-005
 8.054779e-001  1.234270e-002  4.752578e-005
 8.111099e-001  1.218109e-002  4.679525e-005
 8.167418e-001  1.204823e-002  4.632171e-005
 8.223737e-001  1.190006e-002  4.598431e-005
 8.280057e-001  1.173972e-002  4.571323e-005
 8.336376e-001  1.158209e-002  4.564487e-005
 8.392694e-001  1.144266e-002  4.541409e-005
 8.449013e-001  1.116687e-002  4.538819e-005
 8.505332e-001  1.109192e-002  4.535016e-005
 8.561650e-001  1.100185e-002  4.513965e-005
 8.617968e-001  1.074709e-002  4.519526e-005
 8.674286e-001  1.060816e-002  4.496436e-005
